['paulphua', 202594653, 'impression', '3', 241585191L, datetime.datetime(2013, 5, 29, 13, 49, 16), 0.145647493731172, False, 'time']
['paulphua', 202594653, 'impression', '1', 241585280L, datetime.datetime(2013, 5, 29, 13, 49, 16), 0.0600673829506515, False, 'time']
['paulphua', 202594653, 'impression', '2', 241585232L, datetime.datetime(2013, 5, 29, 13, 49, 16), 0.0510034166301694, False, 'time']
['paulphua', 202594653, 'impression', '2', 241585232L, datetime.datetime(2013, 5, 29, 13, 49, 18), 0.0510034166301694, False, 'time']
['paulphua', 202594653, 'expand_tile', '3', 241585191L, datetime.datetime(2013, 5, 29, 13, 49, 41), 0.145647493731172, False, 'time']
['paulphua', 202594653, 'collapse_tile', '3', 241585191L, datetime.datetime(2013, 5, 29, 13, 49, 54), 0.145647493731172, False, 'time']
['paulphua', 202594653, 'expand_tile', '3', 241585191L, datetime.datetime(2013, 5, 29, 13, 49, 57), 0.145647493731172, False, 'time']
['paulphua', 202594653, 'collapse_tile', '3', 241585191L, datetime.datetime(2013, 5, 29, 13, 50, 15), 0.145647493731172, False, 'time']
['paulphua', 202594653, 'expand_tile', '3', 241585191L, datetime.datetime(2013, 5, 29, 13, 50, 20), 0.145647493731172, False, 'time']
['paulphua', 202594653, 'impression', '1', 241585280L, datetime.datetime(2013, 5, 29, 13, 50, 22), 0.0600673829506515, False, 'time']
['paulphua', 202594653, 'impression', '6', 241585315L, datetime.datetime(2013, 5, 29, 13, 51, 53), 0.0485742934094295, False, 'time']
['paulphua', 202594653, 'impression', '1', 241585547L, datetime.datetime(2013, 5, 29, 13, 51, 53), 0.0324438816920464, False, 'time']
['paulphua', 202594653, 'impression', '7', 241585280L, datetime.datetime(2013, 5, 29, 13, 51, 53), 0.0600673829506515, False, 'time']
['paulphua', 202594653, 'impression', '8', 241585232L, datetime.datetime(2013, 5, 29, 13, 51, 53), 0.0510034166301694, False, 'time']
['paulphua', 202594653, 'impression', '4', 241585367L, datetime.datetime(2013, 5, 29, 13, 51, 53), 0.378951474984906, False, 'time']
['paulphua', 202594653, 'impression', '9', 241585191L, datetime.datetime(2013, 5, 29, 13, 51, 53), 0.145647493731172, False, 'time']
['paulphua', 202594653, 'impression', '3', 241585383L, datetime.datetime(2013, 5, 29, 13, 51, 53), 0.0693006448307224, True, 'time']
['paulphua', 202594653, 'impression', '5', 241585314L, datetime.datetime(2013, 5, 29, 13, 51, 53), 0.0938008348873464, False, 'time']
['paulphua', 202594653, 'impression', '2', 241585406L, datetime.datetime(2013, 5, 29, 13, 51, 53), 0.0437349726127768, False, 'time']
['paulphua', 202594653, 'expand_tile', '5', 241585314L, datetime.datetime(2013, 5, 29, 13, 52, 15), 0.0938008348873464, False, 'time']
['paulphua', 202594653, 'collapse_tile', '5', 241585314L, datetime.datetime(2013, 5, 29, 13, 52, 21), 0.0938008348873464, False, 'time']
['paulphua', 202594653, 'expand_tile', '5', 241585314L, datetime.datetime(2013, 5, 29, 13, 52, 24), 0.0938008348873464, False, 'time']

['paulphua', 202594653, 'impression', '17', 241585547L, datetime.datetime(2013, 5, 29, 15, 29, 44), 0.0324438816920464, False, 'time']
['paulphua', 202594653, 'impression', '3', 241589419L, datetime.datetime(2013, 5, 29, 15, 29, 44), 0.340139928587891, False, 'time']
['paulphua', 202594653, 'impression', '12', 241585970L, datetime.datetime(2013, 5, 29, 15, 29, 44), 0.0249114749875808, False, 'time']
['paulphua', 202594653, 'impression', '14', 241585807L, datetime.datetime(2013, 5, 29, 15, 29, 44), 0.115797299371324, False, 'time']
['paulphua', 202594653, 'impression', '8', 241586835L, datetime.datetime(2013, 5, 29, 15, 29, 44), 0.0184009195275045, False, 'time']
['paulphua', 202594653, 'impression', '5', 241588498L, datetime.datetime(2013, 5, 29, 15, 29, 44), 0.0187879385636524, False, 'time']
['paulphua', 202594653, 'impression', '9', 241586832L, datetime.datetime(2013, 5, 29, 15, 29, 44), 0.0859528554015483, False, 'time']
['paulphua', 202594653, 'impression', '11', 241586175L, datetime.datetime(2013, 5, 29, 15, 29, 44), 0.0437003243751478, False, 'time']
['paulphua', 202594653, 'impression', '18', 241585406L, datetime.datetime(2013, 5, 29, 15, 29, 44), 0.0437349726127768, False, 'time']
['paulphua', 202594653, 'impression', '7', 241588362L, datetime.datetime(2013, 5, 29, 15, 29, 44), 0.0433135670889879, False, 'time']
['paulphua', 202594653, 'impression', '10', 241586250L, datetime.datetime(2013, 5, 29, 15, 29, 44), 0.030898527461968, False, 'time']
['paulphua', 202594653, 'impression', '6', 241588394L, datetime.datetime(2013, 5, 29, 15, 29, 44), 0.0283864507843947, False, 'time']
['paulphua', 202594653, 'impression', '13', 241585963L, datetime.datetime(2013, 5, 29, 15, 29, 44), 0.0631878322253631, False, 'time']
['paulphua', 202594653, 'impression', '2', 241589955L, datetime.datetime(2013, 5, 29, 15, 29, 44), 0.36030776902408, False, 'time']
['paulphua', 202594653, 'impression', '4', 241589405L, datetime.datetime(2013, 5, 29, 15, 29, 44), 0.042762204589154, False, 'time']
['paulphua', 202594653, 'impression', '20', 241585367L, datetime.datetime(2013, 5, 29, 15, 29, 44), 0.378951474984906, False, 'time']
['paulphua', 202594653, 'impression', '1', 241590134L, datetime.datetime(2013, 5, 29, 15, 29, 44), 0.118556043540723, False, 'time']
['paulphua', 202594653, 'impression', '16', 241585713L, datetime.datetime(2013, 5, 29, 15, 29, 44), 0.125505221808765, False, 'time']
['paulphua', 202594653, 'impression', '15', 241585801L, datetime.datetime(2013, 5, 29, 15, 29, 44), 0.0360787680741346, False, 'time']
['paulphua', 202594653, 'impression', '19', 241585383L, datetime.datetime(2013, 5, 29, 15, 29, 44), 0.0693006448307224, True, 'time']

