['philusher100', 202582410, 'impression', '6', 241319467L, datetime.datetime(2013, 5, 26, 13, 13, 49), 0.0366108430065569, False, 'best']
['philusher100', 202582410, 'impression', '3', 241325611L, datetime.datetime(2013, 5, 26, 13, 13, 49), 0.0660818451611808, False, 'best']
['philusher100', 202582410, 'impression', '5', 241314335L, datetime.datetime(2013, 5, 26, 13, 13, 49), 0.0449533555323104, False, 'best']
['philusher100', 202582410, 'impression', '15', 241314722L, datetime.datetime(2013, 5, 26, 13, 13, 49), 0.0130635034222804, False, 'best']
['philusher100', 202582410, 'impression', '17', 241314493L, datetime.datetime(2013, 5, 26, 13, 13, 49), 0.0113405504022971, False, 'best']
['philusher100', 202582410, 'impression', '9', 241314526L, datetime.datetime(2013, 5, 26, 13, 13, 49), 0.0253902108063561, False, 'best']
['philusher100', 202582410, 'impression', '14', 241315749L, datetime.datetime(2013, 5, 26, 13, 13, 49), 0.0132832262048878, False, 'best']
['philusher100', 202582410, 'impression', '13', 241324425L, datetime.datetime(2013, 5, 26, 13, 13, 49), 0.0206449678788585, False, 'best']
['philusher100', 202582410, 'impression', '11', 241314727L, datetime.datetime(2013, 5, 26, 13, 13, 49), 0.0221877922016655, False, 'best']
['philusher100', 202582410, 'impression', '4', 241321457L, datetime.datetime(2013, 5, 26, 13, 13, 49), 0.0604608206757185, False, 'best']
['philusher100', 202582410, 'impression', '1', 241320357L, datetime.datetime(2013, 5, 26, 13, 13, 49), 0.0769365384705684, False, 'best']
['philusher100', 202582410, 'impression', '16', 241320624L, datetime.datetime(2013, 5, 26, 13, 13, 49), 0.0126182814916594, False, 'best']
['philusher100', 202582410, 'impression', '10', 241314304L, datetime.datetime(2013, 5, 26, 13, 13, 49), 0.0229407581456977, False, 'best']
['philusher100', 202582410, 'impression', '8', 241316093L, datetime.datetime(2013, 5, 26, 13, 13, 49), 0.0264210592435368, False, 'best']
['philusher100', 202582410, 'impression', '7', 241324816L, datetime.datetime(2013, 5, 26, 13, 13, 49), 0.0301228042473401, False, 'best']
['philusher100', 202582410, 'impression', '18', 241316569L, datetime.datetime(2013, 5, 26, 13, 13, 49), 0.0062962122193502, False, 'best']
['philusher100', 202582410, 'impression', '2', 241320673L, datetime.datetime(2013, 5, 26, 13, 13, 49), 0.0701094881587159, False, 'best']
['philusher100', 202582410, 'impression', '12', 241321542L, datetime.datetime(2013, 5, 26, 13, 13, 49), 0.0208634239115998, False, 'best']
['philusher100', 202582410, 'collapse_tile', '1', 241320357L, datetime.datetime(2013, 5, 26, 13, 16, 24), 0.0769365384705684, False, 'best']
['philusher100', 202582410, 'expand_tile', '18', 241316569L, datetime.datetime(2013, 5, 26, 13, 17, 26), 0.0062962122193502, False, 'best']

