['pramodchauhan80', 202563078, 'impression', '2', 240920019L, datetime.datetime(2013, 5, 21, 12, 14, 20), 0.0923892075852996, False, 'time']
['pramodchauhan80', 202563078, 'impression', '1', 240921151L, datetime.datetime(2013, 5, 21, 12, 14, 20), 0.116951571020588, False, 'time']
['pramodchauhan80', 202563078, 'view_full_application_via_name', '1', 240921151L, datetime.datetime(2013, 5, 21, 12, 17, 39), 0.116951571020588, False, 'time']

['pramodchauhan80', 202563078, 'impression', '2', 240920019L, datetime.datetime(2013, 5, 21, 13, 32, 29), 0.0923892075852996, False, 'time']
['pramodchauhan80', 202563078, 'impression', '1', 240925423L, datetime.datetime(2013, 5, 21, 13, 32, 29), 0.125957323697445, False, 'time']
['pramodchauhan80', 202563078, 'view_full_application_via_name', '1', 240925423L, datetime.datetime(2013, 5, 21, 13, 32, 47), 0.125957323697445, False, 'time']
['pramodchauhan80', 202563078, 'impression', '2', 240920019L, datetime.datetime(2013, 5, 21, 13, 33, 23), 0.0923892075852996, False, 'time']
['pramodchauhan80', 202563078, 'impression', '1', 240925423L, datetime.datetime(2013, 5, 21, 13, 33, 23), 0.125957323697445, False, 'time']

['pramodchauhan80', 202563078, 'impression', '2', 240935481L, datetime.datetime(2013, 5, 21, 15, 13, 21), 0.105613069434178, False, 'time']
['pramodchauhan80', 202563078, 'impression', '6', 240925423L, datetime.datetime(2013, 5, 21, 15, 13, 21), 0.125957323697445, False, 'time']
['pramodchauhan80', 202563078, 'impression', '3', 240934175L, datetime.datetime(2013, 5, 21, 15, 13, 21), 0.0996946428362141, False, 'time']
['pramodchauhan80', 202563078, 'impression', '7', 240920019L, datetime.datetime(2013, 5, 21, 15, 13, 21), 0.0923892075852996, False, 'time']
['pramodchauhan80', 202563078, 'impression', '1', 240935486L, datetime.datetime(2013, 5, 21, 15, 13, 21), 0.0330201032513632, False, 'time']
['pramodchauhan80', 202563078, 'impression', '5', 240930316L, datetime.datetime(2013, 5, 21, 15, 13, 21), 0.172621938062194, False, 'time']
['pramodchauhan80', 202563078, 'impression', '4', 240932774L, datetime.datetime(2013, 5, 21, 15, 13, 21), 0.0884164181567716, False, 'time']
['pramodchauhan80', 202563078, 'impression', '5', 240925423L, datetime.datetime(2013, 5, 21, 15, 14, 50), 0.125957323697445, False, 'time']
['pramodchauhan80', 202563078, 'impression', '4', 240930316L, datetime.datetime(2013, 5, 21, 15, 14, 50), 0.172621938062194, False, 'time']
['pramodchauhan80', 202563078, 'impression', '6', 240920019L, datetime.datetime(2013, 5, 21, 15, 14, 50), 0.0923892075852996, False, 'time']
['pramodchauhan80', 202563078, 'impression', '2', 240934175L, datetime.datetime(2013, 5, 21, 15, 14, 50), 0.0996946428362141, False, 'time']
['pramodchauhan80', 202563078, 'impression', '1', 240935481L, datetime.datetime(2013, 5, 21, 15, 14, 50), 0.105613069434178, False, 'time']
['pramodchauhan80', 202563078, 'impression', '3', 240932774L, datetime.datetime(2013, 5, 21, 15, 14, 50), 0.0884164181567716, False, 'time']
['pramodchauhan80', 202563078, 'view_full_application_via_name', '2', 240934175L, datetime.datetime(2013, 5, 21, 15, 15, 46), 0.0996946428362141, False, 'time']
['pramodchauhan80', 202563078, 'impression', '6', 240925423L, datetime.datetime(2013, 5, 21, 15, 17, 35), 0.125957323697445, False, 'time']
['pramodchauhan80', 202563078, 'impression', '4', 240932774L, datetime.datetime(2013, 5, 21, 15, 17, 35), 0.0884164181567716, False, 'time']
['pramodchauhan80', 202563078, 'impression', '5', 240930316L, datetime.datetime(2013, 5, 21, 15, 17, 35), 0.172621938062194, False, 'time']
['pramodchauhan80', 202563078, 'impression', '1', 240935923L, datetime.datetime(2013, 5, 21, 15, 17, 35), 0.0471081401079702, False, 'time']
['pramodchauhan80', 202563078, 'impression', '7', 240920019L, datetime.datetime(2013, 5, 21, 15, 17, 35), 0.0923892075852996, False, 'time']
['pramodchauhan80', 202563078, 'impression', '2', 240935481L, datetime.datetime(2013, 5, 21, 15, 17, 35), 0.105613069434178, False, 'time']
['pramodchauhan80', 202563078, 'impression', '3', 240934175L, datetime.datetime(2013, 5, 21, 15, 17, 35), 0.0996946428362141, False, 'time']
