['ravendental', 202592202, 'impression', '1', 241535508L, datetime.datetime(2013, 5, 29, 1, 17, 20), 0.158334880389773, False, 'time']
['ravendental', 202592202, 'impression', '6', 241532923L, datetime.datetime(2013, 5, 29, 1, 17, 20), 0.0650184410153027, False, 'time']
['ravendental', 202592202, 'impression', '5', 241533019L, datetime.datetime(2013, 5, 29, 1, 17, 20), 0.227069485689608, False, 'time']
['ravendental', 202592202, 'impression', '7', 241532812L, datetime.datetime(2013, 5, 29, 1, 17, 20), 0.053407577852491, False, 'time']
['ravendental', 202592202, 'impression', '8', 241532768L, datetime.datetime(2013, 5, 29, 1, 17, 20), 0.0876415749839871, False, 'time']
['ravendental', 202592202, 'impression', '3', 241533562L, datetime.datetime(2013, 5, 29, 1, 17, 20), 0.0754058603842747, False, 'time']
['ravendental', 202592202, 'impression', '10', 241532654L, datetime.datetime(2013, 5, 29, 1, 17, 20), 0.0711410036365416, False, 'time']
['ravendental', 202592202, 'impression', '2', 241534606L, datetime.datetime(2013, 5, 29, 1, 17, 20), 0.113907427068287, False, 'time']
['ravendental', 202592202, 'impression', '9', 241532669L, datetime.datetime(2013, 5, 29, 1, 17, 20), 0.0971607843214942, False, 'time']
['ravendental', 202592202, 'impression', '4', 241533415L, datetime.datetime(2013, 5, 29, 1, 17, 20), 0.0278151691626989, False, 'time']
['ravendental', 202592202, 'impression', '5', 241533415L, datetime.datetime(2013, 5, 29, 1, 42, 23), 0.0278151691626989, False, 'time']
['ravendental', 202592202, 'impression', '1', 241536064L, datetime.datetime(2013, 5, 29, 1, 42, 23), 0.0494920617221456, False, 'time']
['ravendental', 202592202, 'impression', '6', 241533019L, datetime.datetime(2013, 5, 29, 1, 42, 23), 0.227069485689608, False, 'time']
['ravendental', 202592202, 'impression', '9', 241532768L, datetime.datetime(2013, 5, 29, 1, 42, 23), 0.0876415749839871, False, 'time']
['ravendental', 202592202, 'impression', '8', 241532812L, datetime.datetime(2013, 5, 29, 1, 42, 23), 0.053407577852491, False, 'time']
['ravendental', 202592202, 'impression', '4', 241533562L, datetime.datetime(2013, 5, 29, 1, 42, 23), 0.0754058603842747, False, 'time']
['ravendental', 202592202, 'impression', '11', 241532654L, datetime.datetime(2013, 5, 29, 1, 42, 23), 0.0711410036365416, False, 'time']
['ravendental', 202592202, 'impression', '3', 241534606L, datetime.datetime(2013, 5, 29, 1, 42, 23), 0.113907427068287, False, 'time']
['ravendental', 202592202, 'impression', '10', 241532669L, datetime.datetime(2013, 5, 29, 1, 42, 23), 0.0971607843214942, False, 'time']
['ravendental', 202592202, 'impression', '2', 241535508L, datetime.datetime(2013, 5, 29, 1, 42, 23), 0.158334880389773, False, 'time']
['ravendental', 202592202, 'impression', '7', 241532923L, datetime.datetime(2013, 5, 29, 1, 42, 23), 0.0650184410153027, False, 'time']
['ravendental', 202592202, 'impression', '2', 241535508L, datetime.datetime(2013, 5, 29, 1, 48, 28), 0.158334880389773, False, 'time']
['ravendental', 202592202, 'impression', '7', 241532923L, datetime.datetime(2013, 5, 29, 1, 48, 28), 0.0650184410153027, False, 'time']
['ravendental', 202592202, 'impression', '5', 241533415L, datetime.datetime(2013, 5, 29, 1, 48, 28), 0.0278151691626989, False, 'time']
['ravendental', 202592202, 'impression', '1', 241536064L, datetime.datetime(2013, 5, 29, 1, 48, 28), 0.0494920617221456, False, 'time']
['ravendental', 202592202, 'impression', '6', 241533019L, datetime.datetime(2013, 5, 29, 1, 48, 28), 0.227069485689608, False, 'time']
['ravendental', 202592202, 'impression', '8', 241532812L, datetime.datetime(2013, 5, 29, 1, 48, 28), 0.053407577852491, False, 'time']
['ravendental', 202592202, 'impression', '10', 241532669L, datetime.datetime(2013, 5, 29, 1, 48, 28), 0.0971607843214942, False, 'time']
['ravendental', 202592202, 'impression', '9', 241532768L, datetime.datetime(2013, 5, 29, 1, 48, 28), 0.0876415749839871, False, 'time']
['ravendental', 202592202, 'impression', '4', 241533562L, datetime.datetime(2013, 5, 29, 1, 48, 28), 0.0754058603842747, False, 'time']
['ravendental', 202592202, 'impression', '3', 241534606L, datetime.datetime(2013, 5, 29, 1, 48, 28), 0.113907427068287, False, 'time']
['ravendental', 202592202, 'impression', '11', 241532654L, datetime.datetime(2013, 5, 29, 1, 48, 28), 0.0711410036365416, False, 'time']

['ravendental', 202592202, 'impression', '11', 241532812L, datetime.datetime(2013, 5, 29, 7, 26, 57), 0.053407577852491, False, 'time']
['ravendental', 202592202, 'impression', '10', 241532923L, datetime.datetime(2013, 5, 29, 7, 26, 57), 0.0650184410153027, False, 'time']
['ravendental', 202592202, 'impression', '1', 241553446L, datetime.datetime(2013, 5, 29, 7, 26, 57), 0.0764084050056852, True, 'time']
['ravendental', 202592202, 'impression', '5', 241535508L, datetime.datetime(2013, 5, 29, 7, 26, 57), 0.158334880389773, False, 'time']
['ravendental', 202592202, 'impression', '4', 241536064L, datetime.datetime(2013, 5, 29, 7, 26, 57), 0.0494920617221456, False, 'time']
['ravendental', 202592202, 'impression', '8', 241533415L, datetime.datetime(2013, 5, 29, 7, 26, 57), 0.0278151691626989, False, 'time']
['ravendental', 202592202, 'impression', '6', 241534606L, datetime.datetime(2013, 5, 29, 7, 26, 57), 0.113907427068287, False, 'time']
['ravendental', 202592202, 'impression', '7', 241533562L, datetime.datetime(2013, 5, 29, 7, 26, 57), 0.0754058603842747, False, 'time']
['ravendental', 202592202, 'impression', '14', 241532654L, datetime.datetime(2013, 5, 29, 7, 26, 57), 0.0711410036365416, False, 'time']
['ravendental', 202592202, 'impression', '12', 241532768L, datetime.datetime(2013, 5, 29, 7, 26, 57), 0.0876415749839871, False, 'time']
['ravendental', 202592202, 'impression', '9', 241533019L, datetime.datetime(2013, 5, 29, 7, 26, 57), 0.227069485689608, False, 'time']
['ravendental', 202592202, 'impression', '3', 241537376L, datetime.datetime(2013, 5, 29, 7, 26, 57), 0.0977613909692513, False, 'time']
['ravendental', 202592202, 'impression', '2', 241552089L, datetime.datetime(2013, 5, 29, 7, 26, 57), 0.0735425582543712, False, 'time']
['ravendental', 202592202, 'impression', '13', 241532669L, datetime.datetime(2013, 5, 29, 7, 26, 57), 0.0971607843214942, False, 'time']
['ravendental', 202592202, 'view_full_application_via_name', '1', 241553446L, datetime.datetime(2013, 5, 29, 7, 27, 3), 0.0764084050056852, True, 'time']
['ravendental', 202592202, 'impression', '5', 241535508L, datetime.datetime(2013, 5, 29, 7, 41, 2), 0.158334880389773, False, 'time']
