['renasci', 202575267, 'impression', '6', 241149688L, datetime.datetime(2013, 5, 25, 17, 47), 0.0948511456143843, False, 'best']
['renasci', 202575267, 'impression', '5', 241168064L, datetime.datetime(2013, 5, 25, 17, 47), 0.0996980587561634, False, 'best']
['renasci', 202575267, 'impression', '11', 241156986L, datetime.datetime(2013, 5, 25, 17, 47), 0.0399458112578698, False, 'best']
['renasci', 202575267, 'impression', '1', 241268663L, datetime.datetime(2013, 5, 25, 17, 47), 0.138420823526552, False, 'best']
['renasci', 202575267, 'impression', '4', 241224120L, datetime.datetime(2013, 5, 25, 17, 47), 0.110817502831458, False, 'best']
['renasci', 202575267, 'impression', '3', 241167569L, datetime.datetime(2013, 5, 25, 17, 47), 0.133879532111588, False, 'best']
['renasci', 202575267, 'impression', '10', 241199087L, datetime.datetime(2013, 5, 25, 17, 47), 0.0417160624622017, False, 'best']
['renasci', 202575267, 'impression', '13', 241191618L, datetime.datetime(2013, 5, 25, 17, 47), 0.0382634095583939, False, 'best']
['renasci', 202575267, 'impression', '12', 241166250L, datetime.datetime(2013, 5, 25, 17, 47), 0.0218077319044952, False, 'best']
['renasci', 202575267, 'impression', '9', 241149385L, datetime.datetime(2013, 5, 25, 17, 47), 0.0638334464832705, False, 'best']
['renasci', 202575267, 'impression', '8', 241222691L, datetime.datetime(2013, 5, 25, 17, 47), 0.0723708317365571, False, 'best']
['renasci', 202575267, 'impression', '7', 241164614L, datetime.datetime(2013, 5, 25, 17, 47), 0.0746898074585702, False, 'best']
['renasci', 202575267, 'impression', '2', 241153237L, datetime.datetime(2013, 5, 25, 17, 47), 0.137103140174868, True, 'best']
['renasci', 202575267, 'impression', '3', 241167569L, datetime.datetime(2013, 5, 25, 17, 50, 17), 0.133879532111588, False, 'best']
['renasci', 202575267, 'impression', '10', 241199087L, datetime.datetime(2013, 5, 25, 17, 50, 17), 0.0417160624622017, False, 'best']
['renasci', 202575267, 'impression', '11', 241156986L, datetime.datetime(2013, 5, 25, 17, 50, 17), 0.0399458112578698, False, 'best']
['renasci', 202575267, 'impression', '6', 241149688L, datetime.datetime(2013, 5, 25, 17, 50, 17), 0.0948511456143843, False, 'best']
['renasci', 202575267, 'impression', '5', 241168064L, datetime.datetime(2013, 5, 25, 17, 50, 17), 0.0996980587561634, False, 'best']
['renasci', 202575267, 'impression', '7', 241164614L, datetime.datetime(2013, 5, 25, 17, 50, 17), 0.0746898074585702, False, 'best']
['renasci', 202575267, 'impression', '2', 241153237L, datetime.datetime(2013, 5, 25, 17, 50, 17), 0.137103140174868, True, 'best']
['renasci', 202575267, 'impression', '8', 241222691L, datetime.datetime(2013, 5, 25, 17, 50, 17), 0.0723708317365571, False, 'best']
['renasci', 202575267, 'impression', '4', 241224120L, datetime.datetime(2013, 5, 25, 17, 50, 17), 0.110817502831458, False, 'best']
['renasci', 202575267, 'impression', '1', 241268663L, datetime.datetime(2013, 5, 25, 17, 50, 17), 0.138420823526552, False, 'best']
['renasci', 202575267, 'impression', '12', 241166250L, datetime.datetime(2013, 5, 25, 17, 50, 17), 0.0218077319044952, False, 'best']
['renasci', 202575267, 'impression', '13', 241191618L, datetime.datetime(2013, 5, 25, 17, 50, 17), 0.0382634095583939, False, 'best']
['renasci', 202575267, 'impression', '9', 241149385L, datetime.datetime(2013, 5, 25, 17, 50, 17), 0.0638334464832705, False, 'best']

['renasci', 202575267, 'impression', '4', 241167569L, datetime.datetime(2013, 5, 26, 17, 49, 23), 0.133879532111588, False, 'best']
['renasci', 202575267, 'impression', '11', 241199087L, datetime.datetime(2013, 5, 26, 17, 49, 23), 0.0417160624622017, False, 'best']
['renasci', 202575267, 'impression', '12', 241156986L, datetime.datetime(2013, 5, 26, 17, 49, 23), 0.0399458112578698, False, 'best']
['renasci', 202575267, 'impression', '1', 241293698L, datetime.datetime(2013, 5, 26, 17, 49, 23), 0.259918545376691, False, 'best']
['renasci', 202575267, 'impression', '7', 241149688L, datetime.datetime(2013, 5, 26, 17, 49, 23), 0.0948511456143843, False, 'best']
['renasci', 202575267, 'impression', '6', 241168064L, datetime.datetime(2013, 5, 26, 17, 49, 23), 0.0996980587561634, False, 'best']
['renasci', 202575267, 'impression', '13', 241166250L, datetime.datetime(2013, 5, 26, 17, 49, 23), 0.0218077319044952, False, 'best']
['renasci', 202575267, 'impression', '14', 241191618L, datetime.datetime(2013, 5, 26, 17, 49, 23), 0.0382634095583939, False, 'best']
['renasci', 202575267, 'impression', '9', 241222691L, datetime.datetime(2013, 5, 26, 17, 49, 23), 0.0723708317365571, False, 'best']
['renasci', 202575267, 'impression', '10', 241149385L, datetime.datetime(2013, 5, 26, 17, 49, 23), 0.0638334464832705, False, 'best']
['renasci', 202575267, 'impression', '5', 241224120L, datetime.datetime(2013, 5, 26, 17, 49, 23), 0.110817502831458, False, 'best']
['renasci', 202575267, 'impression', '2', 241268663L, datetime.datetime(2013, 5, 26, 17, 49, 23), 0.138420823526552, False, 'best']
['renasci', 202575267, 'impression', '3', 241153237L, datetime.datetime(2013, 5, 26, 17, 49, 23), 0.137103140174868, True, 'best']
['renasci', 202575267, 'impression', '8', 241164614L, datetime.datetime(2013, 5, 26, 17, 49, 23), 0.0746898074585702, False, 'best']

['renasci', 202575267, 'impression', '3', 241153237L, datetime.datetime(2013, 5, 28, 17, 24, 24), 0.137103140174868, True, 'best']
['renasci', 202575267, 'impression', '10', 241164614L, datetime.datetime(2013, 5, 28, 17, 24, 24), 0.0746898074585702, False, 'best']
['renasci', 202575267, 'impression', '8', 241418693L, datetime.datetime(2013, 5, 28, 17, 24, 24), 0.0947079891161369, False, 'best']
['renasci', 202575267, 'impression', '14', 241464582L, datetime.datetime(2013, 5, 28, 17, 24, 24), 0.0416228792873676, False, 'best']
['renasci', 202575267, 'impression', '7', 241149688L, datetime.datetime(2013, 5, 28, 17, 24, 24), 0.0948511456143843, False, 'best']
['renasci', 202575267, 'impression', '6', 241168064L, datetime.datetime(2013, 5, 28, 17, 24, 24), 0.0996980587561634, False, 'best']
['renasci', 202575267, 'impression', '1', 241293698L, datetime.datetime(2013, 5, 28, 17, 24, 24), 0.259918545376691, False, 'best']
