['renee_de_burgh', 202537018, 'impression', '1', 240538267L, datetime.datetime(2013, 5, 16, 17, 18, 14), 0.0317183331468329, False, 'time']
['renee_de_burgh', 202537018, 'view_full_application_via_name', '1', 240538267L, datetime.datetime(2013, 5, 16, 17, 18, 16), 0.0317183331468329, False, 'time']
['renee_de_burgh', 202537018, 'impression', '1', 240538267L, datetime.datetime(2013, 5, 16, 17, 18, 52), 0.0317183331468329, False, 'time']
['renee_de_burgh', 202537018, 'impression', '1', 240538267L, datetime.datetime(2013, 5, 16, 17, 19, 55), 0.0317183331468329, False, 'time']
['renee_de_burgh', 202537018, 'impression', '1', 240538267L, datetime.datetime(2013, 5, 16, 17, 27, 56), 0.0317183331468329, False, 'time']
['renee_de_burgh', 202537018, 'impression', '1', 240538267L, datetime.datetime(2013, 5, 16, 17, 32, 41), 0.0317183331468329, False, 'time']
['renee_de_burgh', 202537018, 'impression', '1', 240538267L, datetime.datetime(2013, 5, 16, 17, 33, 41), 0.0317183331468329, False, 'time']
['renee_de_burgh', 202537018, 'impression', '1', 240538267L, datetime.datetime(2013, 5, 16, 17, 37, 29), 0.0317183331468329, False, 'time']
['renee_de_burgh', 202537018, 'impression', '1', 240538267L, datetime.datetime(2013, 5, 16, 17, 38, 2), 0.0317183331468329, False, 'time']
['renee_de_burgh', 202537018, 'impression', '1', 240538267L, datetime.datetime(2013, 5, 16, 17, 38, 17), 0.0317183331468329, False, 'time']
['renee_de_burgh', 202537018, 'impression', '1', 240538267L, datetime.datetime(2013, 5, 16, 17, 39, 34), 0.0317183331468329, False, 'time']
['renee_de_burgh', 202537018, 'impression', '1', 240538267L, datetime.datetime(2013, 5, 16, 17, 40, 6), 0.0317183331468329, False, 'time']

