['resortsandlodges', 202533579, 'impression', '4', 240500417L, datetime.datetime(2013, 5, 21, 17, 1, 15), 0.149778846060324, False, 'time']
['resortsandlodges', 202533579, 'impression', '1', 240561717L, datetime.datetime(2013, 5, 21, 17, 1, 15), 0.0653301546914755, False, 'time']
['resortsandlodges', 202533579, 'impression', '8', 240410829L, datetime.datetime(2013, 5, 21, 17, 1, 15), 0.0826209076562081, False, 'time']
['resortsandlodges', 202533579, 'impression', '6', 240454404L, datetime.datetime(2013, 5, 21, 17, 1, 15), 0.349649095336232, False, 'time']
['resortsandlodges', 202533579, 'impression', '9', 240404876L, datetime.datetime(2013, 5, 21, 17, 1, 15), 0.0710507117868328, False, 'time']
['resortsandlodges', 202533579, 'impression', '2', 240554286L, datetime.datetime(2013, 5, 21, 17, 1, 15), 0.08971665802879, False, 'time']
['resortsandlodges', 202533579, 'impression', '3', 240541945L, datetime.datetime(2013, 5, 21, 17, 1, 15), 0.0491282721059156, False, 'time']
['resortsandlodges', 202533579, 'impression', '7', 240451523L, datetime.datetime(2013, 5, 21, 17, 1, 15), 0.127759360591471, False, 'time']
['resortsandlodges', 202533579, 'impression', '5', 240484439L, datetime.datetime(2013, 5, 21, 17, 1, 15), 0.0853054412668269, False, 'time']
['resortsandlodges', 202533579, 'shortlist', '1', 240561717L, datetime.datetime(2013, 5, 21, 17, 1, 23), 0.0653301546914755, False, 'time']
['resortsandlodges', 202533579, 'shortlist', '2', 240554286L, datetime.datetime(2013, 5, 21, 17, 1, 25), 0.08971665802879, False, 'time']
['resortsandlodges', 202533579, 'shortlist', '3', 240541945L, datetime.datetime(2013, 5, 21, 17, 1, 26), 0.0491282721059156, False, 'time']
['resortsandlodges', 202533579, 'expand_tile', '3', 240541945L, datetime.datetime(2013, 5, 21, 17, 1, 27), 0.0491282721059156, False, 'time']
['resortsandlodges', 202533579, 'shortlist', '4', 240500417L, datetime.datetime(2013, 5, 21, 17, 1, 29), 0.149778846060324, False, 'time']
['resortsandlodges', 202533579, 'shortlist', '5', 240484439L, datetime.datetime(2013, 5, 21, 17, 1, 32), 0.0853054412668269, False, 'time']
['resortsandlodges', 202533579, 'shortlist', '6', 240454404L, datetime.datetime(2013, 5, 21, 17, 1, 33), 0.349649095336232, False, 'time']
['resortsandlodges', 202533579, 'shortlist', '7', 240451523L, datetime.datetime(2013, 5, 21, 17, 1, 38), 0.127759360591471, False, 'time']
['resortsandlodges', 202533579, 'shortlist', '8', 240410829L, datetime.datetime(2013, 5, 21, 17, 1, 39), 0.0826209076562081, False, 'time']
['resortsandlodges', 202533579, 'impression', '9', 240404876L, datetime.datetime(2013, 5, 21, 17, 2, 6), 0.0710507117868328, False, 'time']
['resortsandlodges', 202533579, 'impression', '1', 240561717L, datetime.datetime(2013, 5, 21, 17, 2, 6), 0.0653301546914755, False, 'time']
['resortsandlodges', 202533579, 'impression', '8', 240410829L, datetime.datetime(2013, 5, 21, 17, 2, 6), 0.0826209076562081, False, 'time']
['resortsandlodges', 202533579, 'impression', '4', 240500417L, datetime.datetime(2013, 5, 21, 17, 2, 6), 0.149778846060324, False, 'time']
['resortsandlodges', 202533579, 'impression', '6', 240454404L, datetime.datetime(2013, 5, 21, 17, 2, 6), 0.349649095336232, False, 'time']
['resortsandlodges', 202533579, 'impression', '7', 240451523L, datetime.datetime(2013, 5, 21, 17, 2, 6), 0.127759360591471, False, 'time']
['resortsandlodges', 202533579, 'impression', '5', 240484439L, datetime.datetime(2013, 5, 21, 17, 2, 6), 0.0853054412668269, False, 'time']
['resortsandlodges', 202533579, 'impression', '2', 240554286L, datetime.datetime(2013, 5, 21, 17, 2, 6), 0.08971665802879, False, 'time']
['resortsandlodges', 202533579, 'impression', '3', 240541945L, datetime.datetime(2013, 5, 21, 17, 2, 6), 0.0491282721059156, False, 'time']
['resortsandlodges', 202533579, 'hide', '1', 240561717L, datetime.datetime(2013, 5, 21, 17, 2, 8), 0.0653301546914755, False, 'time']
['resortsandlodges', 202533579, 'unshortlist', '2', 240554286L, datetime.datetime(2013, 5, 21, 17, 2, 9), 0.08971665802879, False, 'time']
['resortsandlodges', 202533579, 'unshortlist', '3', 240541945L, datetime.datetime(2013, 5, 21, 17, 2, 10), 0.0491282721059156, False, 'time']
['resortsandlodges', 202533579, 'unshortlist', '4', 240500417L, datetime.datetime(2013, 5, 21, 17, 2, 11), 0.149778846060324, False, 'time']
['resortsandlodges', 202533579, 'unshortlist', '5', 240484439L, datetime.datetime(2013, 5, 21, 17, 2, 12), 0.0853054412668269, False, 'time']
['resortsandlodges', 202533579, 'unshortlist', '6', 240454404L, datetime.datetime(2013, 5, 21, 17, 2, 13), 0.349649095336232, False, 'time']
['resortsandlodges', 202533579, 'unshortlist', '7', 240451523L, datetime.datetime(2013, 5, 21, 17, 2, 15), 0.127759360591471, False, 'time']
['resortsandlodges', 202533579, 'unshortlist', '8', 240410829L, datetime.datetime(2013, 5, 21, 17, 2, 15), 0.0826209076562081, False, 'time']
['resortsandlodges', 202533579, 'shortlist', '2', 240554286L, datetime.datetime(2013, 5, 21, 17, 2, 24), 0.08971665802879, False, 'time']
['resortsandlodges', 202533579, 'shortlist', '3', 240541945L, datetime.datetime(2013, 5, 21, 17, 2, 25), 0.0491282721059156, False, 'time']
