['rocflo', 202542237, 'impression', '6', 240492555L, datetime.datetime(2013, 5, 16, 15, 54, 8), 0.615050226476181, False, 'best']
['rocflo', 202542237, 'impression', '9', 240496666L, datetime.datetime(2013, 5, 16, 15, 54, 8), 0.290670335864285, False, 'best']
['rocflo', 202542237, 'impression', '7', 240493478L, datetime.datetime(2013, 5, 16, 15, 54, 8), 0.515375970001065, False, 'best']
['rocflo', 202542237, 'impression', '3', 240480122L, datetime.datetime(2013, 5, 16, 15, 54, 8), 0.773061915273529, False, 'best']
['rocflo', 202542237, 'impression', '8', 240495146L, datetime.datetime(2013, 5, 16, 15, 54, 8), 0.424005384022897, False, 'best']
['rocflo', 202542237, 'impression', '10', 240526355L, datetime.datetime(2013, 5, 16, 15, 54, 8), 0.609981615538068, False, 'best']
['rocflo', 202542237, 'impression', '4', 240480798L, datetime.datetime(2013, 5, 16, 15, 54, 8), 0.66451504849696, False, 'best']
['rocflo', 202542237, 'impression', '11', 240531852L, datetime.datetime(2013, 5, 16, 15, 54, 8), 0.522905079015517, False, 'best']
['rocflo', 202542237, 'impression', '1', 240478372L, datetime.datetime(2013, 5, 16, 15, 54, 8), 0.357579486311398, False, 'best']
['rocflo', 202542237, 'impression', '5', 240480907L, datetime.datetime(2013, 5, 16, 15, 54, 8), 0.793332487473503, False, 'best']
['rocflo', 202542237, 'view_full_application_via_name', '1', 240478372L, datetime.datetime(2013, 5, 16, 15, 54, 50), 0.357579486311398, False, 'best']
['rocflo', 202542237, 'impression', '10', 240531852L, datetime.datetime(2013, 5, 16, 16, 7, 51), 0.522905079015517, False, 'best']
['rocflo', 202542237, 'impression', '4', 240480798L, datetime.datetime(2013, 5, 16, 16, 7, 51), 0.66451504849696, False, 'best']
['rocflo', 202542237, 'impression', '1', 240478372L, datetime.datetime(2013, 5, 16, 16, 7, 51), 0.357579486311398, False, 'best']
['rocflo', 202542237, 'impression', '5', 240480907L, datetime.datetime(2013, 5, 16, 16, 7, 51), 0.793332487473503, False, 'best']
['rocflo', 202542237, 'impression', '8', 240495146L, datetime.datetime(2013, 5, 16, 16, 7, 51), 0.424005384022897, False, 'best']
['rocflo', 202542237, 'impression', '6', 240492555L, datetime.datetime(2013, 5, 16, 16, 7, 51), 0.615050226476181, False, 'best']
['rocflo', 202542237, 'impression', '9', 240496666L, datetime.datetime(2013, 5, 16, 16, 7, 51), 0.290670335864285, False, 'best']
['rocflo', 202542237, 'impression', '7', 240493478L, datetime.datetime(2013, 5, 16, 16, 7, 51), 0.515375970001065, False, 'best']
['rocflo', 202542237, 'impression', '3', 240480122L, datetime.datetime(2013, 5, 16, 16, 7, 51), 0.773061915273529, False, 'best']

