['rrgaza', 202545970, 'impression', '1', 240552192L, datetime.datetime(2013, 5, 16, 15, 34), 0.0513369408168704, False, 'best']
['rrgaza', 202545970, 'impression', '1', 240552192L, datetime.datetime(2013, 5, 16, 15, 39, 46), 0.0513369408168704, False, 'best']

['rrgaza', 202545970, 'impression', '12', 240557481L, datetime.datetime(2013, 5, 21, 17, 53, 59), 0.203396224015103, False, 'best']
['rrgaza', 202545970, 'impression', '8', 240616053L, datetime.datetime(2013, 5, 21, 17, 53, 59), 0.318258945910874, False, 'best']
['rrgaza', 202545970, 'impression', '13', 240552192L, datetime.datetime(2013, 5, 21, 17, 53, 59), 0.0513369408168704, False, 'best']
['rrgaza', 202545970, 'impression', '1', 240560090L, datetime.datetime(2013, 5, 21, 17, 53, 59), 0.851402277003244, False, 'best']
['rrgaza', 202545970, 'impression', '3', 240554435L, datetime.datetime(2013, 5, 21, 17, 53, 59), 0.608369918747222, False, 'best']
['rrgaza', 202545970, 'impression', '5', 240553947L, datetime.datetime(2013, 5, 21, 17, 53, 59), 0.533360142916301, False, 'best']
['rrgaza', 202545970, 'impression', '4', 240553162L, datetime.datetime(2013, 5, 21, 17, 53, 59), 0.534706178141482, False, 'best']
['rrgaza', 202545970, 'impression', '2', 240571183L, datetime.datetime(2013, 5, 21, 17, 53, 59), 0.774501478160646, False, 'best']
['rrgaza', 202545970, 'impression', '10', 240651300L, datetime.datetime(2013, 5, 21, 17, 53, 59), 0.222757857353383, False, 'best']
['rrgaza', 202545970, 'impression', '11', 240557023L, datetime.datetime(2013, 5, 21, 17, 53, 59), 0.207806369173412, False, 'best']
['rrgaza', 202545970, 'impression', '9', 240561502L, datetime.datetime(2013, 5, 21, 17, 53, 59), 0.29128719626685, False, 'best']
['rrgaza', 202545970, 'impression', '7', 240552897L, datetime.datetime(2013, 5, 21, 17, 53, 59), 0.368502487430078, False, 'best']
['rrgaza', 202545970, 'impression', '6', 240558236L, datetime.datetime(2013, 5, 21, 17, 53, 59), 0.441566393865987, False, 'best']
['rrgaza', 202545970, 'expand_tile', '10', 240651300L, datetime.datetime(2013, 5, 21, 17, 54, 46), 0.222757857353383, False, 'best']
['rrgaza', 202545970, 'expand_tile', '7', 240552897L, datetime.datetime(2013, 5, 21, 17, 55), 0.368502487430078, False, 'best']
['rrgaza', 202545970, 'expand_tile', '6', 240558236L, datetime.datetime(2013, 5, 21, 17, 55, 5), 0.441566393865987, False, 'best']
['rrgaza', 202545970, 'expand_tile', '5', 240553947L, datetime.datetime(2013, 5, 21, 17, 55, 9), 0.533360142916301, False, 'best']
['rrgaza', 202545970, 'collapse_tile', '5', 240553947L, datetime.datetime(2013, 5, 21, 17, 55, 17), 0.533360142916301, False, 'best']
['rrgaza', 202545970, 'expand_tile', '5', 240553947L, datetime.datetime(2013, 5, 21, 17, 55, 19), 0.533360142916301, False, 'best']
['rrgaza', 202545970, 'expand_tile', '1', 240560090L, datetime.datetime(2013, 5, 21, 17, 57, 2), 0.851402277003244, False, 'best']
['rrgaza', 202545970, 'view_full_application', '7', 240552897L, datetime.datetime(2013, 5, 21, 17, 57, 35), 0.368502487430078, False, 'best']
['rrgaza', 202545970, 'impression', '11', 240557023L, datetime.datetime(2013, 5, 21, 17, 57, 54), 0.207806369173412, False, 'best']
['rrgaza', 202545970, 'impression', '4', 240553162L, datetime.datetime(2013, 5, 21, 17, 57, 54), 0.534706178141482, False, 'best']
['rrgaza', 202545970, 'impression', '5', 240553947L, datetime.datetime(2013, 5, 21, 17, 57, 54), 0.533360142916301, False, 'best']
