['sandy100', 202590910, 'impression', '2', 241513239L, datetime.datetime(2013, 5, 29, 4, 37, 28), 0.245448965634814, False, 'time']
['sandy100', 202590910, 'impression', '1', 241517280L, datetime.datetime(2013, 5, 29, 4, 37, 28), 0.507610062439789, False, 'time']
['sandy100', 202590910, 'view_full_application_via_name', '1', 241517280L, datetime.datetime(2013, 5, 29, 4, 37, 35), 0.507610062439789, False, 'time']
['sandy100', 202590910, 'impression', '2', 241513239L, datetime.datetime(2013, 5, 29, 4, 42, 59), 0.245448965634814, False, 'time']
['sandy100', 202590910, 'impression', '1', 241517280L, datetime.datetime(2013, 5, 29, 4, 42, 59), 0.507610062439789, False, 'time']
['sandy100', 202590910, 'view_full_application_via_name', '2', 241513239L, datetime.datetime(2013, 5, 29, 4, 43, 14), 0.245448965634814, False, 'time']

['sandy100', 202590910, 'impression', '3', 241513239L, datetime.datetime(2013, 5, 29, 13, 25, 26), 0.245448965634814, False, 'time']
['sandy100', 202590910, 'impression', '1', 241579401L, datetime.datetime(2013, 5, 29, 13, 25, 26), 0.514706030756009, False, 'time']
['sandy100', 202590910, 'impression', '2', 241517280L, datetime.datetime(2013, 5, 29, 13, 25, 26), 0.507610062439789, False, 'time']
['sandy100', 202590910, 'impression', '2', 241517280L, datetime.datetime(2013, 5, 29, 13, 25, 36), 0.507610062439789, False, 'time']
['sandy100', 202590910, 'view_full_application_via_name', '2', 241517280L, datetime.datetime(2013, 5, 29, 13, 25, 38), 0.507610062439789, False, 'time']
['sandy100', 202590910, 'impression', '1', 241579401L, datetime.datetime(2013, 5, 29, 13, 26, 9), 0.514706030756009, False, 'time']
['sandy100', 202590910, 'impression', '2', 241517280L, datetime.datetime(2013, 5, 29, 13, 26, 9), 0.507610062439789, False, 'time']
['sandy100', 202590910, 'impression', '3', 241513239L, datetime.datetime(2013, 5, 29, 13, 26, 9), 0.245448965634814, False, 'time']
['sandy100', 202590910, 'impression', '1', 241579401L, datetime.datetime(2013, 5, 29, 13, 26, 12), 0.514706030756009, False, 'time']
['sandy100', 202590910, 'impression', '3', 241513239L, datetime.datetime(2013, 5, 29, 13, 28, 53), 0.245448965634814, False, 'time']
['sandy100', 202590910, 'impression', '1', 241579401L, datetime.datetime(2013, 5, 29, 13, 28, 53), 0.514706030756009, False, 'time']
['sandy100', 202590910, 'impression', '2', 241517280L, datetime.datetime(2013, 5, 29, 13, 28, 53), 0.507610062439789, False, 'time']

