['saundra_w', 202569067, 'impression', '1', 241046047L, datetime.datetime(2013, 5, 22, 22, 49, 34), 0.895510996031576, False, 'best']
['saundra_w', 202569067, 'impression', '3', 241032304L, datetime.datetime(2013, 5, 22, 22, 49, 34), 0.227310766479593, False, 'best']
['saundra_w', 202569067, 'impression', '2', 241051811L, datetime.datetime(2013, 5, 22, 22, 49, 34), 0.775988767972228, True, 'best']

['saundra_w', 202569067, 'impression', '2', 241051811L, datetime.datetime(2013, 5, 23, 13, 59, 56), 0.775988767972228, True, 'best']
['saundra_w', 202569067, 'impression', '1', 241046047L, datetime.datetime(2013, 5, 23, 13, 59, 56), 0.895510996031576, False, 'best']
['saundra_w', 202569067, 'impression', '3', 241032304L, datetime.datetime(2013, 5, 23, 13, 59, 56), 0.227310766479593, False, 'best']
['saundra_w', 202569067, 'view_full_application_via_name', '3', 241032304L, datetime.datetime(2013, 5, 23, 14, 0, 2), 0.227310766479593, False, 'best']
['saundra_w', 202569067, 'impression', '1', 241046047L, datetime.datetime(2013, 5, 23, 14, 0, 50), 0.895510996031576, False, 'best']
['saundra_w', 202569067, 'impression', '2', 241051811L, datetime.datetime(2013, 5, 23, 14, 0, 50), 0.775988767972228, True, 'best']
['saundra_w', 202569067, 'expand_tile', '2', 241051811L, datetime.datetime(2013, 5, 23, 14, 0, 54), 0.775988767972228, True, 'best']
['saundra_w', 202569067, 'view_full_application', '2', 241051811L, datetime.datetime(2013, 5, 23, 14, 1, 40), 0.775988767972228, True, 'best']
['saundra_w', 202569067, 'impression', '2', 241051811L, datetime.datetime(2013, 5, 23, 14, 9, 25), 0.775988767972228, True, 'best']
['saundra_w', 202569067, 'impression', '1', 241046047L, datetime.datetime(2013, 5, 23, 14, 9, 25), 0.895510996031576, False, 'best']
['saundra_w', 202569067, 'view_full_application_via_name', '1', 241046047L, datetime.datetime(2013, 5, 23, 14, 9, 28), 0.895510996031576, False, 'best']
['saundra_w', 202569067, 'impression', '1', 241046047L, datetime.datetime(2013, 5, 23, 14, 9, 36), 0.895510996031576, False, 'best']
['saundra_w', 202569067, 'impression', '2', 241051811L, datetime.datetime(2013, 5, 23, 14, 9, 36), 0.775988767972228, True, 'best']
['saundra_w', 202569067, 'view_full_application_via_name', '2', 241051811L, datetime.datetime(2013, 5, 23, 14, 9, 38), 0.775988767972228, True, 'best']
['saundra_w', 202569067, 'impression', '2', 241051811L, datetime.datetime(2013, 5, 23, 14, 9, 44), 0.775988767972228, True, 'best']
['saundra_w', 202569067, 'impression', '1', 241046047L, datetime.datetime(2013, 5, 23, 14, 9, 44), 0.895510996031576, False, 'best']
['saundra_w', 202569067, 'view_full_application_via_name', '1', 241046047L, datetime.datetime(2013, 5, 23, 14, 9, 46), 0.895510996031576, False, 'best']
['saundra_w', 202569067, 'impression', '2', 241051811L, datetime.datetime(2013, 5, 23, 14, 13, 36), 0.775988767972228, True, 'best']
['saundra_w', 202569067, 'impression', '1', 241046047L, datetime.datetime(2013, 5, 23, 14, 13, 36), 0.895510996031576, False, 'best']
['saundra_w', 202569067, 'view_full_application_via_name', '2', 241051811L, datetime.datetime(2013, 5, 23, 14, 13, 39), 0.775988767972228, True, 'best']
['saundra_w', 202569067, 'impression', '2', 241051811L, datetime.datetime(2013, 5, 23, 14, 13, 50), 0.775988767972228, True, 'best']
['saundra_w', 202569067, 'impression', '1', 241046047L, datetime.datetime(2013, 5, 23, 14, 13, 50), 0.895510996031576, False, 'best']
['saundra_w', 202569067, 'impression', '1', 241046047L, datetime.datetime(2013, 5, 23, 14, 15, 39), 0.895510996031576, False, 'best']
['saundra_w', 202569067, 'impression', '2', 241051811L, datetime.datetime(2013, 5, 23, 14, 15, 39), 0.775988767972228, True, 'best']

['saundra_w', 202569067, 'impression', '2', 241051811L, datetime.datetime(2013, 5, 23, 19, 52, 42), 0.775988767972228, True, 'best']
['saundra_w', 202569067, 'impression', '1', 241046047L, datetime.datetime(2013, 5, 23, 19, 52, 42), 0.895510996031576, False, 'best']
['saundra_w', 202569067, 'impression', '3', 241137160L, datetime.datetime(2013, 5, 23, 19, 52, 42), 0.39255076420159, False, 'best']
['saundra_w', 202569067, 'view_full_application_via_name', '3', 241137160L, datetime.datetime(2013, 5, 23, 19, 52, 46), 0.39255076420159, False, 'best']

['saundra_w', 202569067, 'impression', '2', 241051811L, datetime.datetime(2013, 5, 24, 14, 12, 30), 0.775988767972228, True, 'best']
['saundra_w', 202569067, 'impression', '3', 241137160L, datetime.datetime(2013, 5, 24, 14, 12, 30), 0.39255076420159, False, 'best']
['saundra_w', 202569067, 'impression', '1', 241046047L, datetime.datetime(2013, 5, 24, 14, 12, 30), 0.895510996031576, False, 'best']
['saundra_w', 202569067, 'view_full_application_via_name', '2', 241051811L, datetime.datetime(2013, 5, 24, 14, 12, 50), 0.775988767972228, True, 'best']

['saundra_w', 202569067, 'impression', '2', 241051811L, datetime.datetime(2013, 5, 24, 15, 30, 25), 0.775988767972228, True, 'best']
['saundra_w', 202569067, 'impression', '1', 241046047L, datetime.datetime(2013, 5, 24, 15, 30, 25), 0.895510996031576, False, 'best']
['saundra_w', 202569067, 'impression', '3', 241137160L, datetime.datetime(2013, 5, 24, 15, 30, 25), 0.39255076420159, False, 'best']

