['saymonalbert', 202571325, 'impression', '10', 241068869L, datetime.datetime(2013, 5, 23, 13, 45, 21), 0.325498216086209, False, 'time']
['saymonalbert', 202571325, 'impression', '8', 241069903L, datetime.datetime(2013, 5, 23, 13, 45, 21), 0.0567169827320345, False, 'time']
['saymonalbert', 202571325, 'impression', '7', 241071401L, datetime.datetime(2013, 5, 23, 13, 45, 21), 0.0368161093761591, False, 'time']
['saymonalbert', 202571325, 'impression', '11', 241068541L, datetime.datetime(2013, 5, 23, 13, 45, 21), 0.0950998087229618, False, 'time']
['saymonalbert', 202571325, 'impression', '3', 241076110L, datetime.datetime(2013, 5, 23, 13, 45, 21), 0.0798349508601664, False, 'time']
['saymonalbert', 202571325, 'impression', '6', 241071801L, datetime.datetime(2013, 5, 23, 13, 45, 21), 0.0890411107306864, False, 'time']
['saymonalbert', 202571325, 'impression', '1', 241095405L, datetime.datetime(2013, 5, 23, 13, 45, 21), 0.133505477574063, False, 'time']
['saymonalbert', 202571325, 'impression', '9', 241069755L, datetime.datetime(2013, 5, 23, 13, 45, 21), 0.0650719275766771, False, 'time']
['saymonalbert', 202571325, 'impression', '2', 241080737L, datetime.datetime(2013, 5, 23, 13, 45, 21), 0.0381273466204861, False, 'time']
['saymonalbert', 202571325, 'impression', '5', 241071979L, datetime.datetime(2013, 5, 23, 13, 45, 21), 0.0497315929882362, False, 'time']
['saymonalbert', 202571325, 'impression', '4', 241072115L, datetime.datetime(2013, 5, 23, 13, 45, 21), 0.0633498215884478, False, 'time']
['saymonalbert', 202571325, 'impression', '13', 241067883L, datetime.datetime(2013, 5, 23, 13, 45, 21), 0.0839977793980393, False, 'time']
['saymonalbert', 202571325, 'impression', '12', 241068261L, datetime.datetime(2013, 5, 23, 13, 45, 21), 0.0629489521051092, False, 'time']
['saymonalbert', 202571325, 'hide', '11', 241068541L, datetime.datetime(2013, 5, 23, 13, 45, 31), 0.0950998087229618, False, 'time']

['saymonalbert', 202571325, 'impression', '5', 241117325L, datetime.datetime(2013, 5, 26, 14, 51, 24), 0.104992604718537, False, 'time']
['saymonalbert', 202571325, 'impression', '4', 241137622L, datetime.datetime(2013, 5, 26, 14, 51, 24), 0.10178630551157, False, 'time']
['saymonalbert', 202571325, 'impression', '10', 241069903L, datetime.datetime(2013, 5, 26, 14, 51, 24), 0.0567169827320345, False, 'time']
['saymonalbert', 202571325, 'impression', '8', 241072115L, datetime.datetime(2013, 5, 26, 14, 51, 24), 0.0633498215884478, False, 'time']
['saymonalbert', 202571325, 'impression', '7', 241080737L, datetime.datetime(2013, 5, 26, 14, 51, 24), 0.0381273466204861, False, 'time']
['saymonalbert', 202571325, 'impression', '1', 241215110L, datetime.datetime(2013, 5, 26, 14, 51, 24), 0.0292555796104447, False, 'time']
['saymonalbert', 202571325, 'impression', '9', 241071979L, datetime.datetime(2013, 5, 26, 14, 51, 24), 0.0497315929882362, False, 'time']
['saymonalbert', 202571325, 'impression', '12', 241067883L, datetime.datetime(2013, 5, 26, 14, 51, 24), 0.0839977793980393, False, 'time']
['saymonalbert', 202571325, 'impression', '3', 241178926L, datetime.datetime(2013, 5, 26, 14, 51, 24), 0.0603168262136721, False, 'time']
['saymonalbert', 202571325, 'impression', '6', 241116828L, datetime.datetime(2013, 5, 26, 14, 51, 24), 0.0908665205222956, False, 'time']
['saymonalbert', 202571325, 'impression', '11', 241068869L, datetime.datetime(2013, 5, 26, 14, 51, 24), 0.325498216086209, False, 'time']
['saymonalbert', 202571325, 'impression', '2', 241205302L, datetime.datetime(2013, 5, 26, 14, 51, 24), 0.0468706854882335, False, 'time']

