['sbtb', 202565454, 'impression', '1', 240962626L, datetime.datetime(2013, 5, 21, 21, 39, 50), 0.146824317796497, False, 'best']
['sbtb', 202565454, 'expand_tile', '1', 240962626L, datetime.datetime(2013, 5, 21, 21, 40, 1), 0.146824317796497, False, 'best']
['sbtb', 202565454, 'view_full_application', '1', 240962626L, datetime.datetime(2013, 5, 21, 21, 40, 37), 0.146824317796497, False, 'best']
['sbtb', 202565454, 'impression', '1', 240963201L, datetime.datetime(2013, 5, 21, 21, 42, 5), 0.0530697592897598, False, 'best']
['sbtb', 202565454, 'view_full_application_via_name', '1', 240963201L, datetime.datetime(2013, 5, 21, 21, 42, 10), 0.0530697592897598, False, 'best']

['sbtb', 202565454, 'impression', '3', 240965466L, datetime.datetime(2013, 5, 22, 1, 45, 2), 0.152428748208237, False, 'best']
['sbtb', 202565454, 'impression', '4', 240964254L, datetime.datetime(2013, 5, 22, 1, 45, 2), 0.124837430128123, False, 'best']
['sbtb', 202565454, 'impression', '2', 240963467L, datetime.datetime(2013, 5, 22, 1, 45, 2), 0.216744899401488, False, 'best']
['sbtb', 202565454, 'impression', '1', 240963701L, datetime.datetime(2013, 5, 22, 1, 45, 2), 0.219476177431865, False, 'best']
['sbtb', 202565454, 'expand_tile', '4', 240964254L, datetime.datetime(2013, 5, 22, 1, 56, 58), 0.124837430128123, False, 'best']

['sbtb', 202565454, 'impression', '3', 240963467L, datetime.datetime(2013, 5, 22, 4, 19, 4), 0.216744899401488, False, 'best']
['sbtb', 202565454, 'impression', '6', 240973309L, datetime.datetime(2013, 5, 22, 4, 19, 4), 0.0520060293887674, False, 'best']
['sbtb', 202565454, 'impression', '2', 240963701L, datetime.datetime(2013, 5, 22, 4, 19, 4), 0.219476177431865, False, 'best']
['sbtb', 202565454, 'impression', '4', 240965466L, datetime.datetime(2013, 5, 22, 4, 19, 4), 0.152428748208237, False, 'best']
['sbtb', 202565454, 'impression', '1', 240977090L, datetime.datetime(2013, 5, 22, 4, 19, 4), 0.519876858758974, False, 'best']
