['scottmacea', 202550938, 'impression', '7', 240653317L, datetime.datetime(2013, 5, 17, 19, 34, 26), 0.312979278724356, False, 'time']
['scottmacea', 202550938, 'impression', '20', 240652692L, datetime.datetime(2013, 5, 17, 19, 34, 26), 0.224912568483777, False, 'time']
['scottmacea', 202550938, 'impression', '10', 240653086L, datetime.datetime(2013, 5, 17, 19, 34, 26), 0.0576655237713669, False, 'time']
['scottmacea', 202550938, 'impression', '19', 240652724L, datetime.datetime(2013, 5, 17, 19, 34, 26), 0.0441036878987792, False, 'time']
['scottmacea', 202550938, 'impression', '18', 240652805L, datetime.datetime(2013, 5, 17, 19, 34, 26), 0.123517990488164, False, 'time']
['scottmacea', 202550938, 'impression', '16', 240652868L, datetime.datetime(2013, 5, 17, 19, 34, 26), 0.155010714928309, False, 'time']
['scottmacea', 202550938, 'impression', '17', 240652860L, datetime.datetime(2013, 5, 17, 19, 34, 26), 0.0237565078784444, False, 'time']
['scottmacea', 202550938, 'impression', '1', 240653840L, datetime.datetime(2013, 5, 17, 19, 34, 26), 0.0340232265768852, False, 'time']
['scottmacea', 202550938, 'impression', '4', 240653653L, datetime.datetime(2013, 5, 17, 19, 34, 26), 0.113843041065179, False, 'time']
['scottmacea', 202550938, 'impression', '13', 240652952L, datetime.datetime(2013, 5, 17, 19, 34, 26), 0.0840319564758249, False, 'time']
['scottmacea', 202550938, 'impression', '6', 240653492L, datetime.datetime(2013, 5, 17, 19, 34, 26), 0.0480738942053835, False, 'time']
['scottmacea', 202550938, 'impression', '11', 240653010L, datetime.datetime(2013, 5, 17, 19, 34, 26), 0.191034311753, False, 'time']
['scottmacea', 202550938, 'impression', '8', 240653189L, datetime.datetime(2013, 5, 17, 19, 34, 26), 0.120629047963688, False, 'time']
['scottmacea', 202550938, 'impression', '14', 240652882L, datetime.datetime(2013, 5, 17, 19, 34, 26), 0.0372127181415268, False, 'time']
['scottmacea', 202550938, 'impression', '5', 240653561L, datetime.datetime(2013, 5, 17, 19, 34, 26), 0.178042948902462, False, 'time']
['scottmacea', 202550938, 'impression', '9', 240653112L, datetime.datetime(2013, 5, 17, 19, 34, 26), 0.0530416457187257, False, 'time']
['scottmacea', 202550938, 'impression', '3', 240653723L, datetime.datetime(2013, 5, 17, 19, 34, 26), 0.063649379185052, False, 'time']
['scottmacea', 202550938, 'impression', '12', 240652966L, datetime.datetime(2013, 5, 17, 19, 34, 26), 0.0792492607995459, False, 'time']
['scottmacea', 202550938, 'impression', '2', 240653787L, datetime.datetime(2013, 5, 17, 19, 34, 26), 0.0920281512792048, False, 'time']
['scottmacea', 202550938, 'impression', '15', 240652878L, datetime.datetime(2013, 5, 17, 19, 34, 26), 0.0177188799463926, False, 'time']
['scottmacea', 202550938, 'expand_tile', '1', 240653840L, datetime.datetime(2013, 5, 17, 19, 34, 56), 0.0340232265768852, False, 'time']
['scottmacea', 202550938, 'expand_tile', '2', 240653787L, datetime.datetime(2013, 5, 17, 19, 35, 16), 0.0920281512792048, False, 'time']
['scottmacea', 202550938, 'expand_tile', '3', 240653723L, datetime.datetime(2013, 5, 17, 19, 35, 25), 0.063649379185052, False, 'time']
['scottmacea', 202550938, 'expand_tile', '4', 240653653L, datetime.datetime(2013, 5, 17, 19, 35, 27), 0.113843041065179, False, 'time']
['scottmacea', 202550938, 'expand_tile', '5', 240653561L, datetime.datetime(2013, 5, 17, 19, 35, 31), 0.178042948902462, False, 'time']
['scottmacea', 202550938, 'expand_tile', '6', 240653492L, datetime.datetime(2013, 5, 17, 19, 35, 39), 0.0480738942053835, False, 'time']
['scottmacea', 202550938, 'expand_tile', '7', 240653317L, datetime.datetime(2013, 5, 17, 19, 35, 43), 0.312979278724356, False, 'time']
['scottmacea', 202550938, 'expand_tile', '8', 240653189L, datetime.datetime(2013, 5, 17, 19, 35, 51), 0.120629047963688, False, 'time']
['scottmacea', 202550938, 'expand_tile', '9', 240653112L, datetime.datetime(2013, 5, 17, 19, 35, 53), 0.0530416457187257, False, 'time']
['scottmacea', 202550938, 'expand_tile', '10', 240653086L, datetime.datetime(2013, 5, 17, 19, 35, 56), 0.0576655237713669, False, 'time']
['scottmacea', 202550938, 'expand_tile', '11', 240653010L, datetime.datetime(2013, 5, 17, 19, 35, 57), 0.191034311753, False, 'time']
['scottmacea', 202550938, 'collapse_tile', '11', 240653010L, datetime.datetime(2013, 5, 17, 19, 36, 41), 0.191034311753, False, 'time']
['scottmacea', 202550938, 'expand_tile', '12', 240652966L, datetime.datetime(2013, 5, 17, 19, 36, 42), 0.0792492607995459, False, 'time']
