['seagull71', 202565612, 'impression', '5', 240964615L, datetime.datetime(2013, 5, 22, 7, 3, 51), 0.118761105033604, False, 'best']
['seagull71', 202565612, 'impression', '6', 240968381L, datetime.datetime(2013, 5, 22, 7, 3, 51), 0.115568346637394, True, 'best']
['seagull71', 202565612, 'impression', '3', 240964652L, datetime.datetime(2013, 5, 22, 7, 3, 51), 0.150319880281655, False, 'best']
['seagull71', 202565612, 'impression', '8', 240964620L, datetime.datetime(2013, 5, 22, 7, 3, 51), 0.0466117520783218, False, 'best']
['seagull71', 202565612, 'impression', '1', 240985744L, datetime.datetime(2013, 5, 22, 7, 3, 51), 0.296000272014277, True, 'best']
['seagull71', 202565612, 'impression', '2', 240967554L, datetime.datetime(2013, 5, 22, 7, 3, 51), 0.179973408595497, False, 'best']
['seagull71', 202565612, 'impression', '7', 240964452L, datetime.datetime(2013, 5, 22, 7, 3, 51), 0.081102661809218, False, 'best']
['seagull71', 202565612, 'impression', '4', 240964119L, datetime.datetime(2013, 5, 22, 7, 3, 51), 0.12660771145912, False, 'best']
['seagull71', 202565612, 'expand_tile', '1', 240985744L, datetime.datetime(2013, 5, 22, 7, 4, 8), 0.296000272014277, True, 'best']
['seagull71', 202565612, 'collapse_tile', '1', 240985744L, datetime.datetime(2013, 5, 22, 7, 4, 36), 0.296000272014277, True, 'best']
['seagull71', 202565612, 'expand_tile', '1', 240985744L, datetime.datetime(2013, 5, 22, 7, 4, 38), 0.296000272014277, True, 'best']
['seagull71', 202565612, 'collapse_tile', '1', 240985744L, datetime.datetime(2013, 5, 22, 7, 4, 40), 0.296000272014277, True, 'best']
['seagull71', 202565612, 'expand_tile', '2', 240967554L, datetime.datetime(2013, 5, 22, 7, 4, 41), 0.179973408595497, False, 'best']
['seagull71', 202565612, 'expand_tile', '1', 240985744L, datetime.datetime(2013, 5, 22, 7, 5, 18), 0.296000272014277, True, 'best']
['seagull71', 202565612, 'expand_tile', '5', 240964615L, datetime.datetime(2013, 5, 22, 7, 5, 39), 0.118761105033604, False, 'best']
['seagull71', 202565612, 'expand_tile', '6', 240968381L, datetime.datetime(2013, 5, 22, 7, 5, 53), 0.115568346637394, True, 'best']
['seagull71', 202565612, 'expand_tile', '3', 240964652L, datetime.datetime(2013, 5, 22, 7, 6, 19), 0.150319880281655, False, 'best']
['seagull71', 202565612, 'expand_tile', '1', 240985744L, datetime.datetime(2013, 5, 22, 7, 7, 2), 0.296000272014277, True, 'best']
['seagull71', 202565612, 'expand_tile', '1', 240985744L, datetime.datetime(2013, 5, 22, 7, 8, 53), 0.296000272014277, True, 'best']
['seagull71', 202565612, 'shortlist', '1', 240985744L, datetime.datetime(2013, 5, 22, 7, 8, 53), 0.296000272014277, True, 'best']
['seagull71', 202565612, 'impression', '2', 240967554L, datetime.datetime(2013, 5, 22, 7, 9, 28), 0.179973408595497, False, 'best']
