['shakerhd', 202550195, 'impression', '4', 240655445L, datetime.datetime(2013, 5, 18, 10, 6, 5), 0.326733677306237, False, 'time']
['shakerhd', 202550195, 'impression', '2', 240678945L, datetime.datetime(2013, 5, 18, 10, 6, 5), 0.312805583094263, False, 'time']
['shakerhd', 202550195, 'impression', '6', 240642869L, datetime.datetime(2013, 5, 18, 10, 6, 5), 0.15044885828416, False, 'time']
['shakerhd', 202550195, 'impression', '3', 240658081L, datetime.datetime(2013, 5, 18, 10, 6, 5), 0.150638082292039, False, 'time']
['shakerhd', 202550195, 'impression', '1', 240682846L, datetime.datetime(2013, 5, 18, 10, 6, 5), 0.293200878464565, False, 'time']
['shakerhd', 202550195, 'impression', '7', 240642494L, datetime.datetime(2013, 5, 18, 10, 6, 5), 0.301763850957504, False, 'time']
['shakerhd', 202550195, 'impression', '5', 240643118L, datetime.datetime(2013, 5, 18, 10, 6, 5), 0.268827138063573, False, 'time']
['shakerhd', 202550195, 'expand_tile', '2', 240678945L, datetime.datetime(2013, 5, 18, 10, 10, 8), 0.312805583094263, False, 'time']
['shakerhd', 202550195, 'send_message', '2', 240678945L, datetime.datetime(2013, 5, 18, 10, 11, 48), 0.312805583094263, False, 'time']
['shakerhd', 202550195, 'impression', '5', 240643118L, datetime.datetime(2013, 5, 18, 10, 15, 1), 0.268827138063573, False, 'time']
['shakerhd', 202550195, 'impression', '6', 240642869L, datetime.datetime(2013, 5, 18, 10, 15, 1), 0.15044885828416, False, 'time']
['shakerhd', 202550195, 'impression', '7', 240642494L, datetime.datetime(2013, 5, 18, 10, 15, 1), 0.301763850957504, False, 'time']
['shakerhd', 202550195, 'impression', '3', 240658081L, datetime.datetime(2013, 5, 18, 10, 15, 1), 0.150638082292039, False, 'time']
['shakerhd', 202550195, 'impression', '1', 240682846L, datetime.datetime(2013, 5, 18, 10, 15, 1), 0.293200878464565, False, 'time']
['shakerhd', 202550195, 'impression', '2', 240678945L, datetime.datetime(2013, 5, 18, 10, 15, 1), 0.312805583094263, False, 'time']
['shakerhd', 202550195, 'impression', '4', 240655445L, datetime.datetime(2013, 5, 18, 10, 15, 1), 0.326733677306237, False, 'time']

