['shivam510', 202562536, 'impression', '13', 240907019L, datetime.datetime(2013, 5, 21, 9, 31, 52), 0.0253075443662216, False, 'best']
['shivam510', 202562536, 'impression', '17', 240903422L, datetime.datetime(2013, 5, 21, 9, 31, 52), 0.0139323703672844, False, 'best']
['shivam510', 202562536, 'impression', '10', 240904608L, datetime.datetime(2013, 5, 21, 9, 31, 52), 0.0262360631100566, False, 'best']
['shivam510', 202562536, 'impression', '2', 240905415L, datetime.datetime(2013, 5, 21, 9, 31, 52), 0.0523870130823488, False, 'best']
['shivam510', 202562536, 'impression', '18', 240906704L, datetime.datetime(2013, 5, 21, 9, 31, 52), 0.0106241082764739, False, 'best']
['shivam510', 202562536, 'impression', '19', 240906933L, datetime.datetime(2013, 5, 21, 9, 31, 52), 0.0105978270414414, False, 'best']
['shivam510', 202562536, 'impression', '4', 240906457L, datetime.datetime(2013, 5, 21, 9, 31, 52), 0.0368073414149307, False, 'best']
['shivam510', 202562536, 'impression', '5', 240904935L, datetime.datetime(2013, 5, 21, 9, 31, 52), 0.0366648389870237, False, 'best']
['shivam510', 202562536, 'impression', '12', 240910248L, datetime.datetime(2013, 5, 21, 9, 31, 52), 0.0254093014468271, False, 'best']
['shivam510', 202562536, 'impression', '20', 240911677L, datetime.datetime(2013, 5, 21, 9, 31, 52), 0.00859959378560281, False, 'best']
['shivam510', 202562536, 'impression', '3', 240906622L, datetime.datetime(2013, 5, 21, 9, 31, 52), 0.0368443931855794, False, 'best']
['shivam510', 202562536, 'impression', '16', 240905819L, datetime.datetime(2013, 5, 21, 9, 31, 52), 0.0147592573502519, False, 'best']
['shivam510', 202562536, 'impression', '8', 240907498L, datetime.datetime(2013, 5, 21, 9, 31, 52), 0.0274956012491092, False, 'best']
['shivam510', 202562536, 'impression', '11', 240903547L, datetime.datetime(2013, 5, 21, 9, 31, 52), 0.0254272664419214, False, 'best']
['shivam510', 202562536, 'impression', '14', 240911372L, datetime.datetime(2013, 5, 21, 9, 31, 52), 0.0243231494119084, False, 'best']
['shivam510', 202562536, 'impression', '7', 240907299L, datetime.datetime(2013, 5, 21, 9, 31, 52), 0.030028139889691, False, 'best']
['shivam510', 202562536, 'impression', '15', 240905150L, datetime.datetime(2013, 5, 21, 9, 31, 52), 0.0212568005720424, False, 'best']
['shivam510', 202562536, 'impression', '9', 240904682L, datetime.datetime(2013, 5, 21, 9, 31, 52), 0.0262409616244011, False, 'best']
['shivam510', 202562536, 'impression', '1', 240903559L, datetime.datetime(2013, 5, 21, 9, 31, 52), 0.110792048701244, False, 'best']
['shivam510', 202562536, 'impression', '6', 240904376L, datetime.datetime(2013, 5, 21, 9, 31, 52), 0.0335936709428745, False, 'best']
['shivam510', 202562536, 'shortlist', '17', 240903422L, datetime.datetime(2013, 5, 21, 9, 32, 21), 0.0139323703672844, False, 'best']
['shivam510', 202562536, 'impression', '15', 240905150L, datetime.datetime(2013, 5, 21, 9, 32, 40), 0.0212568005720424, False, 'best']
['shivam510', 202562536, 'shortlist', '15', 240905150L, datetime.datetime(2013, 5, 21, 9, 32, 41), 0.0212568005720424, False, 'best']
['shivam510', 202562536, 'view_full_application_via_name', '15', 240905150L, datetime.datetime(2013, 5, 21, 9, 32, 48), 0.0212568005720424, False, 'best']
['shivam510', 202562536, 'impression', '7', 240907299L, datetime.datetime(2013, 5, 21, 9, 33, 2), 0.030028139889691, False, 'best']
['shivam510', 202562536, 'impression', '14', 240911372L, datetime.datetime(2013, 5, 21, 9, 33, 2), 0.0243231494119084, False, 'best']
['shivam510', 202562536, 'impression', '15', 240905150L, datetime.datetime(2013, 5, 21, 9, 33, 2), 0.0212568005720424, False, 'best']
['shivam510', 202562536, 'impression', '17', 240903422L, datetime.datetime(2013, 5, 21, 9, 33, 2), 0.0139323703672844, False, 'best']
['shivam510', 202562536, 'impression', '13', 240907019L, datetime.datetime(2013, 5, 21, 9, 33, 2), 0.0253075443662216, False, 'best']
['shivam510', 202562536, 'impression', '19', 240906933L, datetime.datetime(2013, 5, 21, 9, 33, 2), 0.0105978270414414, False, 'best']
['shivam510', 202562536, 'impression', '18', 240906704L, datetime.datetime(2013, 5, 21, 9, 33, 2), 0.0106241082764739, False, 'best']
['shivam510', 202562536, 'impression', '2', 240905415L, datetime.datetime(2013, 5, 21, 9, 33, 2), 0.0523870130823488, False, 'best']
['shivam510', 202562536, 'impression', '10', 240904608L, datetime.datetime(2013, 5, 21, 9, 33, 2), 0.0262360631100566, False, 'best']
['shivam510', 202562536, 'impression', '4', 240906457L, datetime.datetime(2013, 5, 21, 9, 33, 2), 0.0368073414149307, False, 'best']
['shivam510', 202562536, 'impression', '3', 240906622L, datetime.datetime(2013, 5, 21, 9, 33, 2), 0.0368443931855794, False, 'best']
['shivam510', 202562536, 'impression', '12', 240910248L, datetime.datetime(2013, 5, 21, 9, 33, 2), 0.0254093014468271, False, 'best']
['shivam510', 202562536, 'impression', '16', 240905819L, datetime.datetime(2013, 5, 21, 9, 33, 2), 0.0147592573502519, False, 'best']
['shivam510', 202562536, 'impression', '5', 240904935L, datetime.datetime(2013, 5, 21, 9, 33, 2), 0.0366648389870237, False, 'best']
