['shoplocket', 202559944, 'impression', '8', 240857238L, datetime.datetime(2013, 5, 20, 19, 14, 25), 0.0204317575288147, False, 'best']
['shoplocket', 202559944, 'impression', '2', 240855905L, datetime.datetime(2013, 5, 20, 19, 14, 25), 0.0760446971299562, False, 'best']
['shoplocket', 202559944, 'impression', '6', 240859691L, datetime.datetime(2013, 5, 20, 19, 14, 25), 0.0484481662841283, False, 'best']
['shoplocket', 202559944, 'impression', '1', 240856849L, datetime.datetime(2013, 5, 20, 19, 14, 25), 0.295313869114307, False, 'best']
['shoplocket', 202559944, 'impression', '5', 240857358L, datetime.datetime(2013, 5, 20, 19, 14, 25), 0.0495023542929137, False, 'best']
['shoplocket', 202559944, 'impression', '3', 240858902L, datetime.datetime(2013, 5, 20, 19, 14, 25), 0.0557760916820278, False, 'best']
['shoplocket', 202559944, 'impression', '4', 240855922L, datetime.datetime(2013, 5, 20, 19, 14, 25), 0.0503782312125013, False, 'best']
['shoplocket', 202559944, 'impression', '7', 240855704L, datetime.datetime(2013, 5, 20, 19, 14, 25), 0.0282256587828022, False, 'best']

['shoplocket', 202559944, 'impression', '5', 240875488L, datetime.datetime(2013, 5, 21, 13, 31, 50), 0.110768872878064, False, 'best']
['shoplocket', 202559944, 'impression', '19', 240857358L, datetime.datetime(2013, 5, 21, 13, 31, 50), 0.0495023542929137, False, 'best']
['shoplocket', 202559944, 'impression', '14', 240888917L, datetime.datetime(2013, 5, 21, 13, 31, 50), 0.0583137562500163, False, 'best']
['shoplocket', 202559944, 'impression', '4', 240920734L, datetime.datetime(2013, 5, 21, 13, 31, 50), 0.122866850760265, False, 'best']
['shoplocket', 202559944, 'impression', '20', 240859691L, datetime.datetime(2013, 5, 21, 13, 31, 50), 0.0484481662841283, False, 'best']
['shoplocket', 202559944, 'impression', '13', 240887535L, datetime.datetime(2013, 5, 21, 13, 31, 50), 0.0663057388236905, False, 'best']
['shoplocket', 202559944, 'impression', '18', 240855922L, datetime.datetime(2013, 5, 21, 13, 31, 50), 0.0503782312125013, False, 'best']
['shoplocket', 202559944, 'impression', '15', 240858902L, datetime.datetime(2013, 5, 21, 13, 31, 50), 0.0557760916820278, False, 'best']
['shoplocket', 202559944, 'impression', '6', 240854689L, datetime.datetime(2013, 5, 21, 13, 31, 50), 0.0987305069771398, True, 'best']
['shoplocket', 202559944, 'impression', '2', 240920293L, datetime.datetime(2013, 5, 21, 13, 31, 50), 0.183731005272972, False, 'best']
['shoplocket', 202559944, 'impression', '7', 240916205L, datetime.datetime(2013, 5, 21, 13, 31, 50), 0.0977446333811894, True, 'best']
['shoplocket', 202559944, 'impression', '1', 240856849L, datetime.datetime(2013, 5, 21, 13, 31, 50), 0.295313869114307, False, 'best']
['shoplocket', 202559944, 'impression', '17', 240882240L, datetime.datetime(2013, 5, 21, 13, 31, 50), 0.0513978584256588, False, 'best']
['shoplocket', 202559944, 'impression', '9', 240870873L, datetime.datetime(2013, 5, 21, 13, 31, 50), 0.0809604265871905, False, 'best']
['shoplocket', 202559944, 'impression', '11', 240875228L, datetime.datetime(2013, 5, 21, 13, 31, 50), 0.0751253457071637, False, 'best']
