['shyamagoone', 202552847, 'impression', '2', 240697762L, datetime.datetime(2013, 5, 19, 14, 43, 27), 0.0696712374377505, False, 'time']
['shyamagoone', 202552847, 'impression', '4', 240696924L, datetime.datetime(2013, 5, 19, 14, 43, 27), 0.0765231898136582, True, 'time']
['shyamagoone', 202552847, 'impression', '1', 240698622L, datetime.datetime(2013, 5, 19, 14, 43, 27), 0.100609139355944, False, 'time']
['shyamagoone', 202552847, 'impression', '3', 240697727L, datetime.datetime(2013, 5, 19, 14, 43, 27), 0.0351809840132682, False, 'time']
['shyamagoone', 202552847, 'shortlist', '4', 240696924L, datetime.datetime(2013, 5, 19, 14, 43, 40), 0.0765231898136582, True, 'time']
['shyamagoone', 202552847, 'shortlist', '1', 240698622L, datetime.datetime(2013, 5, 19, 14, 43, 43), 0.100609139355944, False, 'time']
['shyamagoone', 202552847, 'impression', '4', 240696924L, datetime.datetime(2013, 5, 19, 14, 44, 36), 0.0765231898136582, True, 'time']
['shyamagoone', 202552847, 'impression', '1', 240698622L, datetime.datetime(2013, 5, 19, 14, 44, 36), 0.100609139355944, False, 'time']
['shyamagoone', 202552847, 'impression', '2', 240697762L, datetime.datetime(2013, 5, 19, 14, 44, 36), 0.0696712374377505, False, 'time']
['shyamagoone', 202552847, 'impression', '3', 240697727L, datetime.datetime(2013, 5, 19, 14, 44, 36), 0.0351809840132682, False, 'time']
['shyamagoone', 202552847, 'impression', '2', 240697762L, datetime.datetime(2013, 5, 19, 14, 47, 39), 0.0696712374377505, False, 'time']
['shyamagoone', 202552847, 'impression', '3', 240697727L, datetime.datetime(2013, 5, 19, 14, 47, 39), 0.0351809840132682, False, 'time']
['shyamagoone', 202552847, 'impression', '1', 240698622L, datetime.datetime(2013, 5, 19, 14, 47, 39), 0.100609139355944, False, 'time']
['shyamagoone', 202552847, 'impression', '4', 240696924L, datetime.datetime(2013, 5, 19, 14, 47, 39), 0.0765231898136582, True, 'time']
['shyamagoone', 202552847, 'view_full_application_via_name', '4', 240696924L, datetime.datetime(2013, 5, 19, 14, 47, 41), 0.0765231898136582, True, 'time']
['shyamagoone', 202552847, 'view_full_application_via_name', '4', 240696924L, datetime.datetime(2013, 5, 19, 14, 47, 54), 0.0765231898136582, True, 'time']
['shyamagoone', 202552847, 'view_full_application_via_name', '4', 240696924L, datetime.datetime(2013, 5, 19, 14, 47, 57), 0.0765231898136582, True, 'time']
['shyamagoone', 202552847, 'view_full_application_via_name', '4', 240696924L, datetime.datetime(2013, 5, 19, 14, 47, 59), 0.0765231898136582, True, 'time']
['shyamagoone', 202552847, 'view_full_application_via_name', '4', 240696924L, datetime.datetime(2013, 5, 19, 14, 48), 0.0765231898136582, True, 'time']

['shyamagoone', 202552847, 'impression', '1', 240698622L, datetime.datetime(2013, 5, 20, 5, 13, 16), 0.100609139355944, False, 'time']
['shyamagoone', 202552847, 'impression', '2', 240697762L, datetime.datetime(2013, 5, 20, 5, 13, 16), 0.0696712374377505, False, 'time']
['shyamagoone', 202552847, 'impression', '2', 240697762L, datetime.datetime(2013, 5, 20, 5, 13, 46), 0.0696712374377505, False, 'time']
['shyamagoone', 202552847, 'impression', '1', 240698622L, datetime.datetime(2013, 5, 20, 5, 13, 46), 0.100609139355944, False, 'time']

