['sratrade', 202588338, 'impression', '11', 241448924L, datetime.datetime(2013, 5, 28, 4, 9, 56), 0.101835823542723, False, 'best']
['sratrade', 202588338, 'impression', '6', 241448663L, datetime.datetime(2013, 5, 28, 4, 9, 56), 0.1463272267953, False, 'best']
['sratrade', 202588338, 'impression', '4', 241448231L, datetime.datetime(2013, 5, 28, 4, 9, 56), 0.17432151797083, False, 'best']
['sratrade', 202588338, 'impression', '12', 241448622L, datetime.datetime(2013, 5, 28, 4, 9, 56), 0.0995847053185118, False, 'best']
['sratrade', 202588338, 'impression', '20', 241448279L, datetime.datetime(2013, 5, 28, 4, 9, 56), 0.0377595125472219, False, 'best']
['sratrade', 202588338, 'impression', '5', 241448303L, datetime.datetime(2013, 5, 28, 4, 9, 56), 0.17021384131334, False, 'best']
['sratrade', 202588338, 'impression', '1', 241448670L, datetime.datetime(2013, 5, 28, 4, 9, 56), 0.362447260345726, False, 'best']
['sratrade', 202588338, 'impression', '14', 241448309L, datetime.datetime(2013, 5, 28, 4, 9, 56), 0.085806524053524, False, 'best']
['sratrade', 202588338, 'impression', '15', 241448333L, datetime.datetime(2013, 5, 28, 4, 9, 56), 0.079770765813902, False, 'best']
['sratrade', 202588338, 'impression', '8', 241448512L, datetime.datetime(2013, 5, 28, 4, 9, 56), 0.127126616172665, False, 'best']
['sratrade', 202588338, 'impression', '16', 241449116L, datetime.datetime(2013, 5, 28, 4, 9, 56), 0.0626702901777845, False, 'best']
['sratrade', 202588338, 'impression', '19', 241448530L, datetime.datetime(2013, 5, 28, 4, 9, 56), 0.0474508202554132, False, 'best']
['sratrade', 202588338, 'impression', '18', 241449777L, datetime.datetime(2013, 5, 28, 4, 9, 56), 0.0588866041708265, False, 'best']
['sratrade', 202588338, 'impression', '7', 241448354L, datetime.datetime(2013, 5, 28, 4, 9, 56), 0.137426002154702, False, 'best']
['sratrade', 202588338, 'impression', '13', 241448491L, datetime.datetime(2013, 5, 28, 4, 9, 56), 0.0910252672092831, False, 'best']
['sratrade', 202588338, 'impression', '9', 241448394L, datetime.datetime(2013, 5, 28, 4, 9, 56), 0.126540958104835, False, 'best']
['sratrade', 202588338, 'impression', '10', 241448577L, datetime.datetime(2013, 5, 28, 4, 9, 56), 0.106350589323989, False, 'best']
['sratrade', 202588338, 'impression', '3', 241448565L, datetime.datetime(2013, 5, 28, 4, 9, 56), 0.232328726723985, False, 'best']
['sratrade', 202588338, 'impression', '17', 241448509L, datetime.datetime(2013, 5, 28, 4, 9, 56), 0.0620315725329636, False, 'best']
['sratrade', 202588338, 'impression', '2', 241449468L, datetime.datetime(2013, 5, 28, 4, 9, 56), 0.25897651051675, False, 'best']
['sratrade', 202588338, 'expand_tile', '11', 241448924L, datetime.datetime(2013, 5, 28, 4, 10, 23), 0.101835823542723, False, 'best']
['sratrade', 202588338, 'impression', '10', 241448577L, datetime.datetime(2013, 5, 28, 4, 10, 43), 0.106350589323989, False, 'best']
['sratrade', 202588338, 'impression', '19', 241448530L, datetime.datetime(2013, 5, 28, 4, 10, 52), 0.0474508202554132, False, 'best']
['sratrade', 202588338, 'impression', '1', 241448670L, datetime.datetime(2013, 5, 28, 4, 11, 26), 0.362447260345726, False, 'best']
['sratrade', 202588338, 'expand_tile', '1', 241448670L, datetime.datetime(2013, 5, 28, 4, 11, 30), 0.362447260345726, False, 'best']
['sratrade', 202588338, 'expand_tile', '20', 241448279L, datetime.datetime(2013, 5, 28, 4, 11, 54), 0.0377595125472219, False, 'best']
['sratrade', 202588338, 'impression', '6', 241448663L, datetime.datetime(2013, 5, 28, 4, 12, 11), 0.1463272267953, False, 'best']
['sratrade', 202588338, 'impression', '13', 241448924L, datetime.datetime(2013, 5, 28, 4, 12, 11), 0.101835823542723, False, 'best']
['sratrade', 202588338, 'impression', '9', 241448394L, datetime.datetime(2013, 5, 28, 4, 12, 11), 0.126540958104835, False, 'best']
['sratrade', 202588338, 'impression', '7', 241448354L, datetime.datetime(2013, 5, 28, 4, 12, 11), 0.137426002154702, False, 'best']
['sratrade', 202588338, 'impression', '10', 241450237L, datetime.datetime(2013, 5, 28, 4, 12, 11), 0.121071961638648, False, 'best']
['sratrade', 202588338, 'impression', '15', 241448491L, datetime.datetime(2013, 5, 28, 4, 12, 11), 0.0910252672092831, False, 'best']
['sratrade', 202588338, 'impression', '16', 241448309L, datetime.datetime(2013, 5, 28, 4, 12, 11), 0.085806524053524, False, 'best']
['sratrade', 202588338, 'impression', '17', 241448333L, datetime.datetime(2013, 5, 28, 4, 12, 11), 0.079770765813902, False, 'best']
['sratrade', 202588338, 'impression', '8', 241448512L, datetime.datetime(2013, 5, 28, 4, 12, 11), 0.127126616172665, False, 'best']
['sratrade', 202588338, 'impression', '4', 241448231L, datetime.datetime(2013, 5, 28, 4, 12, 11), 0.17432151797083, False, 'best']
['sratrade', 202588338, 'impression', '14', 241448622L, datetime.datetime(2013, 5, 28, 4, 12, 11), 0.0995847053185118, False, 'best']
['sratrade', 202588338, 'impression', '5', 241448303L, datetime.datetime(2013, 5, 28, 4, 12, 11), 0.17021384131334, False, 'best']
['sratrade', 202588338, 'impression', '1', 241448670L, datetime.datetime(2013, 5, 28, 4, 12, 11), 0.362447260345726, False, 'best']
['sratrade', 202588338, 'impression', '12', 241448577L, datetime.datetime(2013, 5, 28, 4, 12, 11), 0.106350589323989, False, 'best']
['sratrade', 202588338, 'impression', '3', 241448565L, datetime.datetime(2013, 5, 28, 4, 12, 11), 0.232328726723985, False, 'best']
['sratrade', 202588338, 'impression', '19', 241448509L, datetime.datetime(2013, 5, 28, 4, 12, 11), 0.0620315725329636, False, 'best']
['sratrade', 202588338, 'impression', '2', 241449468L, datetime.datetime(2013, 5, 28, 4, 12, 11), 0.25897651051675, False, 'best']
['sratrade', 202588338, 'impression', '18', 241449116L, datetime.datetime(2013, 5, 28, 4, 12, 11), 0.0626702901777845, False, 'best']
['sratrade', 202588338, 'impression', '20', 241449777L, datetime.datetime(2013, 5, 28, 4, 12, 11), 0.0588866041708265, False, 'best']
['sratrade', 202588338, 'impression', '11', 241449971L, datetime.datetime(2013, 5, 28, 4, 12, 11), 0.106569044682377, False, 'best']
['sratrade', 202588338, 'impression', '1', 241448670L, datetime.datetime(2013, 5, 28, 4, 12, 35), 0.362447260345726, False, 'best']
['sratrade', 202588338, 'expand_tile', '1', 241448670L, datetime.datetime(2013, 5, 28, 4, 12, 38), 0.362447260345726, False, 'best']

['sratrade', 202588338, 'impression', '15', 241448491L, datetime.datetime(2013, 5, 28, 21, 23, 42), 0.0910252672092831, False, 'best']
['sratrade', 202588338, 'impression', '9', 241450237L, datetime.datetime(2013, 5, 28, 21, 23, 42), 0.121071961638648, False, 'best']
['sratrade', 202588338, 'impression', '18', 241474279L, datetime.datetime(2013, 5, 28, 21, 23, 42), 0.0853218070458309, False, 'best']
['sratrade', 202588338, 'impression', '10', 241455008L, datetime.datetime(2013, 5, 28, 21, 23, 42), 0.113259817877351, False, 'best']
['sratrade', 202588338, 'impression', '13', 241448924L, datetime.datetime(2013, 5, 28, 21, 23, 42), 0.101835823542723, False, 'best']
['sratrade', 202588338, 'impression', '6', 241510269L, datetime.datetime(2013, 5, 28, 21, 23, 42), 0.166233701351052, True, 'best']
['sratrade', 202588338, 'impression', '17', 241471874L, datetime.datetime(2013, 5, 28, 21, 23, 42), 0.0863815705744874, False, 'best']
['sratrade', 202588338, 'impression', '20', 241484232L, datetime.datetime(2013, 5, 28, 21, 23, 42), 0.0715408027103759, False, 'best']
['sratrade', 202588338, 'impression', '7', 241450785L, datetime.datetime(2013, 5, 28, 21, 23, 42), 0.130889698442642, False, 'best']
['sratrade', 202588338, 'impression', '4', 241490996L, datetime.datetime(2013, 5, 28, 21, 23, 42), 0.17130308358147, False, 'best']
['sratrade', 202588338, 'impression', '3', 241448231L, datetime.datetime(2013, 5, 28, 21, 23, 42), 0.17432151797083, False, 'best']
['sratrade', 202588338, 'impression', '1', 241448670L, datetime.datetime(2013, 5, 28, 21, 23, 42), 0.362447260345726, False, 'best']
['sratrade', 202588338, 'impression', '5', 241448303L, datetime.datetime(2013, 5, 28, 21, 23, 42), 0.17021384131334, False, 'best']
['sratrade', 202588338, 'impression', '14', 241448622L, datetime.datetime(2013, 5, 28, 21, 23, 42), 0.0995847053185118, False, 'best']
['sratrade', 202588338, 'impression', '12', 241449971L, datetime.datetime(2013, 5, 28, 21, 23, 42), 0.106569044682377, False, 'best']
['sratrade', 202588338, 'impression', '19', 241448333L, datetime.datetime(2013, 5, 28, 21, 23, 42), 0.079770765813902, False, 'best']
['sratrade', 202588338, 'impression', '8', 241448512L, datetime.datetime(2013, 5, 28, 21, 23, 42), 0.127126616172665, False, 'best']
['sratrade', 202588338, 'impression', '11', 241454725L, datetime.datetime(2013, 5, 28, 21, 23, 42), 0.112120228831876, False, 'best']
['sratrade', 202588338, 'impression', '16', 241477213L, datetime.datetime(2013, 5, 28, 21, 23, 42), 0.0874990745487518, False, 'best']
['sratrade', 202588338, 'impression', '2', 241448565L, datetime.datetime(2013, 5, 28, 21, 23, 42), 0.232328726723985, False, 'best']
['sratrade', 202588338, 'impression', '12', 241449971L, datetime.datetime(2013, 5, 28, 21, 24, 7), 0.106569044682377, False, 'best']
['sratrade', 202588338, 'impression', '8', 241448512L, datetime.datetime(2013, 5, 28, 21, 24, 7), 0.127126616172665, False, 'best']
['sratrade', 202588338, 'impression', '19', 241448333L, datetime.datetime(2013, 5, 28, 21, 24, 7), 0.079770765813902, False, 'best']
['sratrade', 202588338, 'impression', '13', 241448924L, datetime.datetime(2013, 5, 28, 21, 24, 7), 0.101835823542723, False, 'best']
['sratrade', 202588338, 'impression', '17', 241471874L, datetime.datetime(2013, 5, 28, 21, 24, 7), 0.0863815705744874, False, 'best']
['sratrade', 202588338, 'impression', '6', 241510269L, datetime.datetime(2013, 5, 28, 21, 24, 7), 0.166233701351052, True, 'best']
['sratrade', 202588338, 'impression', '11', 241454725L, datetime.datetime(2013, 5, 28, 21, 24, 7), 0.112120228831876, False, 'best']
['sratrade', 202588338, 'impression', '2', 241448565L, datetime.datetime(2013, 5, 28, 21, 24, 7), 0.232328726723985, False, 'best']
['sratrade', 202588338, 'impression', '16', 241477213L, datetime.datetime(2013, 5, 28, 21, 24, 7), 0.0874990745487518, False, 'best']
['sratrade', 202588338, 'impression', '5', 241448303L, datetime.datetime(2013, 5, 28, 21, 24, 7), 0.17021384131334, False, 'best']
['sratrade', 202588338, 'impression', '1', 241448670L, datetime.datetime(2013, 5, 28, 21, 24, 7), 0.362447260345726, False, 'best']
['sratrade', 202588338, 'impression', '7', 241450785L, datetime.datetime(2013, 5, 28, 21, 24, 7), 0.130889698442642, False, 'best']
['sratrade', 202588338, 'impression', '14', 241448622L, datetime.datetime(2013, 5, 28, 21, 24, 7), 0.0995847053185118, False, 'best']
['sratrade', 202588338, 'impression', '4', 241490996L, datetime.datetime(2013, 5, 28, 21, 24, 7), 0.17130308358147, False, 'best']
['sratrade', 202588338, 'impression', '3', 241448231L, datetime.datetime(2013, 5, 28, 21, 24, 7), 0.17432151797083, False, 'best']
