['swdelac', 202573625, 'impression', '1', 241122842L, datetime.datetime(2013, 5, 24, 13, 24, 29), 0.197519740120148, False, 'best']
['swdelac', 202573625, 'impression', '2', 241143782L, datetime.datetime(2013, 5, 24, 13, 24, 29), 0.196776935606775, False, 'best']
['swdelac', 202573625, 'impression', '7', 241161122L, datetime.datetime(2013, 5, 24, 13, 24, 29), 0.00548209333718239, False, 'best']
['swdelac', 202573625, 'impression', '3', 241127571L, datetime.datetime(2013, 5, 24, 13, 24, 29), 0.0474291013654198, False, 'best']
['swdelac', 202573625, 'impression', '5', 241161986L, datetime.datetime(2013, 5, 24, 13, 24, 29), 0.0365581637826731, False, 'best']
['swdelac', 202573625, 'impression', '6', 241126459L, datetime.datetime(2013, 5, 24, 13, 24, 29), 0.0260754116020161, False, 'best']
['swdelac', 202573625, 'impression', '4', 241121658L, datetime.datetime(2013, 5, 24, 13, 24, 29), 0.0441322731934535, False, 'best']
['swdelac', 202573625, 'impression', '8', 241170204L, datetime.datetime(2013, 5, 24, 13, 24, 29), 0.052151624173155, False, 'best']

['swdelac', 202573625, 'impression', '8', 241170204L, datetime.datetime(2013, 5, 24, 16, 59, 38), 0.052151624173155, False, 'best']
['swdelac', 202573625, 'impression', '7', 241161122L, datetime.datetime(2013, 5, 24, 16, 59, 41), 0.00548209333718239, False, 'best']
['swdelac', 202573625, 'view_full_application_via_name', '7', 241161122L, datetime.datetime(2013, 5, 24, 16, 59, 45), 0.00548209333718239, False, 'best']

['swdelac', 202573625, 'impression', '2', 241143782L, datetime.datetime(2013, 5, 24, 18, 25, 15), 0.196776935606775, False, 'best']
['swdelac', 202573625, 'impression', '7', 241161122L, datetime.datetime(2013, 5, 24, 18, 25, 15), 0.00548209333718239, False, 'best']
['swdelac', 202573625, 'impression', '3', 241127571L, datetime.datetime(2013, 5, 24, 18, 25, 15), 0.0474291013654198, False, 'best']
['swdelac', 202573625, 'impression', '1', 241122842L, datetime.datetime(2013, 5, 24, 18, 25, 15), 0.197519740120148, False, 'best']
['swdelac', 202573625, 'impression', '4', 241121658L, datetime.datetime(2013, 5, 24, 18, 25, 15), 0.0441322731934535, False, 'best']
