['syedbasit', 202561607, 'impression', '13', 240879616L, datetime.datetime(2013, 5, 21, 18, 11, 8), 0.0107433752078736, False, 'best']
['syedbasit', 202561607, 'impression', '15', 240880844L, datetime.datetime(2013, 5, 21, 18, 11, 8), 0.0100754951605789, False, 'best']
['syedbasit', 202561607, 'impression', '9', 240887510L, datetime.datetime(2013, 5, 21, 18, 11, 8), 0.0127608561893036, False, 'best']
['syedbasit', 202561607, 'impression', '14', 240879539L, datetime.datetime(2013, 5, 21, 18, 11, 8), 0.0105501908630909, False, 'best']
['syedbasit', 202561607, 'impression', '8', 240893689L, datetime.datetime(2013, 5, 21, 18, 11, 8), 0.0129981718479513, False, 'best']
['syedbasit', 202561607, 'impression', '3', 240880490L, datetime.datetime(2013, 5, 21, 18, 11, 8), 0.0275854745220033, False, 'best']
['syedbasit', 202561607, 'impression', '17', 240879994L, datetime.datetime(2013, 5, 21, 18, 11, 8), 0.00929826276235669, False, 'best']
['syedbasit', 202561607, 'impression', '16', 240880685L, datetime.datetime(2013, 5, 21, 18, 11, 8), 0.00934284937372632, False, 'best']
['syedbasit', 202561607, 'impression', '4', 240903365L, datetime.datetime(2013, 5, 21, 18, 11, 8), 0.0173192291570507, False, 'best']
['syedbasit', 202561607, 'impression', '7', 240880249L, datetime.datetime(2013, 5, 21, 18, 11, 8), 0.0154349787207575, False, 'best']
['syedbasit', 202561607, 'impression', '11', 240884979L, datetime.datetime(2013, 5, 21, 18, 11, 8), 0.011873350908308, False, 'best']
['syedbasit', 202561607, 'impression', '6', 240893743L, datetime.datetime(2013, 5, 21, 18, 11, 8), 0.0157497224066598, False, 'best']
['syedbasit', 202561607, 'impression', '10', 240917673L, datetime.datetime(2013, 5, 21, 18, 11, 8), 0.0127013380212869, False, 'best']
['syedbasit', 202561607, 'impression', '1', 240879599L, datetime.datetime(2013, 5, 21, 18, 11, 8), 0.0300990664325397, False, 'best']
['syedbasit', 202561607, 'impression', '12', 240883025L, datetime.datetime(2013, 5, 21, 18, 11, 8), 0.011784783806277, False, 'best']
['syedbasit', 202561607, 'impression', '2', 240882665L, datetime.datetime(2013, 5, 21, 18, 11, 8), 0.0289805915668872, False, 'best']
['syedbasit', 202561607, 'impression', '5', 240880672L, datetime.datetime(2013, 5, 21, 18, 11, 8), 0.0162099628658218, False, 'best']
['syedbasit', 202561607, 'impression', '19', 240897355L, datetime.datetime(2013, 5, 21, 18, 11, 8), 0.0076269031767637, False, 'best']
['syedbasit', 202561607, 'impression', '18', 240885972L, datetime.datetime(2013, 5, 21, 18, 11, 8), 0.00865735744034267, False, 'best']
['syedbasit', 202561607, 'impression', '20', 240882214L, datetime.datetime(2013, 5, 21, 18, 11, 8), 0.00726022007993878, False, 'best']

