['synthesis345', 202584806, 'impression', '3', 241370571L, datetime.datetime(2013, 5, 27, 7, 34, 56), 0.145291630765326, False, 'time']
['synthesis345', 202584806, 'impression', '13', 241368016L, datetime.datetime(2013, 5, 27, 7, 34, 56), 0.172446943533712, False, 'time']
['synthesis345', 202584806, 'impression', '6', 241369737L, datetime.datetime(2013, 5, 27, 7, 34, 56), 0.126790322532029, False, 'time']
['synthesis345', 202584806, 'impression', '11', 241368160L, datetime.datetime(2013, 5, 27, 7, 34, 56), 0.129455506689314, False, 'time']
['synthesis345', 202584806, 'impression', '9', 241368452L, datetime.datetime(2013, 5, 27, 7, 34, 56), 0.119218372394212, False, 'time']
['synthesis345', 202584806, 'impression', '4', 241370126L, datetime.datetime(2013, 5, 27, 7, 34, 56), 0.350748715628211, False, 'time']
['synthesis345', 202584806, 'impression', '2', 241373880L, datetime.datetime(2013, 5, 27, 7, 34, 56), 0.200528100009539, False, 'time']
['synthesis345', 202584806, 'impression', '7', 241368678L, datetime.datetime(2013, 5, 27, 7, 34, 56), 0.227213868530436, False, 'time']
['synthesis345', 202584806, 'impression', '5', 241370108L, datetime.datetime(2013, 5, 27, 7, 34, 56), 0.456281693385974, False, 'time']
['synthesis345', 202584806, 'impression', '12', 241368061L, datetime.datetime(2013, 5, 27, 7, 34, 56), 0.157756019101194, False, 'time']
['synthesis345', 202584806, 'impression', '8', 241368575L, datetime.datetime(2013, 5, 27, 7, 34, 56), 0.141365121368171, False, 'time']
['synthesis345', 202584806, 'impression', '10', 241368408L, datetime.datetime(2013, 5, 27, 7, 34, 56), 0.169721187875303, False, 'time']
['synthesis345', 202584806, 'impression', '1', 241374175L, datetime.datetime(2013, 5, 27, 7, 34, 56), 0.0620097919900474, False, 'time']
['synthesis345', 202584806, 'expand_tile', '1', 241374175L, datetime.datetime(2013, 5, 27, 7, 35, 2), 0.0620097919900474, False, 'time']
['synthesis345', 202584806, 'expand_tile', '5', 241370108L, datetime.datetime(2013, 5, 27, 7, 35, 25), 0.456281693385974, False, 'time']
['synthesis345', 202584806, 'expand_tile', '6', 241369737L, datetime.datetime(2013, 5, 27, 7, 35, 50), 0.126790322532029, False, 'time']
['synthesis345', 202584806, 'expand_tile', '8', 241368575L, datetime.datetime(2013, 5, 27, 7, 37, 9), 0.141365121368171, False, 'time']

