['tchandler50', 202596405, 'impression', '2', 241618772L, datetime.datetime(2013, 5, 29, 22, 2, 32), 0.308441206940778, False, 'best']
['tchandler50', 202596405, 'impression', '1', 241618546L, datetime.datetime(2013, 5, 29, 22, 2, 32), 0.527556863489359, False, 'best']
['tchandler50', 202596405, 'impression', '3', 241619186L, datetime.datetime(2013, 5, 29, 22, 2, 32), 0.285257147100123, False, 'best']
['tchandler50', 202596405, 'impression', '4', 241618712L, datetime.datetime(2013, 5, 29, 22, 2, 32), 0.246974993137933, True, 'best']
['tchandler50', 202596405, 'view_full_application_via_name', '4', 241618712L, datetime.datetime(2013, 5, 29, 22, 3, 1), 0.246974993137933, True, 'best']
['tchandler50', 202596405, 'view_full_application_via_name', '4', 241618712L, datetime.datetime(2013, 5, 29, 22, 3, 30), 0.246974993137933, True, 'best']

['tchandler50', 202596405, 'impression', '5', 241618772L, datetime.datetime(2013, 5, 29, 22, 54, 24), 0.308441206940778, False, 'best']
['tchandler50', 202596405, 'impression', '3', 241618546L, datetime.datetime(2013, 5, 29, 22, 54, 24), 0.527556863489359, False, 'best']
['tchandler50', 202596405, 'impression', '6', 241619186L, datetime.datetime(2013, 5, 29, 22, 54, 24), 0.285257147100123, False, 'best']
['tchandler50', 202596405, 'impression', '2', 241620378L, datetime.datetime(2013, 5, 29, 22, 54, 24), 0.609366984979939, False, 'best']
['tchandler50', 202596405, 'impression', '7', 241618712L, datetime.datetime(2013, 5, 29, 22, 54, 24), 0.246974993137933, True, 'best']
['tchandler50', 202596405, 'impression', '1', 241620547L, datetime.datetime(2013, 5, 29, 22, 54, 24), 0.686390271389829, False, 'best']
['tchandler50', 202596405, 'impression', '4', 241620502L, datetime.datetime(2013, 5, 29, 22, 54, 24), 0.420994795210987, False, 'best']
['tchandler50', 202596405, 'view_full_application_via_name', '1', 241620547L, datetime.datetime(2013, 5, 29, 22, 54, 34), 0.686390271389829, False, 'best']
['tchandler50', 202596405, 'impression', '7', 241618712L, datetime.datetime(2013, 5, 29, 22, 54, 49), 0.246974993137933, True, 'best']
['tchandler50', 202596405, 'impression', '2', 241620378L, datetime.datetime(2013, 5, 29, 22, 54, 49), 0.609366984979939, False, 'best']
['tchandler50', 202596405, 'impression', '1', 241620547L, datetime.datetime(2013, 5, 29, 22, 54, 49), 0.686390271389829, False, 'best']
['tchandler50', 202596405, 'impression', '5', 241618772L, datetime.datetime(2013, 5, 29, 22, 54, 49), 0.308441206940778, False, 'best']
['tchandler50', 202596405, 'impression', '4', 241620502L, datetime.datetime(2013, 5, 29, 22, 54, 49), 0.420994795210987, False, 'best']
['tchandler50', 202596405, 'impression', '3', 241618546L, datetime.datetime(2013, 5, 29, 22, 54, 49), 0.527556863489359, False, 'best']
['tchandler50', 202596405, 'impression', '6', 241619186L, datetime.datetime(2013, 5, 29, 22, 54, 49), 0.285257147100123, False, 'best']
['tchandler50', 202596405, 'view_full_application_via_name', '2', 241620378L, datetime.datetime(2013, 5, 29, 22, 55), 0.609366984979939, False, 'best']
['tchandler50', 202596405, 'impression', '2', 241620378L, datetime.datetime(2013, 5, 29, 22, 56, 23), 0.609366984979939, False, 'best']
['tchandler50', 202596405, 'impression', '7', 241618712L, datetime.datetime(2013, 5, 29, 22, 56, 23), 0.246974993137933, True, 'best']
['tchandler50', 202596405, 'impression', '1', 241620547L, datetime.datetime(2013, 5, 29, 22, 56, 23), 0.686390271389829, False, 'best']
['tchandler50', 202596405, 'impression', '3', 241618546L, datetime.datetime(2013, 5, 29, 22, 56, 23), 0.527556863489359, False, 'best']
['tchandler50', 202596405, 'impression', '5', 241618772L, datetime.datetime(2013, 5, 29, 22, 56, 23), 0.308441206940778, False, 'best']
['tchandler50', 202596405, 'impression', '6', 241619186L, datetime.datetime(2013, 5, 29, 22, 56, 23), 0.285257147100123, False, 'best']
['tchandler50', 202596405, 'impression', '4', 241620502L, datetime.datetime(2013, 5, 29, 22, 56, 23), 0.420994795210987, False, 'best']
['tchandler50', 202596405, 'view_full_application_via_name', '3', 241618546L, datetime.datetime(2013, 5, 29, 22, 56, 36), 0.527556863489359, False, 'best']
['tchandler50', 202596405, 'impression', '5', 241618772L, datetime.datetime(2013, 5, 29, 22, 56, 49), 0.308441206940778, False, 'best']
['tchandler50', 202596405, 'impression', '4', 241620502L, datetime.datetime(2013, 5, 29, 22, 56, 49), 0.420994795210987, False, 'best']
['tchandler50', 202596405, 'impression', '3', 241618546L, datetime.datetime(2013, 5, 29, 22, 56, 49), 0.527556863489359, False, 'best']
['tchandler50', 202596405, 'impression', '7', 241618712L, datetime.datetime(2013, 5, 29, 22, 56, 49), 0.246974993137933, True, 'best']
['tchandler50', 202596405, 'impression', '2', 241620378L, datetime.datetime(2013, 5, 29, 22, 56, 49), 0.609366984979939, False, 'best']
['tchandler50', 202596405, 'impression', '1', 241620547L, datetime.datetime(2013, 5, 29, 22, 56, 49), 0.686390271389829, False, 'best']
['tchandler50', 202596405, 'impression', '6', 241619186L, datetime.datetime(2013, 5, 29, 22, 56, 49), 0.285257147100123, False, 'best']
['tchandler50', 202596405, 'view_full_application_via_name', '7', 241618712L, datetime.datetime(2013, 5, 29, 22, 57, 10), 0.246974993137933, True, 'best']

