['teenjobz', 202560090, 'impression', '19', 240863040L, datetime.datetime(2013, 5, 21, 0, 12, 47), 0.0956800479097998, False, 'time']
['teenjobz', 202560090, 'impression', '6', 240870372L, datetime.datetime(2013, 5, 21, 0, 12, 47), 0.0373841559236363, False, 'time']
['teenjobz', 202560090, 'impression', '11', 240864718L, datetime.datetime(2013, 5, 21, 0, 12, 47), 0.0402776677920703, False, 'time']
['teenjobz', 202560090, 'impression', '13', 240863780L, datetime.datetime(2013, 5, 21, 0, 12, 47), 0.00658642967073568, False, 'time']
['teenjobz', 202560090, 'impression', '8', 240867956L, datetime.datetime(2013, 5, 21, 0, 12, 47), 0.00882055529439714, False, 'time']
['teenjobz', 202560090, 'impression', '14', 240863748L, datetime.datetime(2013, 5, 21, 0, 12, 47), 0.0220917316324683, False, 'time']
['teenjobz', 202560090, 'impression', '9', 240865705L, datetime.datetime(2013, 5, 21, 0, 12, 47), 0.0229598318661478, False, 'time']
['teenjobz', 202560090, 'impression', '20', 240862972L, datetime.datetime(2013, 5, 21, 0, 12, 47), 0.0133472797358782, False, 'time']
['teenjobz', 202560090, 'impression', '5', 240870422L, datetime.datetime(2013, 5, 21, 0, 12, 47), 0.0104950194398497, False, 'time']
['teenjobz', 202560090, 'impression', '3', 240870867L, datetime.datetime(2013, 5, 21, 0, 12, 47), 0.038876770754007, False, 'time']
['teenjobz', 202560090, 'impression', '18', 240863049L, datetime.datetime(2013, 5, 21, 0, 12, 47), 0.0393392410094894, False, 'time']
['teenjobz', 202560090, 'impression', '12', 240864085L, datetime.datetime(2013, 5, 21, 0, 12, 47), 0.0329799601383429, False, 'time']
['teenjobz', 202560090, 'impression', '15', 240863595L, datetime.datetime(2013, 5, 21, 0, 12, 47), 0.00731553400783157, False, 'time']
['teenjobz', 202560090, 'impression', '17', 240863094L, datetime.datetime(2013, 5, 21, 0, 12, 47), 0.0436564527689372, False, 'time']
['teenjobz', 202560090, 'impression', '10', 240865355L, datetime.datetime(2013, 5, 21, 0, 12, 47), 0.0209446958770632, False, 'time']
['teenjobz', 202560090, 'impression', '1', 240871061L, datetime.datetime(2013, 5, 21, 0, 12, 47), 0.0185972531613091, False, 'time']
['teenjobz', 202560090, 'impression', '7', 240868033L, datetime.datetime(2013, 5, 21, 0, 12, 47), 0.0148914029063681, False, 'time']
['teenjobz', 202560090, 'impression', '2', 240870880L, datetime.datetime(2013, 5, 21, 0, 12, 47), 0.0453590994470652, False, 'time']
['teenjobz', 202560090, 'impression', '16', 240863106L, datetime.datetime(2013, 5, 21, 0, 12, 47), 0.0256342400374434, False, 'time']
['teenjobz', 202560090, 'impression', '4', 240870664L, datetime.datetime(2013, 5, 21, 0, 12, 47), 0.0511877679959945, False, 'time']
['teenjobz', 202560090, 'impression', '13', 240858405L, datetime.datetime(2013, 5, 21, 0, 35, 51), 0.0437290546059981, False, 'best']
['teenjobz', 202560090, 'impression', '5', 240859726L, datetime.datetime(2013, 5, 21, 0, 35, 51), 0.0582303560195591, False, 'best']
['teenjobz', 202560090, 'impression', '2', 240859902L, datetime.datetime(2013, 5, 21, 0, 35, 51), 0.0878155940961613, False, 'best']
['teenjobz', 202560090, 'impression', '8', 240859128L, datetime.datetime(2013, 5, 21, 0, 35, 51), 0.0468727998436255, False, 'best']
['teenjobz', 202560090, 'impression', '1', 240863040L, datetime.datetime(2013, 5, 21, 0, 35, 51), 0.0956800479097998, False, 'best']
['teenjobz', 202560090, 'impression', '9', 240858787L, datetime.datetime(2013, 5, 21, 0, 35, 51), 0.0467739529019909, False, 'best']
['teenjobz', 202560090, 'impression', '14', 240863094L, datetime.datetime(2013, 5, 21, 0, 35, 51), 0.0436564527689372, False, 'best']
['teenjobz', 202560090, 'impression', '16', 240859229L, datetime.datetime(2013, 5, 21, 0, 35, 51), 0.0408887078031376, False, 'best']
['teenjobz', 202560090, 'impression', '10', 240858104L, datetime.datetime(2013, 5, 21, 0, 35, 51), 0.0457769385105442, False, 'best']
['teenjobz', 202560090, 'impression', '17', 240864718L, datetime.datetime(2013, 5, 21, 0, 35, 51), 0.0402776677920703, False, 'best']
['teenjobz', 202560090, 'impression', '15', 240858225L, datetime.datetime(2013, 5, 21, 0, 35, 51), 0.0429302775147897, False, 'best']
['teenjobz', 202560090, 'impression', '3', 240859434L, datetime.datetime(2013, 5, 21, 0, 35, 51), 0.080692472926567, False, 'best']
['teenjobz', 202560090, 'impression', '20', 240863049L, datetime.datetime(2013, 5, 21, 0, 35, 51), 0.0393392410094894, False, 'best']
['teenjobz', 202560090, 'impression', '18', 240862364L, datetime.datetime(2013, 5, 21, 0, 35, 51), 0.0402516995302737, False, 'best']
['teenjobz', 202560090, 'impression', '7', 240858045L, datetime.datetime(2013, 5, 21, 0, 35, 51), 0.0482845988683362, False, 'best']
['teenjobz', 202560090, 'impression', '6', 240870664L, datetime.datetime(2013, 5, 21, 0, 35, 51), 0.0511877679959945, False, 'best']
['teenjobz', 202560090, 'impression', '12', 240870880L, datetime.datetime(2013, 5, 21, 0, 35, 51), 0.0453590994470652, False, 'best']
['teenjobz', 202560090, 'impression', '4', 240857833L, datetime.datetime(2013, 5, 21, 0, 35, 51), 0.0772333750498918, False, 'best']
['teenjobz', 202560090, 'impression', '19', 240857974L, datetime.datetime(2013, 5, 21, 0, 35, 51), 0.04022577042295, False, 'best']
['teenjobz', 202560090, 'impression', '11', 240858895L, datetime.datetime(2013, 5, 21, 0, 35, 51), 0.0454496270025614, False, 'best']
['teenjobz', 202560090, 'shortlist', '1', 240863040L, datetime.datetime(2013, 5, 21, 0, 36, 1), 0.0956800479097998, False, 'best']
['teenjobz', 202560090, 'shortlist', '2', 240859902L, datetime.datetime(2013, 5, 21, 0, 36, 4), 0.0878155940961613, False, 'best']

['teenjobz', 202560090, 'impression', '16', 240893929L, datetime.datetime(2013, 5, 22, 12, 44, 42), 0.0266150700951346, False, 'time']
['teenjobz', 202560090, 'impression', '5', 240924132L, datetime.datetime(2013, 5, 22, 12, 44, 42), 0.0280585150500492, False, 'time']
['teenjobz', 202560090, 'impression', '12', 240912555L, datetime.datetime(2013, 5, 22, 12, 44, 42), 0.00771936819827395, False, 'time']
['teenjobz', 202560090, 'impression', '15', 240896407L, datetime.datetime(2013, 5, 22, 12, 44, 42), 0.0184333540688915, False, 'time']
['teenjobz', 202560090, 'impression', '20', 240878222L, datetime.datetime(2013, 5, 22, 12, 44, 42), 0.0119293167425216, False, 'time']
['teenjobz', 202560090, 'impression', '19', 240879975L, datetime.datetime(2013, 5, 22, 12, 44, 42), 0.0140758819635747, False, 'time']
['teenjobz', 202560090, 'impression', '1', 240986313L, datetime.datetime(2013, 5, 22, 12, 44, 42), 0.0166584364487631, False, 'time']
