['teresehatter', 202564488, 'impression', '9', 240946550L, datetime.datetime(2013, 5, 21, 18, 6, 57), 0.116869607899779, False, 'best']
['teresehatter', 202564488, 'impression', '6', 240946462L, datetime.datetime(2013, 5, 21, 18, 10, 22), 0.153223938104586, False, 'best']
['teresehatter', 202564488, 'impression', '4', 240946417L, datetime.datetime(2013, 5, 21, 18, 15, 53), 0.213229685172402, False, 'best']

['teresehatter', 202564488, 'impression', '3', 240947690L, datetime.datetime(2013, 5, 21, 19, 29, 4), 0.285619251140722, False, 'best']

['teresehatter', 202564488, 'impression', '2', 240953450L, datetime.datetime(2013, 5, 21, 21, 3, 16), 0.288765127074657, False, 'best']

['teresehatter', 202564488, 'impression', '15', 240946551L, datetime.datetime(2013, 5, 21, 22, 43, 8), 0.111292421776883, False, 'best']
['teresehatter', 202564488, 'impression', '10', 240951587L, datetime.datetime(2013, 5, 21, 22, 43, 8), 0.16873714706833, False, 'best']
['teresehatter', 202564488, 'impression', '1', 240946798L, datetime.datetime(2013, 5, 21, 22, 43, 8), 0.341844243799944, False, 'best']
['teresehatter', 202564488, 'impression', '5', 240952058L, datetime.datetime(2013, 5, 21, 22, 43, 8), 0.250711912671984, False, 'best']
['teresehatter', 202564488, 'impression', '13', 240948011L, datetime.datetime(2013, 5, 21, 22, 43, 8), 0.132504812741716, False, 'best']
['teresehatter', 202564488, 'impression', '2', 240953450L, datetime.datetime(2013, 5, 21, 22, 43, 8), 0.288765127074657, False, 'best']
['teresehatter', 202564488, 'impression', '16', 240946773L, datetime.datetime(2013, 5, 21, 22, 43, 8), 0.100237313360937, False, 'best']
['teresehatter', 202564488, 'impression', '12', 240946691L, datetime.datetime(2013, 5, 21, 22, 43, 8), 0.1420819245681, False, 'best']
['teresehatter', 202564488, 'impression', '20', 240947622L, datetime.datetime(2013, 5, 21, 22, 43, 8), 0.0356841894193078, False, 'best']
['teresehatter', 202564488, 'impression', '18', 240946458L, datetime.datetime(2013, 5, 21, 22, 43, 8), 0.0844395165853297, False, 'best']
['teresehatter', 202564488, 'impression', '14', 240946550L, datetime.datetime(2013, 5, 21, 22, 43, 8), 0.116869607899779, False, 'best']
['teresehatter', 202564488, 'impression', '11', 240946462L, datetime.datetime(2013, 5, 21, 22, 43, 8), 0.153223938104586, False, 'best']
['teresehatter', 202564488, 'impression', '7', 240946417L, datetime.datetime(2013, 5, 21, 22, 43, 8), 0.213229685172402, False, 'best']
['teresehatter', 202564488, 'impression', '17', 240951413L, datetime.datetime(2013, 5, 21, 22, 43, 8), 0.0941866097191373, False, 'best']
['teresehatter', 202564488, 'impression', '3', 240947690L, datetime.datetime(2013, 5, 21, 22, 43, 8), 0.285619251140722, False, 'best']
['teresehatter', 202564488, 'impression', '19', 240956178L, datetime.datetime(2013, 5, 21, 22, 43, 8), 0.0837059007364232, False, 'best']
['teresehatter', 202564488, 'impression', '8', 240946809L, datetime.datetime(2013, 5, 21, 22, 43, 8), 0.189210040569151, False, 'best']
['teresehatter', 202564488, 'impression', '4', 240956239L, datetime.datetime(2013, 5, 21, 22, 43, 8), 0.282895855848623, False, 'best']
['teresehatter', 202564488, 'impression', '9', 240955155L, datetime.datetime(2013, 5, 21, 22, 43, 8), 0.18068668289782, False, 'best']
['teresehatter', 202564488, 'impression', '6', 240947075L, datetime.datetime(2013, 5, 21, 22, 43, 8), 0.222214181280949, False, 'best']
['teresehatter', 202564488, 'impression', '2', 240953450L, datetime.datetime(2013, 5, 21, 22, 43, 25), 0.288765127074657, False, 'best']
['teresehatter', 202564488, 'view_full_application_via_name', '3', 240947690L, datetime.datetime(2013, 5, 21, 22, 43, 26), 0.285619251140722, False, 'best']
['teresehatter', 202564488, 'impression', '1', 240946798L, datetime.datetime(2013, 5, 21, 22, 44, 38), 0.341844243799944, False, 'best']
['teresehatter', 202564488, 'impression', '5', 240952058L, datetime.datetime(2013, 5, 21, 22, 44, 38), 0.250711912671984, False, 'best']
['teresehatter', 202564488, 'impression', '10', 240951587L, datetime.datetime(2013, 5, 21, 22, 44, 38), 0.16873714706833, False, 'best']
['teresehatter', 202564488, 'impression', '15', 240946551L, datetime.datetime(2013, 5, 21, 22, 44, 38), 0.111292421776883, False, 'best']
['teresehatter', 202564488, 'impression', '6', 240947075L, datetime.datetime(2013, 5, 21, 22, 44, 38), 0.222214181280949, False, 'best']
['teresehatter', 202564488, 'impression', '4', 240956239L, datetime.datetime(2013, 5, 21, 22, 44, 38), 0.282895855848623, False, 'best']
['teresehatter', 202564488, 'impression', '9', 240955155L, datetime.datetime(2013, 5, 21, 22, 44, 38), 0.18068668289782, False, 'best']
['teresehatter', 202564488, 'impression', '14', 240946550L, datetime.datetime(2013, 5, 21, 22, 44, 38), 0.116869607899779, False, 'best']
['teresehatter', 202564488, 'impression', '7', 240946417L, datetime.datetime(2013, 5, 21, 22, 44, 38), 0.213229685172402, False, 'best']
['teresehatter', 202564488, 'impression', '3', 240947690L, datetime.datetime(2013, 5, 21, 22, 44, 38), 0.285619251140722, False, 'best']
['teresehatter', 202564488, 'impression', '17', 240951413L, datetime.datetime(2013, 5, 21, 22, 44, 38), 0.0941866097191373, False, 'best']
['teresehatter', 202564488, 'impression', '11', 240946462L, datetime.datetime(2013, 5, 21, 22, 44, 38), 0.153223938104586, False, 'best']
['teresehatter', 202564488, 'impression', '8', 240946809L, datetime.datetime(2013, 5, 21, 22, 44, 38), 0.189210040569151, False, 'best']
['teresehatter', 202564488, 'impression', '19', 240956178L, datetime.datetime(2013, 5, 21, 22, 44, 38), 0.0837059007364232, False, 'best']
['teresehatter', 202564488, 'impression', '20', 240947622L, datetime.datetime(2013, 5, 21, 22, 44, 38), 0.0356841894193078, False, 'best']
['teresehatter', 202564488, 'impression', '12', 240946691L, datetime.datetime(2013, 5, 21, 22, 44, 38), 0.1420819245681, False, 'best']
['teresehatter', 202564488, 'impression', '18', 240946458L, datetime.datetime(2013, 5, 21, 22, 44, 38), 0.0844395165853297, False, 'best']
['teresehatter', 202564488, 'impression', '2', 240953450L, datetime.datetime(2013, 5, 21, 22, 44, 38), 0.288765127074657, False, 'best']
['teresehatter', 202564488, 'impression', '13', 240948011L, datetime.datetime(2013, 5, 21, 22, 44, 38), 0.132504812741716, False, 'best']
['teresehatter', 202564488, 'impression', '16', 240946773L, datetime.datetime(2013, 5, 21, 22, 44, 38), 0.100237313360937, False, 'best']
['teresehatter', 202564488, 'expand_tile', '5', 240952058L, datetime.datetime(2013, 5, 21, 22, 45, 4), 0.250711912671984, False, 'best']
['teresehatter', 202564488, 'expand_tile', '7', 240946417L, datetime.datetime(2013, 5, 21, 22, 45, 31), 0.213229685172402, False, 'best']
['teresehatter', 202564488, 'collapse_tile', '7', 240946417L, datetime.datetime(2013, 5, 21, 22, 45, 39), 0.213229685172402, False, 'best']
['teresehatter', 202564488, 'expand_tile', '9', 240955155L, datetime.datetime(2013, 5, 21, 23, 5, 47), 0.18068668289782, False, 'best']
['teresehatter', 202564488, 'view_full_application', '9', 240955155L, datetime.datetime(2013, 5, 21, 23, 5, 52), 0.18068668289782, False, 'best']
['teresehatter', 202564488, 'impression', '10', 240951587L, datetime.datetime(2013, 5, 21, 23, 6, 21), 0.16873714706833, False, 'best']
['teresehatter', 202564488, 'impression', '15', 240946551L, datetime.datetime(2013, 5, 21, 23, 6, 21), 0.111292421776883, False, 'best']
['teresehatter', 202564488, 'impression', '1', 240946798L, datetime.datetime(2013, 5, 21, 23, 6, 21), 0.341844243799944, False, 'best']
['teresehatter', 202564488, 'impression', '5', 240952058L, datetime.datetime(2013, 5, 21, 23, 6, 21), 0.250711912671984, False, 'best']
['teresehatter', 202564488, 'impression', '16', 240946773L, datetime.datetime(2013, 5, 21, 23, 6, 21), 0.100237313360937, False, 'best']
['teresehatter', 202564488, 'impression', '19', 240956178L, datetime.datetime(2013, 5, 21, 23, 6, 21), 0.0837059007364232, False, 'best']
['teresehatter', 202564488, 'impression', '8', 240946809L, datetime.datetime(2013, 5, 21, 23, 6, 21), 0.189210040569151, False, 'best']
['teresehatter', 202564488, 'impression', '7', 240946417L, datetime.datetime(2013, 5, 21, 23, 6, 21), 0.213229685172402, False, 'best']
['teresehatter', 202564488, 'impression', '3', 240947690L, datetime.datetime(2013, 5, 21, 23, 6, 21), 0.285619251140722, False, 'best']
['teresehatter', 202564488, 'impression', '14', 240946550L, datetime.datetime(2013, 5, 21, 23, 6, 21), 0.116869607899779, False, 'best']
['teresehatter', 202564488, 'impression', '17', 240951413L, datetime.datetime(2013, 5, 21, 23, 6, 21), 0.0941866097191373, False, 'best']
['teresehatter', 202564488, 'impression', '11', 240946462L, datetime.datetime(2013, 5, 21, 23, 6, 21), 0.153223938104586, False, 'best']
['teresehatter', 202564488, 'impression', '6', 240947075L, datetime.datetime(2013, 5, 21, 23, 6, 21), 0.222214181280949, False, 'best']
['teresehatter', 202564488, 'impression', '4', 240956239L, datetime.datetime(2013, 5, 21, 23, 6, 21), 0.282895855848623, False, 'best']
['teresehatter', 202564488, 'impression', '9', 240955155L, datetime.datetime(2013, 5, 21, 23, 6, 21), 0.18068668289782, False, 'best']
['teresehatter', 202564488, 'impression', '18', 240946458L, datetime.datetime(2013, 5, 21, 23, 6, 21), 0.0844395165853297, False, 'best']
['teresehatter', 202564488, 'impression', '20', 240947622L, datetime.datetime(2013, 5, 21, 23, 6, 21), 0.0356841894193078, False, 'best']
['teresehatter', 202564488, 'impression', '12', 240946691L, datetime.datetime(2013, 5, 21, 23, 6, 21), 0.1420819245681, False, 'best']
['teresehatter', 202564488, 'impression', '2', 240953450L, datetime.datetime(2013, 5, 21, 23, 6, 21), 0.288765127074657, False, 'best']
['teresehatter', 202564488, 'impression', '13', 240948011L, datetime.datetime(2013, 5, 21, 23, 6, 21), 0.132504812741716, False, 'best']
['teresehatter', 202564488, 'impression', '14', 240946550L, datetime.datetime(2013, 5, 21, 23, 6, 22), 0.116869607899779, False, 'best']
['teresehatter', 202564488, 'expand_tile', '16', 240946773L, datetime.datetime(2013, 5, 21, 23, 6, 38), 0.100237313360937, False, 'best']
['teresehatter', 202564488, 'view_full_application', '16', 240946773L, datetime.datetime(2013, 5, 21, 23, 6, 41), 0.100237313360937, False, 'best']
['teresehatter', 202564488, 'impression', '17', 240951413L, datetime.datetime(2013, 5, 21, 23, 6, 52), 0.0941866097191373, False, 'best']
['teresehatter', 202564488, 'impression', '3', 240947690L, datetime.datetime(2013, 5, 21, 23, 6, 52), 0.285619251140722, False, 'best']
['teresehatter', 202564488, 'impression', '14', 240946550L, datetime.datetime(2013, 5, 21, 23, 6, 52), 0.116869607899779, False, 'best']
['teresehatter', 202564488, 'impression', '11', 240946462L, datetime.datetime(2013, 5, 21, 23, 6, 52), 0.153223938104586, False, 'best']
['teresehatter', 202564488, 'impression', '7', 240946417L, datetime.datetime(2013, 5, 21, 23, 6, 52), 0.213229685172402, False, 'best']
['teresehatter', 202564488, 'impression', '15', 240946551L, datetime.datetime(2013, 5, 21, 23, 6, 52), 0.111292421776883, False, 'best']
['teresehatter', 202564488, 'impression', '5', 240952058L, datetime.datetime(2013, 5, 21, 23, 6, 52), 0.250711912671984, False, 'best']
['teresehatter', 202564488, 'impression', '1', 240946798L, datetime.datetime(2013, 5, 21, 23, 6, 52), 0.341844243799944, False, 'best']
['teresehatter', 202564488, 'impression', '10', 240951587L, datetime.datetime(2013, 5, 21, 23, 6, 52), 0.16873714706833, False, 'best']
['teresehatter', 202564488, 'impression', '20', 240947622L, datetime.datetime(2013, 5, 21, 23, 6, 52), 0.0356841894193078, False, 'best']
['teresehatter', 202564488, 'impression', '12', 240946691L, datetime.datetime(2013, 5, 21, 23, 6, 52), 0.1420819245681, False, 'best']
['teresehatter', 202564488, 'impression', '18', 240946458L, datetime.datetime(2013, 5, 21, 23, 6, 52), 0.0844395165853297, False, 'best']
['teresehatter', 202564488, 'impression', '16', 240946773L, datetime.datetime(2013, 5, 21, 23, 6, 52), 0.100237313360937, False, 'best']
['teresehatter', 202564488, 'impression', '19', 240956178L, datetime.datetime(2013, 5, 21, 23, 6, 52), 0.0837059007364232, False, 'best']
['teresehatter', 202564488, 'impression', '8', 240946809L, datetime.datetime(2013, 5, 21, 23, 6, 52), 0.189210040569151, False, 'best']
['teresehatter', 202564488, 'impression', '6', 240947075L, datetime.datetime(2013, 5, 21, 23, 6, 52), 0.222214181280949, False, 'best']
