['threebyone', 202561298, 'impression', '1', 240875729L, datetime.datetime(2013, 5, 21, 0, 43, 28), 0.177802615253949, False, 'time']
['threebyone', 202561298, 'impression', '2', 240875282L, datetime.datetime(2013, 5, 21, 0, 43, 28), 0.140992094091037, False, 'time']
['threebyone', 202561298, 'view_full_application_via_name', '1', 240875729L, datetime.datetime(2013, 5, 21, 0, 43, 34), 0.177802615253949, False, 'time']

['threebyone', 202561298, 'impression', '2', 240875729L, datetime.datetime(2013, 5, 21, 1, 16, 8), 0.177802615253949, False, 'time']
['threebyone', 202561298, 'impression', '1', 240876707L, datetime.datetime(2013, 5, 21, 1, 16, 8), 0.101554727620878, False, 'time']
['threebyone', 202561298, 'impression', '3', 240875282L, datetime.datetime(2013, 5, 21, 1, 16, 8), 0.140992094091037, False, 'time']
['threebyone', 202561298, 'view_full_application_via_name', '3', 240875282L, datetime.datetime(2013, 5, 21, 1, 16, 14), 0.140992094091037, False, 'time']
['threebyone', 202561298, 'view_full_application_via_name', '3', 240875282L, datetime.datetime(2013, 5, 21, 1, 16, 16), 0.140992094091037, False, 'time']
['threebyone', 202561298, 'impression', '2', 240875729L, datetime.datetime(2013, 5, 21, 1, 16, 22), 0.177802615253949, False, 'time']
['threebyone', 202561298, 'impression', '1', 240876707L, datetime.datetime(2013, 5, 21, 1, 16, 22), 0.101554727620878, False, 'time']
['threebyone', 202561298, 'impression', '3', 240875282L, datetime.datetime(2013, 5, 21, 1, 16, 22), 0.140992094091037, False, 'time']
['threebyone', 202561298, 'view_full_application_via_name', '3', 240875282L, datetime.datetime(2013, 5, 21, 1, 16, 23), 0.140992094091037, False, 'time']
['threebyone', 202561298, 'impression', '1', 240876707L, datetime.datetime(2013, 5, 21, 1, 16, 36), 0.101554727620878, False, 'time']
['threebyone', 202561298, 'impression', '3', 240875282L, datetime.datetime(2013, 5, 21, 1, 16, 36), 0.140992094091037, False, 'time']
['threebyone', 202561298, 'impression', '2', 240875729L, datetime.datetime(2013, 5, 21, 1, 16, 36), 0.177802615253949, False, 'time']
['threebyone', 202561298, 'view_full_application_via_name', '1', 240876707L, datetime.datetime(2013, 5, 21, 1, 16, 38), 0.101554727620878, False, 'time']

['threebyone', 202561298, 'impression', '6', 240875729L, datetime.datetime(2013, 5, 21, 2, 46, 43), 0.177802615253949, False, 'time']
['threebyone', 202561298, 'impression', '7', 240875282L, datetime.datetime(2013, 5, 21, 2, 46, 43), 0.140992094091037, False, 'time']
['threebyone', 202561298, 'impression', '5', 240876707L, datetime.datetime(2013, 5, 21, 2, 46, 43), 0.101554727620878, False, 'time']
['threebyone', 202561298, 'impression', '1', 240881292L, datetime.datetime(2013, 5, 21, 2, 46, 43), 0.047012149779909, False, 'time']
['threebyone', 202561298, 'impression', '3', 240880213L, datetime.datetime(2013, 5, 21, 2, 46, 43), 0.100879344517804, False, 'time']
['threebyone', 202561298, 'impression', '4', 240878262L, datetime.datetime(2013, 5, 21, 2, 46, 43), 0.106180592459254, False, 'time']
['threebyone', 202561298, 'impression', '2', 240880421L, datetime.datetime(2013, 5, 21, 2, 46, 43), 0.148839065935834, True, 'time']
['threebyone', 202561298, 'view_full_application_via_name', '5', 240876707L, datetime.datetime(2013, 5, 21, 2, 46, 50), 0.101554727620878, False, 'time']
['threebyone', 202561298, 'impression', '5', 240876707L, datetime.datetime(2013, 5, 21, 2, 47, 2), 0.101554727620878, False, 'time']
['threebyone', 202561298, 'impression', '7', 240875282L, datetime.datetime(2013, 5, 21, 2, 47, 2), 0.140992094091037, False, 'time']
['threebyone', 202561298, 'impression', '4', 240878262L, datetime.datetime(2013, 5, 21, 2, 47, 2), 0.106180592459254, False, 'time']
['threebyone', 202561298, 'impression', '2', 240880421L, datetime.datetime(2013, 5, 21, 2, 47, 2), 0.148839065935834, True, 'time']
['threebyone', 202561298, 'impression', '6', 240875729L, datetime.datetime(2013, 5, 21, 2, 47, 2), 0.177802615253949, False, 'time']
['threebyone', 202561298, 'impression', '1', 240881292L, datetime.datetime(2013, 5, 21, 2, 47, 2), 0.047012149779909, False, 'time']
['threebyone', 202561298, 'impression', '3', 240880213L, datetime.datetime(2013, 5, 21, 2, 47, 2), 0.100879344517804, False, 'time']
['threebyone', 202561298, 'view_full_application_via_name', '4', 240878262L, datetime.datetime(2013, 5, 21, 2, 47, 9), 0.106180592459254, False, 'time']
['threebyone', 202561298, 'impression', '3', 240880213L, datetime.datetime(2013, 5, 21, 2, 48, 28), 0.100879344517804, False, 'time']
['threebyone', 202561298, 'impression', '6', 240875729L, datetime.datetime(2013, 5, 21, 2, 48, 28), 0.177802615253949, False, 'time']
['threebyone', 202561298, 'impression', '5', 240876707L, datetime.datetime(2013, 5, 21, 2, 48, 28), 0.101554727620878, False, 'time']
['threebyone', 202561298, 'impression', '7', 240875282L, datetime.datetime(2013, 5, 21, 2, 48, 28), 0.140992094091037, False, 'time']
['threebyone', 202561298, 'impression', '2', 240880421L, datetime.datetime(2013, 5, 21, 2, 48, 28), 0.148839065935834, True, 'time']
['threebyone', 202561298, 'impression', '4', 240878262L, datetime.datetime(2013, 5, 21, 2, 48, 28), 0.106180592459254, False, 'time']
['threebyone', 202561298, 'impression', '1', 240881292L, datetime.datetime(2013, 5, 21, 2, 48, 28), 0.047012149779909, False, 'time']
['threebyone', 202561298, 'view_full_application_via_name', '3', 240880213L, datetime.datetime(2013, 5, 21, 2, 48, 33), 0.100879344517804, False, 'time']
['threebyone', 202561298, 'impression', '3', 240880213L, datetime.datetime(2013, 5, 21, 2, 59, 19), 0.100879344517804, False, 'time']
['threebyone', 202561298, 'impression', '6', 240875729L, datetime.datetime(2013, 5, 21, 2, 59, 19), 0.177802615253949, False, 'time']
['threebyone', 202561298, 'impression', '5', 240876707L, datetime.datetime(2013, 5, 21, 2, 59, 19), 0.101554727620878, False, 'time']
['threebyone', 202561298, 'impression', '7', 240875282L, datetime.datetime(2013, 5, 21, 2, 59, 19), 0.140992094091037, False, 'time']
['threebyone', 202561298, 'impression', '1', 240881292L, datetime.datetime(2013, 5, 21, 2, 59, 19), 0.047012149779909, False, 'time']
['threebyone', 202561298, 'impression', '2', 240880421L, datetime.datetime(2013, 5, 21, 2, 59, 19), 0.148839065935834, True, 'time']
['threebyone', 202561298, 'impression', '4', 240878262L, datetime.datetime(2013, 5, 21, 2, 59, 19), 0.106180592459254, False, 'time']
['threebyone', 202561298, 'view_full_application_via_name', '2', 240880421L, datetime.datetime(2013, 5, 21, 2, 59, 21), 0.148839065935834, True, 'time']
['threebyone', 202561298, 'impression', '3', 240880421L, datetime.datetime(2013, 5, 21, 3, 0, 43), 0.148839065935834, True, 'time']
['threebyone', 202561298, 'impression', '7', 240875729L, datetime.datetime(2013, 5, 21, 3, 0, 43), 0.177802615253949, False, 'time']
['threebyone', 202561298, 'impression', '1', 240882110L, datetime.datetime(2013, 5, 21, 3, 0, 43), 0.278300094886172, False, 'time']
['threebyone', 202561298, 'impression', '5', 240878262L, datetime.datetime(2013, 5, 21, 3, 0, 43), 0.106180592459254, False, 'time']
['threebyone', 202561298, 'impression', '4', 240880213L, datetime.datetime(2013, 5, 21, 3, 0, 43), 0.100879344517804, False, 'time']
['threebyone', 202561298, 'impression', '8', 240875282L, datetime.datetime(2013, 5, 21, 3, 0, 43), 0.140992094091037, False, 'time']
['threebyone', 202561298, 'impression', '6', 240876707L, datetime.datetime(2013, 5, 21, 3, 0, 43), 0.101554727620878, False, 'time']
['threebyone', 202561298, 'impression', '2', 240881292L, datetime.datetime(2013, 5, 21, 3, 0, 43), 0.047012149779909, False, 'time']
['threebyone', 202561298, 'view_full_application_via_name', '2', 240881292L, datetime.datetime(2013, 5, 21, 3, 0, 55), 0.047012149779909, False, 'time']

['threebyone', 202561298, 'impression', '4', 240886034L, datetime.datetime(2013, 5, 21, 8, 12, 58), 0.547967065401932, False, 'time']
['threebyone', 202561298, 'impression', '5', 240885311L, datetime.datetime(2013, 5, 21, 8, 12, 58), 0.143582853313009, False, 'time']
['threebyone', 202561298, 'impression', '11', 240878262L, datetime.datetime(2013, 5, 21, 8, 12, 58), 0.106180592459254, False, 'time']
['threebyone', 202561298, 'impression', '3', 240891438L, datetime.datetime(2013, 5, 21, 8, 12, 58), 0.116842793962946, False, 'time']
['threebyone', 202561298, 'impression', '9', 240880421L, datetime.datetime(2013, 5, 21, 8, 12, 58), 0.148839065935834, True, 'time']
['threebyone', 202561298, 'impression', '6', 240883278L, datetime.datetime(2013, 5, 21, 8, 12, 58), 0.323403718017378, False, 'time']
['threebyone', 202561298, 'impression', '14', 240875282L, datetime.datetime(2013, 5, 21, 8, 12, 58), 0.140992094091037, False, 'time']
['threebyone', 202561298, 'impression', '2', 240893826L, datetime.datetime(2013, 5, 21, 8, 12, 58), 0.141798201694453, False, 'time']
['threebyone', 202561298, 'impression', '12', 240876707L, datetime.datetime(2013, 5, 21, 8, 12, 58), 0.101554727620878, False, 'time']
['threebyone', 202561298, 'impression', '7', 240882110L, datetime.datetime(2013, 5, 21, 8, 12, 58), 0.278300094886172, False, 'time']
['threebyone', 202561298, 'impression', '13', 240875729L, datetime.datetime(2013, 5, 21, 8, 12, 58), 0.177802615253949, False, 'time']
['threebyone', 202561298, 'impression', '8', 240881292L, datetime.datetime(2013, 5, 21, 8, 12, 58), 0.047012149779909, False, 'time']
['threebyone', 202561298, 'impression', '1', 240902055L, datetime.datetime(2013, 5, 21, 8, 12, 58), 0.119108310241582, False, 'time']
['threebyone', 202561298, 'impression', '10', 240880213L, datetime.datetime(2013, 5, 21, 8, 12, 58), 0.100879344517804, False, 'time']
['threebyone', 202561298, 'impression', '2', 240893826L, datetime.datetime(2013, 5, 21, 8, 17, 7), 0.141798201694453, False, 'time']
['threebyone', 202561298, 'impression', '12', 240876707L, datetime.datetime(2013, 5, 21, 8, 17, 7), 0.101554727620878, False, 'time']
