['timo', 202569017, 'impression', '10', 241031967L, datetime.datetime(2013, 5, 22, 16, 38, 20), 0.0385950690759686, False, 'time']
['timo', 202569017, 'impression', '7', 241032015L, datetime.datetime(2013, 5, 22, 16, 38, 20), 0.0358100474034479, False, 'time']
['timo', 202569017, 'impression', '1', 241032164L, datetime.datetime(2013, 5, 22, 16, 38, 20), 0.11660611608953, False, 'time']
['timo', 202569017, 'impression', '16', 241031743L, datetime.datetime(2013, 5, 22, 16, 38, 20), 0.0398240936040798, False, 'time']
['timo', 202569017, 'impression', '17', 241031711L, datetime.datetime(2013, 5, 22, 16, 38, 20), 0.0668020045204301, False, 'time']
['timo', 202569017, 'impression', '2', 241032148L, datetime.datetime(2013, 5, 22, 16, 38, 20), 0.0362471559595091, False, 'time']
['timo', 202569017, 'impression', '11', 241031956L, datetime.datetime(2013, 5, 22, 16, 38, 20), 0.027784694120381, False, 'time']
['timo', 202569017, 'impression', '20', 241031524L, datetime.datetime(2013, 5, 22, 16, 38, 20), 0.0352672645795226, False, 'time']
['timo', 202569017, 'impression', '14', 241031827L, datetime.datetime(2013, 5, 22, 16, 38, 20), 0.0458647637197869, False, 'time']
['timo', 202569017, 'impression', '12', 241031883L, datetime.datetime(2013, 5, 22, 16, 38, 20), 0.015881725101263, False, 'time']
['timo', 202569017, 'impression', '5', 241032056L, datetime.datetime(2013, 5, 22, 16, 38, 20), 0.0242792182814859, False, 'time']
['timo', 202569017, 'impression', '6', 241032058L, datetime.datetime(2013, 5, 22, 16, 38, 20), 0.0578907226107667, False, 'time']
['timo', 202569017, 'impression', '3', 241032138L, datetime.datetime(2013, 5, 22, 16, 38, 20), 0.0592314467262581, False, 'time']
['timo', 202569017, 'impression', '9', 241031970L, datetime.datetime(2013, 5, 22, 16, 38, 20), 0.0547603411827886, False, 'time']
['timo', 202569017, 'impression', '18', 241031571L, datetime.datetime(2013, 5, 22, 16, 38, 20), 0.0626167594594525, False, 'time']
