['top-proto', 202576420, 'impression', '2', 241174685L, datetime.datetime(2013, 5, 24, 9, 30, 28), 0.012634947966975, False, 'time']
['top-proto', 202576420, 'impression', '1', 241175163L, datetime.datetime(2013, 5, 24, 9, 30, 28), 0.0080642440237837, False, 'time']
['top-proto', 202576420, 'impression', '4', 241173447L, datetime.datetime(2013, 5, 24, 9, 30, 28), 0.00741725326179984, False, 'time']
['top-proto', 202576420, 'impression', '3', 241174086L, datetime.datetime(2013, 5, 24, 9, 30, 28), 0.00798505232605773, False, 'time']

['top-proto', 202576420, 'impression', '5', 241174086L, datetime.datetime(2013, 5, 24, 10, 36, 52), 0.00798505232605773, False, 'time']
['top-proto', 202576420, 'impression', '1', 241186442L, datetime.datetime(2013, 5, 24, 10, 36, 52), 0.0104120501895166, False, 'time']
['top-proto', 202576420, 'impression', '3', 241175163L, datetime.datetime(2013, 5, 24, 10, 36, 52), 0.0080642440237837, False, 'time']
['top-proto', 202576420, 'impression', '2', 241182965L, datetime.datetime(2013, 5, 24, 10, 36, 52), 0.0166004230903306, False, 'time']
['top-proto', 202576420, 'impression', '4', 241174685L, datetime.datetime(2013, 5, 24, 10, 36, 52), 0.012634947966975, False, 'time']
['top-proto', 202576420, 'impression', '6', 241173447L, datetime.datetime(2013, 5, 24, 10, 36, 52), 0.00741725326179984, False, 'time']

['top-proto', 202576420, 'impression', '1', 241186442L, datetime.datetime(2013, 5, 24, 18, 1, 22), 0.0104120501895166, False, 'time']
['top-proto', 202576420, 'impression', '5', 241174086L, datetime.datetime(2013, 5, 24, 18, 1, 22), 0.00798505232605773, False, 'time']
['top-proto', 202576420, 'impression', '3', 241175163L, datetime.datetime(2013, 5, 24, 18, 1, 22), 0.0080642440237837, False, 'time']
['top-proto', 202576420, 'impression', '4', 241174685L, datetime.datetime(2013, 5, 24, 18, 1, 22), 0.012634947966975, False, 'time']
['top-proto', 202576420, 'impression', '2', 241182965L, datetime.datetime(2013, 5, 24, 18, 1, 22), 0.0166004230903306, False, 'time']
['top-proto', 202576420, 'impression', '6', 241173447L, datetime.datetime(2013, 5, 24, 18, 1, 22), 0.00741725326179984, False, 'time']
['top-proto', 202576420, 'impression', '5', 241174086L, datetime.datetime(2013, 5, 24, 18, 1, 44), 0.00798505232605773, False, 'time']
['top-proto', 202576420, 'impression', '1', 241186442L, datetime.datetime(2013, 5, 24, 18, 1, 44), 0.0104120501895166, False, 'time']
['top-proto', 202576420, 'impression', '6', 241173447L, datetime.datetime(2013, 5, 24, 18, 1, 44), 0.00741725326179984, False, 'time']
['top-proto', 202576420, 'impression', '4', 241174685L, datetime.datetime(2013, 5, 24, 18, 1, 44), 0.012634947966975, False, 'time']
['top-proto', 202576420, 'impression', '2', 241182965L, datetime.datetime(2013, 5, 24, 18, 1, 44), 0.0166004230903306, False, 'time']
['top-proto', 202576420, 'impression', '3', 241175163L, datetime.datetime(2013, 5, 24, 18, 1, 44), 0.0080642440237837, False, 'time']
['top-proto', 202576420, 'view_full_application_via_name', '6', 241173447L, datetime.datetime(2013, 5, 24, 18, 1, 53), 0.00741725326179984, False, 'time']
['top-proto', 202576420, 'impression', '6', 241173447L, datetime.datetime(2013, 5, 24, 18, 1, 58), 0.00741725326179984, False, 'time']
['top-proto', 202576420, 'impression', '1', 241186442L, datetime.datetime(2013, 5, 24, 18, 1, 58), 0.0104120501895166, False, 'time']
['top-proto', 202576420, 'impression', '2', 241182965L, datetime.datetime(2013, 5, 24, 18, 1, 58), 0.0166004230903306, False, 'time']
['top-proto', 202576420, 'impression', '4', 241174685L, datetime.datetime(2013, 5, 24, 18, 1, 58), 0.012634947966975, False, 'time']
['top-proto', 202576420, 'impression', '3', 241175163L, datetime.datetime(2013, 5, 24, 18, 1, 58), 0.0080642440237837, False, 'time']
['top-proto', 202576420, 'impression', '5', 241174086L, datetime.datetime(2013, 5, 24, 18, 1, 58), 0.00798505232605773, False, 'time']
['top-proto', 202576420, 'impression', '6', 241173447L, datetime.datetime(2013, 5, 24, 18, 1, 59), 0.00741725326179984, False, 'time']
['top-proto', 202576420, 'impression', '6', 241173447L, datetime.datetime(2013, 5, 24, 18, 2, 1), 0.00741725326179984, False, 'time']
['top-proto', 202576420, 'view_full_application_via_name', '1', 241186442L, datetime.datetime(2013, 5, 24, 18, 2, 19), 0.0104120501895166, False, 'time']
['top-proto', 202576420, 'impression', '1', 241186442L, datetime.datetime(2013, 5, 24, 18, 3, 20), 0.0104120501895166, False, 'time']
['top-proto', 202576420, 'impression', '5', 241174086L, datetime.datetime(2013, 5, 24, 18, 3, 20), 0.00798505232605773, False, 'time']
['top-proto', 202576420, 'impression', '2', 241182965L, datetime.datetime(2013, 5, 24, 18, 3, 20), 0.0166004230903306, False, 'time']
['top-proto', 202576420, 'impression', '3', 241175163L, datetime.datetime(2013, 5, 24, 18, 3, 20), 0.0080642440237837, False, 'time']
['top-proto', 202576420, 'impression', '4', 241174685L, datetime.datetime(2013, 5, 24, 18, 3, 20), 0.012634947966975, False, 'time']
['top-proto', 202576420, 'view_full_application_via_name', '2', 241182965L, datetime.datetime(2013, 5, 24, 18, 3, 24), 0.0166004230903306, False, 'time']
['top-proto', 202576420, 'impression', '3', 241174685L, datetime.datetime(2013, 5, 24, 18, 8, 23), 0.012634947966975, False, 'time']
['top-proto', 202576420, 'impression', '2', 241175163L, datetime.datetime(2013, 5, 24, 18, 8, 23), 0.0080642440237837, False, 'time']
['top-proto', 202576420, 'impression', '1', 241186442L, datetime.datetime(2013, 5, 24, 18, 8, 23), 0.0104120501895166, False, 'time']
['top-proto', 202576420, 'impression', '4', 241174086L, datetime.datetime(2013, 5, 24, 18, 8, 23), 0.00798505232605773, False, 'time']
['top-proto', 202576420, 'view_full_application_via_name', '3', 241174685L, datetime.datetime(2013, 5, 24, 18, 8, 31), 0.012634947966975, False, 'time']
['top-proto', 202576420, 'impression', '3', 241174086L, datetime.datetime(2013, 5, 24, 18, 10, 18), 0.00798505232605773, False, 'time']
['top-proto', 202576420, 'impression', '1', 241186442L, datetime.datetime(2013, 5, 24, 18, 10, 18), 0.0104120501895166, False, 'time']
