['topsport', 202573052, 'impression', '8', 241114142L, datetime.datetime(2013, 5, 24, 6, 1, 52), 0.146132881999989, False, 'best']
['topsport', 202573052, 'impression', '7', 241150456L, datetime.datetime(2013, 5, 24, 6, 1, 52), 0.165566966903052, False, 'best']
['topsport', 202573052, 'impression', '4', 241111311L, datetime.datetime(2013, 5, 24, 6, 1, 52), 0.252662857148147, False, 'best']
['topsport', 202573052, 'impression', '10', 241115455L, datetime.datetime(2013, 5, 24, 6, 1, 52), 0.0271659589906317, False, 'best']
['topsport', 202573052, 'impression', '5', 241132911L, datetime.datetime(2013, 5, 24, 6, 1, 52), 0.198505874931873, False, 'best']
['topsport', 202573052, 'impression', '3', 241126311L, datetime.datetime(2013, 5, 24, 6, 1, 52), 0.265501803943873, False, 'best']
['topsport', 202573052, 'impression', '9', 241137384L, datetime.datetime(2013, 5, 24, 6, 1, 52), 0.0996150891946835, False, 'best']
['topsport', 202573052, 'impression', '6', 241114398L, datetime.datetime(2013, 5, 24, 6, 1, 52), 0.193871398320284, False, 'best']
['topsport', 202573052, 'impression', '2', 241112687L, datetime.datetime(2013, 5, 24, 6, 1, 52), 0.268575994038462, False, 'best']
['topsport', 202573052, 'impression', '1', 241123069L, datetime.datetime(2013, 5, 24, 6, 1, 52), 0.307733497253037, False, 'best']
['topsport', 202573052, 'impression', '4', 241111311L, datetime.datetime(2013, 5, 24, 6, 6, 57), 0.252662857148147, False, 'best']
['topsport', 202573052, 'impression', '10', 241115455L, datetime.datetime(2013, 5, 24, 6, 6, 57), 0.0271659589906317, False, 'best']
['topsport', 202573052, 'impression', '1', 241123069L, datetime.datetime(2013, 5, 24, 6, 6, 57), 0.307733497253037, False, 'best']
['topsport', 202573052, 'impression', '6', 241114398L, datetime.datetime(2013, 5, 24, 6, 6, 57), 0.193871398320284, False, 'best']
['topsport', 202573052, 'impression', '2', 241112687L, datetime.datetime(2013, 5, 24, 6, 6, 57), 0.268575994038462, False, 'best']
['topsport', 202573052, 'impression', '9', 241137384L, datetime.datetime(2013, 5, 24, 6, 6, 57), 0.0996150891946835, False, 'best']
['topsport', 202573052, 'impression', '3', 241126311L, datetime.datetime(2013, 5, 24, 6, 6, 57), 0.265501803943873, False, 'best']
['topsport', 202573052, 'impression', '7', 241150456L, datetime.datetime(2013, 5, 24, 6, 6, 57), 0.165566966903052, False, 'best']
['topsport', 202573052, 'impression', '8', 241114142L, datetime.datetime(2013, 5, 24, 6, 6, 57), 0.146132881999989, False, 'best']
['topsport', 202573052, 'impression', '5', 241132911L, datetime.datetime(2013, 5, 24, 6, 6, 57), 0.198505874931873, False, 'best']
['topsport', 202573052, 'expand_tile', '10', 241115455L, datetime.datetime(2013, 5, 24, 6, 7, 35), 0.0271659589906317, False, 'best']
['topsport', 202573052, 'impression', '10', 241115455L, datetime.datetime(2013, 5, 24, 6, 10, 47), 0.0271659589906317, False, 'best']
['topsport', 202573052, 'expand_tile', '1', 241123069L, datetime.datetime(2013, 5, 24, 6, 11, 20), 0.307733497253037, False, 'best']
['topsport', 202573052, 'expand_tile', '1', 241123069L, datetime.datetime(2013, 5, 24, 6, 11, 51), 0.307733497253037, False, 'best']
['topsport', 202573052, 'shortlist', '1', 241123069L, datetime.datetime(2013, 5, 24, 6, 11, 51), 0.307733497253037, False, 'best']
['topsport', 202573052, 'expand_tile', '2', 241112687L, datetime.datetime(2013, 5, 24, 6, 17, 2), 0.268575994038462, False, 'best']
['topsport', 202573052, 'impression', '3', 241126311L, datetime.datetime(2013, 5, 24, 6, 17, 14), 0.265501803943873, False, 'best']
['topsport', 202573052, 'impression', '2', 241112687L, datetime.datetime(2013, 5, 24, 6, 17, 15), 0.268575994038462, False, 'best']
['topsport', 202573052, 'impression', '2', 241112687L, datetime.datetime(2013, 5, 24, 6, 17, 18), 0.268575994038462, False, 'best']
['topsport', 202573052, 'impression', '2', 241112687L, datetime.datetime(2013, 5, 24, 6, 17, 18), 0.268575994038462, False, 'best']
['topsport', 202573052, 'expand_tile', '2', 241112687L, datetime.datetime(2013, 5, 24, 6, 17, 19), 0.268575994038462, False, 'best']
