['triffort1', 202552394, 'impression', '1', 240684806L, datetime.datetime(2013, 5, 18, 7, 21, 43), 0.0201163106175971, False, 'time']
['triffort1', 202552394, 'impression', '1', 240684806L, datetime.datetime(2013, 5, 18, 7, 22, 35), 0.0201163106175971, False, 'time']

['triffort1', 202552394, 'impression', '8', 240685064L, datetime.datetime(2013, 5, 18, 8, 24, 21), 0.0113377198030852, False, 'time']
['triffort1', 202552394, 'impression', '7', 240685253L, datetime.datetime(2013, 5, 18, 8, 24, 21), 0.00371658334069716, False, 'time']
['triffort1', 202552394, 'impression', '1', 240689132L, datetime.datetime(2013, 5, 18, 8, 24, 21), 0.00473371518358877, False, 'time']
['triffort1', 202552394, 'impression', '6', 240685697L, datetime.datetime(2013, 5, 18, 8, 24, 21), 0.0133027462566509, False, 'time']
['triffort1', 202552394, 'impression', '3', 240687694L, datetime.datetime(2013, 5, 18, 8, 24, 21), 0.0133575748717815, False, 'time']
['triffort1', 202552394, 'impression', '4', 240686965L, datetime.datetime(2013, 5, 18, 8, 24, 21), 0.00620674980832996, False, 'time']
['triffort1', 202552394, 'impression', '9', 240684806L, datetime.datetime(2013, 5, 18, 8, 24, 21), 0.0201163106175971, False, 'time']
['triffort1', 202552394, 'impression', '5', 240686071L, datetime.datetime(2013, 5, 18, 8, 24, 21), 0.00537287682532592, False, 'time']
['triffort1', 202552394, 'impression', '2', 240687743L, datetime.datetime(2013, 5, 18, 8, 24, 21), 0.00405741718520508, False, 'time']
['triffort1', 202552394, 'impression', '8', 240685697L, datetime.datetime(2013, 5, 18, 8, 36, 59), 0.0133027462566509, False, 'time']
['triffort1', 202552394, 'impression', '7', 240686071L, datetime.datetime(2013, 5, 18, 8, 36, 59), 0.00537287682532592, False, 'time']
['triffort1', 202552394, 'impression', '4', 240687716L, datetime.datetime(2013, 5, 18, 8, 36, 59), 0.0040649150776471, False, 'time']
['triffort1', 202552394, 'impression', '2', 240689132L, datetime.datetime(2013, 5, 18, 8, 36, 59), 0.00473371518358877, False, 'time']
['triffort1', 202552394, 'impression', '9', 240685253L, datetime.datetime(2013, 5, 18, 8, 36, 59), 0.00371658334069716, False, 'time']
['triffort1', 202552394, 'impression', '1', 240689225L, datetime.datetime(2013, 5, 18, 8, 36, 59), 0.0118162288101882, False, 'time']
['triffort1', 202552394, 'impression', '3', 240687743L, datetime.datetime(2013, 5, 18, 8, 36, 59), 0.00405741718520508, False, 'time']
['triffort1', 202552394, 'impression', '6', 240686965L, datetime.datetime(2013, 5, 18, 8, 36, 59), 0.00620674980832996, False, 'time']
['triffort1', 202552394, 'impression', '5', 240687694L, datetime.datetime(2013, 5, 18, 8, 36, 59), 0.0133575748717815, False, 'time']
['triffort1', 202552394, 'impression', '10', 240685064L, datetime.datetime(2013, 5, 18, 8, 36, 59), 0.0113377198030852, False, 'time']
['triffort1', 202552394, 'impression', '11', 240684806L, datetime.datetime(2013, 5, 18, 8, 36, 59), 0.0201163106175971, False, 'time']
['triffort1', 202552394, 'impression', '4', 240687716L, datetime.datetime(2013, 5, 18, 9, 1, 55), 0.0040649150776471, False, 'time']
['triffort1', 202552394, 'impression', '7', 240686071L, datetime.datetime(2013, 5, 18, 9, 1, 55), 0.00537287682532592, False, 'time']
['triffort1', 202552394, 'impression', '9', 240685253L, datetime.datetime(2013, 5, 18, 9, 1, 55), 0.00371658334069716, False, 'time']
['triffort1', 202552394, 'impression', '2', 240689132L, datetime.datetime(2013, 5, 18, 9, 1, 55), 0.00473371518358877, False, 'time']
['triffort1', 202552394, 'impression', '3', 240687743L, datetime.datetime(2013, 5, 18, 9, 1, 55), 0.00405741718520508, False, 'time']
['triffort1', 202552394, 'impression', '1', 240689225L, datetime.datetime(2013, 5, 18, 9, 1, 55), 0.0118162288101882, False, 'time']
['triffort1', 202552394, 'impression', '8', 240685697L, datetime.datetime(2013, 5, 18, 9, 1, 55), 0.0133027462566509, False, 'time']
['triffort1', 202552394, 'impression', '10', 240685064L, datetime.datetime(2013, 5, 18, 9, 1, 55), 0.0113377198030852, False, 'time']
['triffort1', 202552394, 'impression', '11', 240684806L, datetime.datetime(2013, 5, 18, 9, 1, 55), 0.0201163106175971, False, 'time']
['triffort1', 202552394, 'impression', '5', 240687694L, datetime.datetime(2013, 5, 18, 9, 1, 55), 0.0133575748717815, False, 'time']
