['tuliofelipe', 202556842, 'impression', '2', 240785186L, datetime.datetime(2013, 5, 20, 0, 58, 41), 0.0234934747488141, False, 'time']
['tuliofelipe', 202556842, 'impression', '1', 240785403L, datetime.datetime(2013, 5, 20, 0, 58, 41), 0.0197139025545516, False, 'time']
['tuliofelipe', 202556842, 'expand_tile', '2', 240785186L, datetime.datetime(2013, 5, 20, 0, 59, 3), 0.0234934747488141, False, 'time']
['tuliofelipe', 202556842, 'collapse_tile', '2', 240785186L, datetime.datetime(2013, 5, 20, 0, 59, 55), 0.0234934747488141, False, 'time']
['tuliofelipe', 202556842, 'view_full_application_via_name', '1', 240785403L, datetime.datetime(2013, 5, 20, 1, 0, 16), 0.0197139025545516, False, 'time']
['tuliofelipe', 202556842, 'view_full_application', '1', 240785403L, datetime.datetime(2013, 5, 20, 1, 0, 21), 0.0197139025545516, False, 'time']
['tuliofelipe', 202556842, 'impression', '1', 240785403L, datetime.datetime(2013, 5, 20, 1, 3, 19), 0.0197139025545516, False, 'time']
['tuliofelipe', 202556842, 'impression', '2', 240785186L, datetime.datetime(2013, 5, 20, 1, 3, 19), 0.0234934747488141, False, 'time']
['tuliofelipe', 202556842, 'collapse_tile', '2', 240785186L, datetime.datetime(2013, 5, 20, 1, 4, 26), 0.0234934747488141, False, 'time']
['tuliofelipe', 202556842, 'expand_tile', '2', 240785186L, datetime.datetime(2013, 5, 20, 1, 6, 51), 0.0234934747488141, False, 'time']
['tuliofelipe', 202556842, 'send_message', '2', 240785186L, datetime.datetime(2013, 5, 20, 1, 7, 2), 0.0234934747488141, False, 'time']
['tuliofelipe', 202556842, 'impression', '2', 240785186L, datetime.datetime(2013, 5, 20, 1, 31, 50), 0.0234934747488141, False, 'time']
['tuliofelipe', 202556842, 'impression', '1', 240786798L, datetime.datetime(2013, 5, 20, 1, 31, 50), 0.0310923224069619, False, 'time']
['tuliofelipe', 202556842, 'impression', '1', 240786798L, datetime.datetime(2013, 5, 20, 1, 32, 47), 0.0310923224069619, False, 'time']
['tuliofelipe', 202556842, 'view_full_application', '1', 240786798L, datetime.datetime(2013, 5, 20, 1, 37), 0.0310923224069619, False, 'time']
['tuliofelipe', 202556842, 'view_full_application', '1', 240786798L, datetime.datetime(2013, 5, 20, 1, 37, 19), 0.0310923224069619, False, 'time']
['tuliofelipe', 202556842, 'impression', '3', 240785186L, datetime.datetime(2013, 5, 20, 1, 45, 38), 0.0234934747488141, False, 'time']
['tuliofelipe', 202556842, 'impression', '1', 240787492L, datetime.datetime(2013, 5, 20, 1, 45, 38), 0.0214218178521773, False, 'time']
['tuliofelipe', 202556842, 'impression', '2', 240786798L, datetime.datetime(2013, 5, 20, 1, 45, 38), 0.0310923224069619, False, 'time']
['tuliofelipe', 202556842, 'expand_tile', '1', 240787492L, datetime.datetime(2013, 5, 20, 1, 46, 17), 0.0214218178521773, False, 'time']
['tuliofelipe', 202556842, 'expand_tile', '1', 240787492L, datetime.datetime(2013, 5, 20, 2, 3, 27), 0.0214218178521773, False, 'time']
['tuliofelipe', 202556842, 'impression', None, 240787492L, datetime.datetime(2013, 5, 20, 2, 3, 28), 0.0214218178521773, False, 'time']
['tuliofelipe', 202556842, 'impression', '1', 240787492L, datetime.datetime(2013, 5, 20, 2, 3, 28), 0.0214218178521773, False, 'time']
['tuliofelipe', 202556842, 'impression', None, 240787492L, datetime.datetime(2013, 5, 20, 2, 3, 34), 0.0214218178521773, False, 'time']
['tuliofelipe', 202556842, 'expand_tile', '3', 240785186L, datetime.datetime(2013, 5, 20, 2, 4, 11), 0.0234934747488141, False, 'time']

['tuliofelipe', 202556842, 'impression', '7', 240801448L, datetime.datetime(2013, 5, 20, 15, 51, 33), 0.00789070024376921, False, 'time']
['tuliofelipe', 202556842, 'impression', '1', 240838280L, datetime.datetime(2013, 5, 20, 15, 51, 33), 0.0815662412258877, False, 'time']
['tuliofelipe', 202556842, 'impression', '8', 240797540L, datetime.datetime(2013, 5, 20, 15, 51, 33), 0.0322185032353057, False, 'time']
['tuliofelipe', 202556842, 'impression', '15', 240786798L, datetime.datetime(2013, 5, 20, 15, 51, 33), 0.0310923224069619, False, 'time']
['tuliofelipe', 202556842, 'impression', '3', 240820188L, datetime.datetime(2013, 5, 20, 15, 51, 33), 0.0264483027043099, False, 'time']
['tuliofelipe', 202556842, 'impression', '13', 240788079L, datetime.datetime(2013, 5, 20, 15, 51, 33), 0.0342705383638322, False, 'time']
['tuliofelipe', 202556842, 'impression', '16', 240785186L, datetime.datetime(2013, 5, 20, 15, 51, 33), 0.0234934747488141, False, 'time']
['tuliofelipe', 202556842, 'impression', '9', 240792162L, datetime.datetime(2013, 5, 20, 15, 51, 33), 0.0256403490396016, False, 'time']
['tuliofelipe', 202556842, 'impression', '2', 240823125L, datetime.datetime(2013, 5, 20, 15, 51, 33), 0.0297710651633924, False, 'time']
['tuliofelipe', 202556842, 'impression', '4', 240804908L, datetime.datetime(2013, 5, 20, 15, 51, 33), 0.0109250281811861, False, 'time']
['tuliofelipe', 202556842, 'impression', '11', 240790991L, datetime.datetime(2013, 5, 20, 15, 51, 33), 0.03068484477248, False, 'time']
['tuliofelipe', 202556842, 'impression', '6', 240801502L, datetime.datetime(2013, 5, 20, 15, 51, 33), 0.018932214958472, False, 'time']
['tuliofelipe', 202556842, 'impression', '10', 240791652L, datetime.datetime(2013, 5, 20, 15, 51, 33), 0.0154512372450433, False, 'time']
['tuliofelipe', 202556842, 'impression', '14', 240787492L, datetime.datetime(2013, 5, 20, 15, 51, 33), 0.0214218178521773, False, 'time']
['tuliofelipe', 202556842, 'impression', '17', 240785098L, datetime.datetime(2013, 5, 20, 15, 51, 33), 0.0428818516120145, False, 'time']
['tuliofelipe', 202556842, 'impression', '12', 240789116L, datetime.datetime(2013, 5, 20, 15, 51, 33), 0.0449511411787771, False, 'time']
['tuliofelipe', 202556842, 'impression', '5', 240802213L, datetime.datetime(2013, 5, 20, 15, 51, 33), 0.0094961804802196, False, 'time']
['tuliofelipe', 202556842, 'expand_tile', '1', 240838280L, datetime.datetime(2013, 5, 20, 15, 53, 43), 0.0815662412258877, False, 'time']
['tuliofelipe', 202556842, 'expand_tile', '2', 240823125L, datetime.datetime(2013, 5, 20, 15, 54, 29), 0.0297710651633924, False, 'time']
