['victoriarangel3', 202586167, 'impression', '3', 241403446L, datetime.datetime(2013, 5, 26, 20, 40, 49), 0.173180931442462, False, 'time']
['victoriarangel3', 202586167, 'impression', '2', 241403498L, datetime.datetime(2013, 5, 26, 20, 40, 49), 0.274726646026198, False, 'time']
['victoriarangel3', 202586167, 'impression', '5', 241403389L, datetime.datetime(2013, 5, 26, 20, 40, 49), 0.0802692077538638, False, 'time']
['victoriarangel3', 202586167, 'impression', '1', 241403835L, datetime.datetime(2013, 5, 26, 20, 40, 49), 0.114123867712218, False, 'time']
['victoriarangel3', 202586167, 'impression', '4', 241403399L, datetime.datetime(2013, 5, 26, 20, 40, 49), 0.107417459143362, False, 'time']
['victoriarangel3', 202586167, 'impression', '1', 241403835L, datetime.datetime(2013, 5, 26, 20, 41), 0.114123867712218, False, 'time']
['victoriarangel3', 202586167, 'impression', '4', 241403399L, datetime.datetime(2013, 5, 26, 20, 43, 22), 0.107417459143362, False, 'time']
['victoriarangel3', 202586167, 'impression', '2', 241403498L, datetime.datetime(2013, 5, 26, 20, 43, 22), 0.274726646026198, False, 'time']
['victoriarangel3', 202586167, 'impression', '3', 241403446L, datetime.datetime(2013, 5, 26, 20, 43, 22), 0.173180931442462, False, 'time']
['victoriarangel3', 202586167, 'impression', '1', 241403835L, datetime.datetime(2013, 5, 26, 20, 43, 22), 0.114123867712218, False, 'time']
['victoriarangel3', 202586167, 'impression', '5', 241403389L, datetime.datetime(2013, 5, 26, 20, 43, 22), 0.0802692077538638, False, 'time']
['victoriarangel3', 202586167, 'impression', '3', 241403446L, datetime.datetime(2013, 5, 26, 20, 45, 50), 0.173180931442462, False, 'time']
['victoriarangel3', 202586167, 'impression', '4', 241403399L, datetime.datetime(2013, 5, 26, 20, 45, 50), 0.107417459143362, False, 'time']
['victoriarangel3', 202586167, 'impression', '5', 241403389L, datetime.datetime(2013, 5, 26, 20, 45, 50), 0.0802692077538638, False, 'time']
['victoriarangel3', 202586167, 'impression', '1', 241403835L, datetime.datetime(2013, 5, 26, 20, 45, 50), 0.114123867712218, False, 'time']
['victoriarangel3', 202586167, 'impression', '2', 241403498L, datetime.datetime(2013, 5, 26, 20, 45, 50), 0.274726646026198, False, 'time']
['victoriarangel3', 202586167, 'impression', '7', 241403399L, datetime.datetime(2013, 5, 26, 20, 56, 49), 0.107417459143362, False, 'time']
['victoriarangel3', 202586167, 'impression', '5', 241403498L, datetime.datetime(2013, 5, 26, 20, 56, 49), 0.274726646026198, False, 'time']
