['vince32', 202546163, 'impression', '1', 240555411L, datetime.datetime(2013, 5, 16, 16, 24, 35), 0.262667126594446, False, 'best']
['vince32', 202546163, 'expand_tile', '1', 240555411L, datetime.datetime(2013, 5, 16, 16, 24, 44), 0.262667126594446, False, 'best']
['vince32', 202546163, 'impression', '6', 240557655L, datetime.datetime(2013, 5, 16, 16, 45, 41), 0.185093002374651, False, 'best']
['vince32', 202546163, 'impression', '2', 240556586L, datetime.datetime(2013, 5, 16, 16, 45, 41), 0.346290236218142, False, 'best']
['vince32', 202546163, 'impression', '3', 240556799L, datetime.datetime(2013, 5, 16, 16, 45, 41), 0.198294837361447, False, 'best']
['vince32', 202546163, 'impression', '5', 240557165L, datetime.datetime(2013, 5, 16, 16, 45, 41), 0.273190836432179, False, 'best']
['vince32', 202546163, 'impression', '4', 240556897L, datetime.datetime(2013, 5, 16, 16, 45, 41), 0.479204895647282, False, 'best']
['vince32', 202546163, 'impression', '1', 240555411L, datetime.datetime(2013, 5, 16, 16, 45, 41), 0.262667126594446, False, 'best']
['vince32', 202546163, 'hide', '6', 240557655L, datetime.datetime(2013, 5, 16, 16, 46, 7), 0.185093002374651, False, 'best']
['vince32', 202546163, 'view_full_application_via_name', '5', 240557165L, datetime.datetime(2013, 5, 16, 16, 46, 19), 0.273190836432179, False, 'best']
['vince32', 202546163, 'impression', '1', 240555411L, datetime.datetime(2013, 5, 16, 16, 46, 44), 0.262667126594446, False, 'best']
['vince32', 202546163, 'impression', '4', 240556897L, datetime.datetime(2013, 5, 16, 16, 46, 44), 0.479204895647282, False, 'best']
['vince32', 202546163, 'impression', '3', 240556799L, datetime.datetime(2013, 5, 16, 16, 46, 44), 0.198294837361447, False, 'best']
['vince32', 202546163, 'impression', '5', 240557165L, datetime.datetime(2013, 5, 16, 16, 46, 44), 0.273190836432179, False, 'best']
['vince32', 202546163, 'impression', '2', 240556586L, datetime.datetime(2013, 5, 16, 16, 46, 44), 0.346290236218142, False, 'best']
['vince32', 202546163, 'view_full_application_via_name', '4', 240556897L, datetime.datetime(2013, 5, 16, 16, 46, 54), 0.479204895647282, False, 'best']
['vince32', 202546163, 'impression', '4', 240556897L, datetime.datetime(2013, 5, 16, 16, 52, 57), 0.479204895647282, False, 'best']
['vince32', 202546163, 'impression', '1', 240555411L, datetime.datetime(2013, 5, 16, 16, 52, 57), 0.262667126594446, False, 'best']
['vince32', 202546163, 'impression', '2', 240556586L, datetime.datetime(2013, 5, 16, 16, 52, 57), 0.346290236218142, False, 'best']
['vince32', 202546163, 'impression', '5', 240557165L, datetime.datetime(2013, 5, 16, 16, 52, 57), 0.273190836432179, False, 'best']
['vince32', 202546163, 'impression', '3', 240556799L, datetime.datetime(2013, 5, 16, 16, 52, 57), 0.198294837361447, False, 'best']
['vince32', 202546163, 'expand_tile', '2', 240556586L, datetime.datetime(2013, 5, 16, 16, 53, 9), 0.346290236218142, False, 'best']

['vince32', 202546163, 'impression', '1', 240555411L, datetime.datetime(2013, 5, 16, 17, 56, 7), 0.262667126594446, False, 'best']
['vince32', 202546163, 'impression', '4', 240556897L, datetime.datetime(2013, 5, 16, 17, 56, 7), 0.479204895647282, False, 'best']
['vince32', 202546163, 'impression', '8', 240561320L, datetime.datetime(2013, 5, 16, 17, 56, 7), 0.450109116572568, False, 'best']
['vince32', 202546163, 'impression', '7', 240558751L, datetime.datetime(2013, 5, 16, 17, 56, 7), 0.195571729496881, False, 'best']
['vince32', 202546163, 'impression', '3', 240556799L, datetime.datetime(2013, 5, 16, 17, 56, 7), 0.198294837361447, False, 'best']
['vince32', 202546163, 'impression', '5', 240557165L, datetime.datetime(2013, 5, 16, 17, 56, 7), 0.273190836432179, False, 'best']
['vince32', 202546163, 'impression', '10', 240562257L, datetime.datetime(2013, 5, 16, 17, 56, 7), 0.279955290728948, False, 'best']
['vince32', 202546163, 'impression', '6', 240558386L, datetime.datetime(2013, 5, 16, 17, 56, 7), 0.211670624519727, False, 'best']
['vince32', 202546163, 'impression', '2', 240556586L, datetime.datetime(2013, 5, 16, 17, 56, 7), 0.346290236218142, False, 'best']
['vince32', 202546163, 'impression', '9', 240562022L, datetime.datetime(2013, 5, 16, 17, 56, 7), 0.443207594497138, False, 'best']
['vince32', 202546163, 'hide', '6', 240558386L, datetime.datetime(2013, 5, 16, 17, 59, 1), 0.211670624519727, False, 'best']
['vince32', 202546163, 'hide', '7', 240558751L, datetime.datetime(2013, 5, 16, 17, 59, 3), 0.195571729496881, False, 'best']
['vince32', 202546163, 'expand_tile', '8', 240561320L, datetime.datetime(2013, 5, 16, 17, 59, 7), 0.450109116572568, False, 'best']
['vince32', 202546163, 'view_full_application_via_name', '8', 240561320L, datetime.datetime(2013, 5, 16, 17, 59, 30), 0.450109116572568, False, 'best']
['vince32', 202546163, 'impression', '7', 240562022L, datetime.datetime(2013, 5, 16, 18, 2, 14), 0.443207594497138, False, 'best']
['vince32', 202546163, 'impression', '2', 240556586L, datetime.datetime(2013, 5, 16, 18, 2, 14), 0.346290236218142, False, 'best']
['vince32', 202546163, 'impression', '5', 240557165L, datetime.datetime(2013, 5, 16, 18, 2, 14), 0.273190836432179, False, 'best']
['vince32', 202546163, 'impression', '3', 240556799L, datetime.datetime(2013, 5, 16, 18, 2, 14), 0.198294837361447, False, 'best']
['vince32', 202546163, 'impression', '8', 240562257L, datetime.datetime(2013, 5, 16, 18, 2, 14), 0.279955290728948, False, 'best']
['vince32', 202546163, 'impression', '4', 240556897L, datetime.datetime(2013, 5, 16, 18, 2, 14), 0.479204895647282, False, 'best']
['vince32', 202546163, 'impression', '6', 240561320L, datetime.datetime(2013, 5, 16, 18, 2, 14), 0.450109116572568, False, 'best']
['vince32', 202546163, 'impression', '1', 240555411L, datetime.datetime(2013, 5, 16, 18, 2, 14), 0.262667126594446, False, 'best']
['vince32', 202546163, 'hide', '1', 240555411L, datetime.datetime(2013, 5, 16, 18, 2, 18), 0.262667126594446, False, 'best']
['vince32', 202546163, 'hide', '2', 240556586L, datetime.datetime(2013, 5, 16, 18, 2, 20), 0.346290236218142, False, 'best']
