['vinny168', 202544606, 'impression', '6', 240563591L, datetime.datetime(2013, 5, 17, 6, 25, 22), 0.0912040400587071, False, 'time']
['vinny168', 202544606, 'impression', '19', 240534309L, datetime.datetime(2013, 5, 17, 6, 25, 22), 0.0997832447434758, False, 'time']
['vinny168', 202544606, 'impression', '2', 240574029L, datetime.datetime(2013, 5, 17, 6, 25, 22), 0.124807408759295, False, 'time']
['vinny168', 202544606, 'impression', '5', 240566817L, datetime.datetime(2013, 5, 17, 6, 25, 22), 0.175047959950084, False, 'time']
['vinny168', 202544606, 'impression', '7', 240562026L, datetime.datetime(2013, 5, 17, 6, 25, 22), 0.370709440003564, False, 'time']
['vinny168', 202544606, 'impression', '1', 240582971L, datetime.datetime(2013, 5, 17, 6, 25, 22), 0.0839807736197324, False, 'time']
['vinny168', 202544606, 'impression', '9', 240559635L, datetime.datetime(2013, 5, 17, 6, 25, 22), 0.0991723402189646, False, 'time']
['vinny168', 202544606, 'impression', '14', 240540358L, datetime.datetime(2013, 5, 17, 6, 25, 22), 0.12038609554993, False, 'time']
['vinny168', 202544606, 'impression', '4', 240568165L, datetime.datetime(2013, 5, 17, 6, 25, 22), 0.103162833031935, False, 'time']
['vinny168', 202544606, 'impression', '20', 240533660L, datetime.datetime(2013, 5, 17, 6, 25, 22), 0.184261744267003, False, 'time']
['vinny168', 202544606, 'impression', '13', 240540376L, datetime.datetime(2013, 5, 17, 6, 25, 22), 0.130235432237166, False, 'time']
['vinny168', 202544606, 'impression', '18', 240535933L, datetime.datetime(2013, 5, 17, 6, 25, 22), 0.174115878706454, False, 'time']
['vinny168', 202544606, 'impression', '10', 240544659L, datetime.datetime(2013, 5, 17, 6, 25, 22), 0.451230663928138, False, 'time']
['vinny168', 202544606, 'impression', '12', 240540511L, datetime.datetime(2013, 5, 17, 6, 25, 22), 0.183595494205801, False, 'time']
['vinny168', 202544606, 'impression', '8', 240561194L, datetime.datetime(2013, 5, 17, 6, 25, 22), 0.0695287251937839, False, 'time']
['vinny168', 202544606, 'impression', '16', 240539376L, datetime.datetime(2013, 5, 17, 6, 25, 22), 0.098048828300299, False, 'time']
['vinny168', 202544606, 'impression', '17', 240537857L, datetime.datetime(2013, 5, 17, 6, 25, 22), 0.186690466070148, False, 'time']
['vinny168', 202544606, 'impression', '11', 240544492L, datetime.datetime(2013, 5, 17, 6, 25, 22), 0.132300566986825, False, 'time']
['vinny168', 202544606, 'impression', '15', 240539636L, datetime.datetime(2013, 5, 17, 6, 25, 22), 0.13698852880143, False, 'time']
['vinny168', 202544606, 'impression', '3', 240569369L, datetime.datetime(2013, 5, 17, 6, 25, 22), 0.110705323866634, False, 'time']
['vinny168', 202544606, 'expand_tile', '1', 240582971L, datetime.datetime(2013, 5, 17, 6, 25, 42), 0.0839807736197324, False, 'time']
['vinny168', 202544606, 'expand_tile', '2', 240574029L, datetime.datetime(2013, 5, 17, 6, 26, 28), 0.124807408759295, False, 'time']
['vinny168', 202544606, 'impression', '20', 240533660L, datetime.datetime(2013, 5, 17, 6, 34, 45), 0.184261744267003, False, 'time']
['vinny168', 202544606, 'impression', '14', 240540358L, datetime.datetime(2013, 5, 17, 6, 34, 45), 0.12038609554993, False, 'time']
['vinny168', 202544606, 'impression', '4', 240568165L, datetime.datetime(2013, 5, 17, 6, 34, 45), 0.103162833031935, False, 'time']
['vinny168', 202544606, 'impression', '13', 240540376L, datetime.datetime(2013, 5, 17, 6, 34, 45), 0.130235432237166, False, 'time']
['vinny168', 202544606, 'impression', '18', 240535933L, datetime.datetime(2013, 5, 17, 6, 34, 45), 0.174115878706454, False, 'time']
['vinny168', 202544606, 'impression', '10', 240544659L, datetime.datetime(2013, 5, 17, 6, 34, 45), 0.451230663928138, False, 'time']
['vinny168', 202544606, 'impression', '9', 240559635L, datetime.datetime(2013, 5, 17, 6, 34, 45), 0.0991723402189646, False, 'time']
['vinny168', 202544606, 'impression', '1', 240582971L, datetime.datetime(2013, 5, 17, 6, 34, 45), 0.0839807736197324, False, 'time']
['vinny168', 202544606, 'impression', '2', 240574029L, datetime.datetime(2013, 5, 17, 6, 34, 45), 0.124807408759295, False, 'time']
['vinny168', 202544606, 'impression', '7', 240562026L, datetime.datetime(2013, 5, 17, 6, 34, 45), 0.370709440003564, False, 'time']
['vinny168', 202544606, 'impression', '5', 240566817L, datetime.datetime(2013, 5, 17, 6, 34, 45), 0.175047959950084, False, 'time']
['vinny168', 202544606, 'impression', '16', 240539376L, datetime.datetime(2013, 5, 17, 6, 34, 45), 0.098048828300299, False, 'time']
['vinny168', 202544606, 'impression', '11', 240544492L, datetime.datetime(2013, 5, 17, 6, 34, 45), 0.132300566986825, False, 'time']
['vinny168', 202544606, 'impression', '12', 240540511L, datetime.datetime(2013, 5, 17, 6, 34, 45), 0.183595494205801, False, 'time']
['vinny168', 202544606, 'impression', '8', 240561194L, datetime.datetime(2013, 5, 17, 6, 34, 45), 0.0695287251937839, False, 'time']
['vinny168', 202544606, 'impression', '17', 240537857L, datetime.datetime(2013, 5, 17, 6, 34, 45), 0.186690466070148, False, 'time']
['vinny168', 202544606, 'impression', '15', 240539636L, datetime.datetime(2013, 5, 17, 6, 34, 45), 0.13698852880143, False, 'time']
['vinny168', 202544606, 'impression', '3', 240569369L, datetime.datetime(2013, 5, 17, 6, 34, 45), 0.110705323866634, False, 'time']
['vinny168', 202544606, 'impression', '19', 240534309L, datetime.datetime(2013, 5, 17, 6, 34, 45), 0.0997832447434758, False, 'time']
['vinny168', 202544606, 'impression', '6', 240563591L, datetime.datetime(2013, 5, 17, 6, 34, 45), 0.0912040400587071, False, 'time']
['vinny168', 202544606, 'shortlist', '1', 240582971L, datetime.datetime(2013, 5, 17, 6, 35, 3), 0.0839807736197324, False, 'time']
['vinny168', 202544606, 'expand_tile', '2', 240574029L, datetime.datetime(2013, 5, 17, 6, 35, 19), 0.124807408759295, False, 'time']
['vinny168', 202544606, 'expand_tile', '4', 240568165L, datetime.datetime(2013, 5, 17, 6, 37, 41), 0.103162833031935, False, 'time']
['vinny168', 202544606, 'expand_tile', '6', 240563591L, datetime.datetime(2013, 5, 17, 6, 39, 36), 0.0912040400587071, False, 'time']
