['vzambrano', 202575162, 'impression', '3', 241148878L, datetime.datetime(2013, 5, 24, 3, 13, 12), 0.0261715898202404, False, 'time']
['vzambrano', 202575162, 'impression', '1', 241156074L, datetime.datetime(2013, 5, 24, 3, 13, 12), 0.0448094754690713, False, 'time']
['vzambrano', 202575162, 'impression', '6', 241148000L, datetime.datetime(2013, 5, 24, 3, 13, 12), 0.0233718089018465, False, 'time']
['vzambrano', 202575162, 'impression', '7', 241147992L, datetime.datetime(2013, 5, 24, 3, 13, 12), 0.0634543958896554, False, 'time']
['vzambrano', 202575162, 'impression', '2', 241155950L, datetime.datetime(2013, 5, 24, 3, 13, 12), 0.0302050712025966, False, 'time']
['vzambrano', 202575162, 'impression', '5', 241148373L, datetime.datetime(2013, 5, 24, 3, 13, 12), 0.0461812917151287, False, 'time']
['vzambrano', 202575162, 'impression', '4', 241148720L, datetime.datetime(2013, 5, 24, 3, 13, 12), 0.0732205530431822, False, 'time']
['vzambrano', 202575162, 'impression', '8', 241147883L, datetime.datetime(2013, 5, 24, 3, 13, 12), 0.0622911743315215, False, 'time']
['vzambrano', 202575162, 'impression', '4', 241148720L, datetime.datetime(2013, 5, 24, 3, 14, 4), 0.0732205530431822, False, 'time']
['vzambrano', 202575162, 'impression', '6', 241148000L, datetime.datetime(2013, 5, 24, 3, 14, 4), 0.0233718089018465, False, 'time']
['vzambrano', 202575162, 'impression', '7', 241147992L, datetime.datetime(2013, 5, 24, 3, 14, 4), 0.0634543958896554, False, 'time']
['vzambrano', 202575162, 'impression', '2', 241155950L, datetime.datetime(2013, 5, 24, 3, 14, 4), 0.0302050712025966, False, 'time']
['vzambrano', 202575162, 'impression', '5', 241148373L, datetime.datetime(2013, 5, 24, 3, 14, 4), 0.0461812917151287, False, 'time']
['vzambrano', 202575162, 'impression', '1', 241156074L, datetime.datetime(2013, 5, 24, 3, 14, 4), 0.0448094754690713, False, 'time']
['vzambrano', 202575162, 'impression', '3', 241148878L, datetime.datetime(2013, 5, 24, 3, 14, 4), 0.0261715898202404, False, 'time']
['vzambrano', 202575162, 'impression', '8', 241147883L, datetime.datetime(2013, 5, 24, 3, 14, 4), 0.0622911743315215, False, 'time']

