['websitecampaign', 202548893, 'impression', '5', 240702426L, datetime.datetime(2013, 5, 25, 12, 39, 56), 0.161089356168571, False, 'best']
['websitecampaign', 202548893, 'impression', '9', 240622588L, datetime.datetime(2013, 5, 25, 12, 39, 56), 0.0896612366315315, False, 'best']
['websitecampaign', 202548893, 'impression', '6', 240607040L, datetime.datetime(2013, 5, 25, 12, 39, 56), 0.14932483665183, False, 'best']
['websitecampaign', 202548893, 'impression', '1', 240632455L, datetime.datetime(2013, 5, 25, 12, 39, 56), 0.410240478935367, False, 'best']
['websitecampaign', 202548893, 'impression', '2', 240608486L, datetime.datetime(2013, 5, 25, 12, 39, 56), 0.343612911385616, False, 'best']
['websitecampaign', 202548893, 'impression', '3', 240688996L, datetime.datetime(2013, 5, 25, 12, 39, 56), 0.20187747528064, False, 'best']
['websitecampaign', 202548893, 'impression', '10', 240902639L, datetime.datetime(2013, 5, 25, 12, 39, 56), 0.0326721559226619, False, 'best']
['websitecampaign', 202548893, 'impression', '8', 240764984L, datetime.datetime(2013, 5, 25, 12, 39, 56), 0.100272469210478, False, 'best']
['websitecampaign', 202548893, 'impression', '7', 240702770L, datetime.datetime(2013, 5, 25, 12, 39, 56), 0.132108129559616, False, 'best']
['websitecampaign', 202548893, 'impression', '4', 240702520L, datetime.datetime(2013, 5, 25, 12, 39, 56), 0.201284546195906, False, 'best']
['websitecampaign', 202548893, 'impression', '5', 240702426L, datetime.datetime(2013, 5, 25, 12, 40, 53), 0.161089356168571, False, 'best']
['websitecampaign', 202548893, 'impression', '3', 240688996L, datetime.datetime(2013, 5, 25, 12, 40, 53), 0.20187747528064, False, 'best']
['websitecampaign', 202548893, 'impression', '2', 240608486L, datetime.datetime(2013, 5, 25, 12, 40, 53), 0.343612911385616, False, 'best']
['websitecampaign', 202548893, 'impression', '7', 240702770L, datetime.datetime(2013, 5, 25, 12, 40, 53), 0.132108129559616, False, 'best']
['websitecampaign', 202548893, 'impression', '8', 240764984L, datetime.datetime(2013, 5, 25, 12, 40, 53), 0.100272469210478, False, 'best']
['websitecampaign', 202548893, 'impression', '1', 240632455L, datetime.datetime(2013, 5, 25, 12, 40, 53), 0.410240478935367, False, 'best']
