['whitie7', 202570449, 'impression', '8', 241057883L, datetime.datetime(2013, 5, 23, 2, 10, 6), 0.067287653792576, False, 'time']
['whitie7', 202570449, 'impression', '2', 241061521L, datetime.datetime(2013, 5, 23, 2, 10, 6), 0.130544053655658, False, 'time']
['whitie7', 202570449, 'impression', '14', 241056754L, datetime.datetime(2013, 5, 23, 2, 10, 6), 0.0415951674261575, False, 'time']
['whitie7', 202570449, 'impression', '16', 241056529L, datetime.datetime(2013, 5, 23, 2, 10, 6), 0.00945334083661363, False, 'time']
['whitie7', 202570449, 'impression', '1', 241062225L, datetime.datetime(2013, 5, 23, 2, 10, 6), 0.0148585155715267, False, 'time']
['whitie7', 202570449, 'impression', '4', 241059157L, datetime.datetime(2013, 5, 23, 2, 10, 6), 0.0709106968389927, False, 'time']
['whitie7', 202570449, 'impression', '15', 241056711L, datetime.datetime(2013, 5, 23, 2, 10, 6), 0.0756640608733951, False, 'time']
['whitie7', 202570449, 'impression', '11', 241057165L, datetime.datetime(2013, 5, 23, 2, 10, 6), 0.0189724478220101, False, 'time']
['whitie7', 202570449, 'impression', '13', 241056787L, datetime.datetime(2013, 5, 23, 2, 10, 6), 0.02930861710322, False, 'time']
['whitie7', 202570449, 'impression', '18', 241056337L, datetime.datetime(2013, 5, 23, 2, 10, 6), 0.0193109962158702, False, 'time']
['whitie7', 202570449, 'impression', '19', 241056281L, datetime.datetime(2013, 5, 23, 2, 10, 6), 0.0486642823710513, False, 'time']
['whitie7', 202570449, 'impression', '17', 241056417L, datetime.datetime(2013, 5, 23, 2, 10, 6), 0.0456264832862965, False, 'time']
['whitie7', 202570449, 'impression', '20', 241056091L, datetime.datetime(2013, 5, 23, 2, 10, 6), 0.0588286145791631, False, 'time']
['whitie7', 202570449, 'impression', '9', 241057502L, datetime.datetime(2013, 5, 23, 2, 10, 6), 0.110987343359915, False, 'time']
['whitie7', 202570449, 'impression', '10', 241057350L, datetime.datetime(2013, 5, 23, 2, 10, 6), 0.833726143409105, False, 'time']
['whitie7', 202570449, 'impression', '6', 241058685L, datetime.datetime(2013, 5, 23, 2, 10, 6), 0.0543632361290965, False, 'time']
['whitie7', 202570449, 'impression', '12', 241056813L, datetime.datetime(2013, 5, 23, 2, 10, 6), 0.0527774906491262, False, 'time']
['whitie7', 202570449, 'impression', '3', 241061085L, datetime.datetime(2013, 5, 23, 2, 10, 6), 0.0358816386182982, True, 'time']
['whitie7', 202570449, 'impression', '5', 241058803L, datetime.datetime(2013, 5, 23, 2, 10, 6), 0.0425354065809442, False, 'time']
['whitie7', 202570449, 'impression', '7', 241058034L, datetime.datetime(2013, 5, 23, 2, 10, 6), 0.0632022875327479, False, 'time']
['whitie7', 202570449, 'expand_tile', '12', 241056813L, datetime.datetime(2013, 5, 23, 2, 10, 56), 0.0527774906491262, False, 'time']
['whitie7', 202570449, 'impression', '4', 241061085L, datetime.datetime(2013, 5, 23, 2, 38, 28), 0.0358816386182982, True, 'time']
['whitie7', 202570449, 'impression', '13', 241056813L, datetime.datetime(2013, 5, 23, 2, 38, 28), 0.0527774906491262, False, 'time']
['whitie7', 202570449, 'impression', '17', 241056529L, datetime.datetime(2013, 5, 23, 2, 38, 28), 0.00945334083661363, False, 'time']
['whitie7', 202570449, 'impression', '19', 241056337L, datetime.datetime(2013, 5, 23, 2, 38, 28), 0.0193109962158702, False, 'time']
['whitie7', 202570449, 'impression', '18', 241056417L, datetime.datetime(2013, 5, 23, 2, 38, 28), 0.0456264832862965, False, 'time']
['whitie7', 202570449, 'impression', '20', 241056281L, datetime.datetime(2013, 5, 23, 2, 38, 28), 0.0486642823710513, False, 'time']
['whitie7', 202570449, 'impression', '14', 241056787L, datetime.datetime(2013, 5, 23, 2, 38, 28), 0.02930861710322, False, 'time']
['whitie7', 202570449, 'impression', '6', 241058803L, datetime.datetime(2013, 5, 23, 2, 38, 28), 0.0425354065809442, False, 'time']
['whitie7', 202570449, 'impression', '1', 241063265L, datetime.datetime(2013, 5, 23, 2, 38, 28), 0.0551997075805435, False, 'time']
['whitie7', 202570449, 'impression', '8', 241058034L, datetime.datetime(2013, 5, 23, 2, 38, 28), 0.0632022875327479, False, 'time']
['whitie7', 202570449, 'impression', '10', 241057502L, datetime.datetime(2013, 5, 23, 2, 38, 28), 0.110987343359915, False, 'time']
['whitie7', 202570449, 'impression', '11', 241057350L, datetime.datetime(2013, 5, 23, 2, 38, 28), 0.833726143409105, False, 'time']
['whitie7', 202570449, 'impression', '7', 241058685L, datetime.datetime(2013, 5, 23, 2, 38, 28), 0.0543632361290965, False, 'time']
['whitie7', 202570449, 'impression', '2', 241062225L, datetime.datetime(2013, 5, 23, 2, 38, 28), 0.0148585155715267, False, 'time']
['whitie7', 202570449, 'impression', '5', 241059157L, datetime.datetime(2013, 5, 23, 2, 38, 28), 0.0709106968389927, False, 'time']
['whitie7', 202570449, 'impression', '16', 241056711L, datetime.datetime(2013, 5, 23, 2, 38, 28), 0.0756640608733951, False, 'time']
['whitie7', 202570449, 'impression', '12', 241057165L, datetime.datetime(2013, 5, 23, 2, 38, 28), 0.0189724478220101, False, 'time']
['whitie7', 202570449, 'impression', '3', 241061521L, datetime.datetime(2013, 5, 23, 2, 38, 28), 0.130544053655658, False, 'time']
['whitie7', 202570449, 'impression', '15', 241056754L, datetime.datetime(2013, 5, 23, 2, 38, 28), 0.0415951674261575, False, 'time']
['whitie7', 202570449, 'impression', '9', 241057883L, datetime.datetime(2013, 5, 23, 2, 38, 28), 0.067287653792576, False, 'time']
['whitie7', 202570449, 'expand_tile', '1', 241063265L, datetime.datetime(2013, 5, 23, 2, 38, 39), 0.0551997075805435, False, 'time']
['whitie7', 202570449, 'collapse_tile', '1', 241063265L, datetime.datetime(2013, 5, 23, 2, 38, 51), 0.0551997075805435, False, 'time']
['whitie7', 202570449, 'expand_tile', '1', 241063265L, datetime.datetime(2013, 5, 23, 2, 38, 53), 0.0551997075805435, False, 'time']
['whitie7', 202570449, 'expand_tile', '2', 241062225L, datetime.datetime(2013, 5, 23, 2, 39, 4), 0.0148585155715267, False, 'time']
['whitie7', 202570449, 'collapse_tile', '2', 241062225L, datetime.datetime(2013, 5, 23, 2, 41, 13), 0.0148585155715267, False, 'time']
['whitie7', 202570449, 'impression', '2', 241062225L, datetime.datetime(2013, 5, 23, 2, 41, 13), 0.0148585155715267, False, 'time']
['whitie7', 202570449, 'collapse_tile', '1', 241063265L, datetime.datetime(2013, 5, 23, 2, 41, 14), 0.0551997075805435, False, 'time']
['whitie7', 202570449, 'expand_tile', '3', 241061521L, datetime.datetime(2013, 5, 23, 2, 41, 17), 0.130544053655658, False, 'time']
['whitie7', 202570449, 'impression', '2', 241062225L, datetime.datetime(2013, 5, 23, 2, 42, 38), 0.0148585155715267, False, 'time']
['whitie7', 202570449, 'impression', '3', 241061521L, datetime.datetime(2013, 5, 23, 2, 42, 40), 0.130544053655658, False, 'time']
['whitie7', 202570449, 'impression', '1', 241063265L, datetime.datetime(2013, 5, 23, 2, 42, 41), 0.0551997075805435, False, 'time']
['whitie7', 202570449, 'impression', '3', 241061521L, datetime.datetime(2013, 5, 23, 2, 42, 42), 0.130544053655658, False, 'time']
['whitie7', 202570449, 'expand_tile', '4', 241061085L, datetime.datetime(2013, 5, 23, 2, 42, 45), 0.0358816386182982, True, 'time']
['whitie7', 202570449, 'collapse_tile', '4', 241061085L, datetime.datetime(2013, 5, 23, 2, 42, 54), 0.0358816386182982, True, 'time']
['whitie7', 202570449, 'expand_tile', '4', 241061085L, datetime.datetime(2013, 5, 23, 2, 42, 56), 0.0358816386182982, True, 'time']
['whitie7', 202570449, 'collapse_tile', '4', 241061085L, datetime.datetime(2013, 5, 23, 2, 42, 59), 0.0358816386182982, True, 'time']
['whitie7', 202570449, 'expand_tile', '4', 241061085L, datetime.datetime(2013, 5, 23, 2, 43), 0.0358816386182982, True, 'time']
['whitie7', 202570449, 'collapse_tile', '4', 241061085L, datetime.datetime(2013, 5, 23, 2, 43, 4), 0.0358816386182982, True, 'time']
['whitie7', 202570449, 'expand_tile', '4', 241061085L, datetime.datetime(2013, 5, 23, 2, 43, 7), 0.0358816386182982, True, 'time']
['whitie7', 202570449, 'collapse_tile', '4', 241061085L, datetime.datetime(2013, 5, 23, 2, 43, 11), 0.0358816386182982, True, 'time']
['whitie7', 202570449, 'expand_tile', '4', 241061085L, datetime.datetime(2013, 5, 23, 2, 43, 12), 0.0358816386182982, True, 'time']
['whitie7', 202570449, 'expand_tile', '5', 241059157L, datetime.datetime(2013, 5, 23, 2, 45, 40), 0.0709106968389927, False, 'time']
['whitie7', 202570449, 'impression', '5', 241059157L, datetime.datetime(2013, 5, 23, 2, 45, 44), 0.0709106968389927, False, 'time']
['whitie7', 202570449, 'collapse_tile', '5', 241059157L, datetime.datetime(2013, 5, 23, 2, 46, 7), 0.0709106968389927, False, 'time']
['whitie7', 202570449, 'expand_tile', '5', 241059157L, datetime.datetime(2013, 5, 23, 2, 46, 9), 0.0709106968389927, False, 'time']
['whitie7', 202570449, 'collapse_tile', '5', 241059157L, datetime.datetime(2013, 5, 23, 2, 46, 11), 0.0709106968389927, False, 'time']
['whitie7', 202570449, 'expand_tile', '6', 241058803L, datetime.datetime(2013, 5, 23, 2, 46, 13), 0.0425354065809442, False, 'time']
['whitie7', 202570449, 'impression', '6', 241058803L, datetime.datetime(2013, 5, 23, 2, 46, 14), 0.0425354065809442, False, 'time']
['whitie7', 202570449, 'impression', '6', 241058803L, datetime.datetime(2013, 5, 23, 2, 46, 17), 0.0425354065809442, False, 'time']
['whitie7', 202570449, 'expand_tile', '6', 241058803L, datetime.datetime(2013, 5, 23, 2, 46, 18), 0.0425354065809442, False, 'time']
